job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Texas Instruments:a929f668-d453-4ef2-9df1-9e972f0cfaa0,Texas Instruments,Analog Design Engineer - Career Accelerator Program,"Knoxville, TN; Dallas, TX; Phoenix, AZ; Tucson, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017549,2026-09-03,2026-09-03,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:a929f668-d453-4ef2-9df1-9e972f0cfaa0
Texas Instruments:c96eee58-f235-4392-a390-c537e96daebf,Texas Instruments,Analog Design Engineer - Development Program,"Knoxville, TN",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25016939,2026-08-04,2026-08-04,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:c96eee58-f235-4392-a390-c537e96daebf
Texas Instruments:9b863925-a24a-403b-982f-18403d027333,Texas Instruments,Analog IC Design Engineer Intern - Bachelors,"Knoxville, TN; Dallas, TX; Phoenix, AZ; Tucson, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017543,2026-09-03,2026-09-03,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,,false,,,,false,simplify:Simplify Internships:9b863925-a24a-403b-982f-18403d027333
Texas Instruments:a4885be4-c0d8-4714-bec6-11f1d0d763de,Texas Instruments,Analog IC Design Engineering Intern,"Knoxville, TN; Dallas, TX; Phoenix, AZ; Tucson, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017544,2026-09-03,2026-09-03,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,,false,,,,false,simplify:Simplify Internships:a4885be4-c0d8-4714-bec6-11f1d0d763de
Texas Instruments:33cc8535-c719-4dbe-bb40-dd257deb0ae1,Texas Instruments,Career Accelerator Program - Product Engineer,United States,Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25016672,2026-07-22,2026-07-22,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:33cc8535-c719-4dbe-bb40-dd257deb0ae1
Texas Instruments:7201fef9-2990-4336-9766-3088f919731f,Texas Instruments,Career Accelerator Program - Product Engineer,United States,Software,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25003917,2026-07-21,2026-07-21,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:7201fef9-2990-4336-9766-3088f919731f
Texas Instruments:f2af9d1e-3614-4c95-bdd0-d3441623bfec,Texas Instruments,Career Accelerator Program - Software Engineer,"Toronto, ON, Canada",Software,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25011161,2026-06-19,2026-06-19,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:f2af9d1e-3614-4c95-bdd0-d3441623bfec
Texas Instruments:e97b8903-c5ea-4374-99a8-47f5eebe4847,Texas Instruments,Design Verification Engineer,"Knoxville, TN; Dallas, TX; Phoenix, AZ; Tucson, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017553,2026-09-03,2026-09-03,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:e97b8903-c5ea-4374-99a8-47f5eebe4847
Texas Instruments:a8c72548-3b4a-47dd-aafb-2bd8ec5524d5,Texas Instruments,Design Verification Engineer Intern - Bachelors,"Knoxville, TN; Dallas, TX; Phoenix, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017545,2026-09-03,2026-09-03,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,,false,,,,false,simplify:Simplify Internships:a8c72548-3b4a-47dd-aafb-2bd8ec5524d5
Texas Instruments:7a74c2ea-0373-4933-9cde-8b4f1a84218e,Texas Instruments,Design Verification Engineer Intern - MS/PhD,"Knoxville, TN; Dallas, TX; Phoenix, AZ",Hardware,https://edbz.fa.us2.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX/job/25017546,2026-09-03,2026-09-03,2026-09-03T08:17:28+00:00,2026-09-03 01:17 Thu,,false,,,,false,simplify:Simplify Internships:7a74c2ea-0373-4933-9cde-8b4f1a84218e
