job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
The Nuclear Company:5391888008,The Nuclear Company,AI Applied Research Intern,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5391888008,2026-08-14,2026-08-14,2026-08-14T22:39:25+00:00,2026-08-14 15:39 Fri,AI / ML,true,CLI,82,"Strong fit for an AI applied research internship through substantial computer vision, deep learning, PyTorch, reinforcement learning, algorithm development, and research publication experience, with limited demonstrated nuclear-energy domain knowledge.",true,simplify:Simplify Internships:5391888008
The Nuclear Company:5383113008,The Nuclear Company,AI Software Engineer Intern,"Washington, DC",Software,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383113008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,78,"The candidate has strong hands-on experience in Python, C++, machine learning, computer vision, reinforcement learning, backend systems, Docker, and automated testing, making them a credible fit for an AI software engineering internship despite lacking nuclear-industry experience.",true,simplify:Simplify Internships:5383113008
The Nuclear Company:5383231008,The Nuclear Company,AI/ML Engineer Intern,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383231008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,78,"Strong fit for an AI/ML engineering internship through substantial computer vision, deep learning, PyTorch, Python, C++, model training, optimization, and applied research experience, though the resume provides limited evidence of nuclear or related scientific-domain expertise.",true,simplify:Simplify Internships:5383231008
The Nuclear Company:5383163008,The Nuclear Company,AI/ML Engineer Intern - Platform Integration & AI/Data,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383163008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,72,"Strong fit for an AI/ML internship through hands-on Python, PyTorch, computer vision, reinforcement learning, data automation, and backend/platform integration experience, though the resume is more specialized in computer vision than broad AI/data platform work.",true,simplify:Simplify Internships:5383163008
The Nuclear Company:5383212008,The Nuclear Company,AI/ML Engineer Intern - Platform Integration & AI/Data,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383212008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,80,"The candidate has strong hands-on AI/ML, computer vision, Python/C++, data-processing, backend integration, Docker, database, and automation experience that aligns well with an AI/data platform integration internship, though the resume is more specialized in computer vision than general platform integration.",true,simplify:Simplify Internships:5383212008
The Nuclear Company:5391923008,The Nuclear Company,Data Science & Machine Learning Fellow Intern,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5391923008,2026-08-14,2026-08-14,2026-08-14T22:39:25+00:00,2026-08-14 15:39 Fri,AI / ML,true,CLI,82,"The candidate has strong hands-on machine learning, computer vision, Python, PyTorch, data analysis, and software engineering experience, with relevant graduate study, though the resume is more specialized in computer vision than general data science.",true,simplify:Simplify Internships:5391923008
The Nuclear Company:5383218008,The Nuclear Company,Data Science Intern,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383218008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,72,"The candidate has strong Python, machine learning, data analysis, and software engineering experience, but their background is primarily computer vision and backend systems rather than nuclear-domain data science.",true,simplify:Simplify Internships:5383218008
The Nuclear Company:5383244008,The Nuclear Company,Data Science Intern,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383244008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,AI / ML,true,CLI,82,"Strong fit for a data science internship through extensive Python, machine learning, computer vision, PyTorch, experimentation, and data-processing experience, though the resume emphasizes computer vision and software engineering more than conventional data science or nuclear-domain work.",true,simplify:Simplify Internships:5383244008
The Nuclear Company:5386220008,The Nuclear Company,Platform & AI Pre-Engineer,"Washington, DC",AI/ML/Data,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5386220008,2026-08-11,2026-08-11,2026-08-11T23:17:30+00:00,2026-08-11 16:17 Tue,AI / ML,true,Keyword,48,keyword-only heuristic (title only),false,simplify:Simplify Internships:5386220008
The Nuclear Company:5383171008,The Nuclear Company,Software Engineering Intern,"Washington, DC",Software,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383171008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,Software Engineering,true,CLI,78,"Strong software engineering background in Python, C++, C#, backend systems, Docker, databases, testing, and applied machine learning, though the resume lacks nuclear-industry experience and the specific role description is unavailable.",true,simplify:Simplify Internships:5383171008
The Nuclear Company:5383236008,The Nuclear Company,Software Engineering Intern - Product - Platform,"Washington, DC",Software,https://job-boards.greenhouse.io/thenuclearcompany/jobs/5383236008,2026-08-07,2026-08-07,2026-08-07T23:14:42+00:00,2026-08-07 16:14 Fri,Software Engineering,true,CLI,72,"The candidate has strong software engineering fundamentals, Python/C++ experience, backend development, testing, Docker, databases, and cross-functional project ownership, but the resume shows limited direct product-platform experience and no specific nuclear or Washington, DC domain background.",true,simplify:Simplify Internships:5383236008
