job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
True Anomaly:5223279007,True Anomaly,Data Engineer I,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5223279007,,,2026-08-28T22:17:38+00:00,2026-08-28 15:17 Fri,Software Engineering,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply AI:5223279007
True Anomaly:5218935007,True Anomaly,DevOps Engineer I - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5218935007,,,2026-08-22T12:59:32+00:00,2026-08-22 05:59 Sat,Software Engineering,true,Keyword,56,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5218935007
True Anomaly:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5090441007,True Anomaly,Flight Software Engineer I,"Denver, CO or Long Beach, CA",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5090441007,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5090441007
True Anomaly:5221572007,True Anomaly,Flight Software Engineer I - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5221572007,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,Software Engineering,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5221572007
True Anomaly:5210059007,True Anomaly,GSE Engineering Intern,"Long Beach, CA; Denver, CO",Hardware,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5210059007,2026-08-14,2026-08-14,2026-08-14T04:17:30+00:00,2026-08-13 21:17 Thu,,false,,,,false,simplify:Simplify Internships:5210059007
True Anomaly:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5166540007,True Anomaly,Platform Engineer - AI - Levels I - II - III,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5166540007,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5166540007|speedyapply:SpeedyApply AI:5166540007
True Anomaly:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5137655007,True Anomaly,Software Engineer - I-II - Prototype,"Denver, CO",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5137655007,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5137655007
True Anomaly:5221560007,True Anomaly,Software Engineer I - Data Science - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5221560007,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,AI / ML,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5221560007
True Anomaly:5221970007,True Anomaly,Software Engineer I - Perception - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5221970007,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,Computer Vision,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5221970007
True Anomaly:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5152215007,True Anomaly,Software Engineer I - QA,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5152215007,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5152215007|speedyapply:SpeedyApply SWE:5152215007
True Anomaly:5219057007,True Anomaly,Software Engineer I - QA - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5219057007,,,2026-08-22T12:59:32+00:00,2026-08-22 05:59 Sat,Software Engineering,true,Keyword,72,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5219057007
True Anomaly:5221555007,True Anomaly,Software Engineer I - Spacecraft Simulation - New Grad,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5221555007,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,Software Engineering,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:5221555007
True Anomaly:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5144935007,True Anomaly,Software Integration Engineer,"Denver, CO +1",,https://job-boards.greenhouse.io/trueanomalyinc/jobs/5144935007,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/trueanomalyinc/jobs/5144935007|speedyapply:SpeedyApply SWE:5144935007
