job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Tyson Foods:cf5d2cc2-c274-4fb9-9cef-46931c854228,Tyson Foods,Analytics Analyst,"Springdale, AR",AI/ML/Data,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Corporate---Springdale-Arkansas/Analytics-Analyst---Walmart_R0483678-1,2026-09-05,2026-09-05,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:cf5d2cc2-c274-4fb9-9cef-46931c854228,2026-09-05
Tyson Foods:bcdf932a-34be-4d72-8b26-c843cffa9886,Tyson Foods,Analytics Intern - Transportation Services,"Springdale, AR",AI/ML/Data,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Corporate-412-West---Springdale-Arkansas/Year-round-Intern---Transportation-Services_R0483113-2,2026-09-03,2026-09-03,2026-09-04T03:16:45+00:00,2026-09-03 20:16 Thu,Computer Vision,true,CLI,72,"Strong fit for the Python, automation, AI, APIs, Git, SQL-adjacent, and lightweight application aspects with relevant engineering experience and sufficient remaining education, but limited direct logistics/warehouse analytics, web development, BI, and Tyson’s required Springdale-area residency.",true,simplify:Simplify Internships:bcdf932a-34be-4d72-8b26-c843cffa9886,2026-09-03
Tyson Foods:cbfeabfc-ee55-4235-b847-c779d788699e,Tyson Foods,Customer Category Analyst - Costco,"Springdale, AR",AI/ML/Data,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Corporate---Springdale-Arkansas/Customer-Category-Analyst---Costco_R0483651-1,2026-09-05,2026-09-05,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:cbfeabfc-ee55-4235-b847-c779d788699e,2026-09-05
Tyson Foods:d50d1577-1658-457d-a65f-f577f9996936,Tyson Foods,Data Engineer 1,"Springdale, AR",AI/ML/Data,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0483830-1,2026-09-22,2026-09-22,2026-09-22T15:17:00+00:00,2026-09-22 08:17 Tue,,false,,,,false,simplify:Simplify New Grad:d50d1577-1658-457d-a65f-f577f9996936,2026-09-22
Tyson Foods:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0475407-1,Tyson Foods,Data Engineer I,"Springdale, AR",,https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0475407-1,,,2026-08-10T13:41:59+00:00,2026-08-10 06:41 Mon,Software Engineering,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply AI:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0475407-1,
Tyson Foods:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0483830-1,Tyson Foods,Data Engineer I,"Springdale, AR",,https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0483830-1,,,2026-09-23T16:40:52+00:00,2026-09-23 09:40 Wed,Software Engineering,true,Keyword,48,僅以關鍵字比對評分（只比對職稱）,false,speedyapply:SpeedyApply AI:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Tyson-on-Thompson---Springdale-Arkansas/Data-Engineer-I_R0483830-1,
Tyson Foods:7567a1f5-cd87-43f3-bf93-c0dd70c9d6e3,Tyson Foods,IT Product Owner 1,"Springdale, AR",Product,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Tyson-Emma---Springdale-Arkansas/IT-Product-Owner-I_R0482203-2,2026-09-03,2026-09-03,2026-09-05T18:58:26+00:00,2026-09-05 11:58 Sat,,false,,,,false,simplify:Simplify New Grad:7567a1f5-cd87-43f3-bf93-c0dd70c9d6e3,2026-09-03
Tyson Foods:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate-412-West---Springdale-Arkansas/Logistics-Data-Engineer--Corporate-412-West-_R0485013-3,Tyson Foods,Logistics Data Engineer - Corporate 412 West,"Springdale, AR",,https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate-412-West---Springdale-Arkansas/Logistics-Data-Engineer--Corporate-412-West-_R0485013-3,,,2026-09-17T16:59:12+00:00,2026-09-17 09:59 Thu,Computer Vision,true,Keyword,55,僅以關鍵字比對評分,true,speedyapply:SpeedyApply AI:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate-412-West---Springdale-Arkansas/Logistics-Data-Engineer--Corporate-412-West-_R0485013-3,
Tyson Foods:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate---Springdale-Arkansas/Product-Data-Analyst_R0484665-2,Tyson Foods,Product Data Analyst,"Springdale, AR",,https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate---Springdale-Arkansas/Product-Data-Analyst_R0484665-2,,,2026-09-11T16:41:18+00:00,2026-09-11 09:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://tysonfoods.wd5.myworkdayjobs.com/en-US/tsn/job/Corporate---Springdale-Arkansas/Product-Data-Analyst_R0484665-2,
Tyson Foods:891675f9-d992-469b-b933-050b68293e04,Tyson Foods,Sensory Science Intern,"Springdale, AR",AI/ML/Data,https://tysonfoods.wd5.myworkdayjobs.com/TSN/job/Corporate---Springdale-Arkansas/Sensory-Science-Summer-Intern_R0481312-2,2026-09-21,2026-09-21,2026-09-21T23:16:42+00:00,2026-09-21 16:16 Mon,,false,,,,false,simplify:Simplify Internships:891675f9-d992-469b-b933-050b68293e04,2026-09-21
