job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
University of Texas at Austin:9d5ee0a6-c149-4cb1-b74e-69e44952ac72,University of Texas at Austin,Career Success Reporting and Insights Graduate Assistant,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Career-Success-Reporting-and-Insights-Graduate-Assistant_R_00046976,2026-06-29,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:9d5ee0a6-c149-4cb1-b74e-69e44952ac72
University of Texas at Austin:1d929b62-c0c3-48c4-914d-2541b5ce214a,University of Texas at Austin,Content Management Automation Student Technician,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Content-Management-Automation-Student-Technician--open-to-work-study-and-non-work-study-_R_00046574,2026-06-05,2026-07-21T19:41:56+00:00,2026-07-21 12:41 Tue,,false,,,,false,simplify:Simplify Internships:1d929b62-c0c3-48c4-914d-2541b5ce214a
University of Texas at Austin:c864c7db-d0d9-4055-a0b9-080bcf0b2d7f,University of Texas at Austin,Course Support - Rhetoric,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/AUSTIN-TX/Course-Support---Rhetoric--Open-to-Work-Study-and-Non-Work-Study-_R_00046798,2026-06-17,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:c864c7db-d0d9-4055-a0b9-080bcf0b2d7f
University of Texas at Austin:bd7d64d7-d4c4-4163-8a9a-6520478b52c1,University of Texas at Austin,DSR Lab Data Student Assistant,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/AUSTIN-TX/DSR-Lab-Data-Student-Assistant--Open-to-Work-Study-and-Non-Work-Study-_R_00046913,2026-06-24,2026-07-21T17:18:00+00:00,2026-07-21 10:18 Tue,,false,,,,false,simplify:Simplify Internships:bd7d64d7-d4c4-4163-8a9a-6520478b52c1
University of Texas at Austin:49b2fba7-c2df-477e-bad5-db668e2ad45f,University of Texas at Austin,Graduate Assistant - Data - Dell Medical School,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Graduate-Assistant--Data--Texas-Child-Mental-Health-Programs--Department-of-Psychiatry-and-Behavioral-Sciences--Dell-Medical-School_R_00047460-1,2026-07-21,2026-07-21T22:36:04+00:00,2026-07-21 15:36 Tue,,false,,,,false,simplify:Simplify Internships:49b2fba7-c2df-477e-bad5-db668e2ad45f
University of Texas at Austin:ca78630f-2644-41de-bd59-cb53998d6c7d,University of Texas at Austin,Graduate Research Assistant,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Graduate-Research-Assistant_R_00046050,2026-07-04,2026-07-22T00:41:33+00:00,2026-07-21 17:41 Tue,,false,,,,false,simplify:Simplify Internships:ca78630f-2644-41de-bd59-cb53998d6c7d
University of Texas at Austin:6e43ed12-7beb-4827-834a-f0947fcf70db,University of Texas at Austin,Graduate Researcher,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/E3-Alliance-UT-Graduate-Research-Assistant_R_00047491,2026-07-21,2026-07-23T13:17:50+00:00,2026-07-23 06:17 Thu,,false,,,,false,simplify:Simplify Internships:6e43ed12-7beb-4827-834a-f0947fcf70db
University of Texas at Austin:58899808-7a44-410d-b431-7e2179a09fb5,University of Texas at Austin,Student Analyst - Multiple Teams,"Austin, TX",AI/ML/Data,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Student-Analyst--Data-Analytics-and-Strategy--Career-Management-and-Corporate-Relations--CMCR-_R_00044078,2026-03-17,2026-07-21T11:42:01+00:00,2026-07-21 04:42 Tue,,false,,,,false,simplify:Simplify Internships:58899808-7a44-410d-b431-7e2179a09fb5
University of Texas at Austin:06ba6a6e-e713-450a-b464-1f3ebcc67afc,University of Texas at Austin,Undergraduate Research Assistant,"Austin, TX",Software,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/AUSTIN-TX/Undergraduate-Research-Assistant_R_00044725,2026-03-17,2026-07-21T06:41:20+00:00,2026-07-20 23:41 Mon,,false,,,,false,simplify:Simplify Internships:06ba6a6e-e713-450a-b464-1f3ebcc67afc
University of Texas at Austin:3bf69c78-c194-4b40-b59f-999ad8a64be5,University of Texas at Austin,Undergraduate Research Assistant Programmer,"Austin, TX",Software,https://utaustin.wd1.myworkdayjobs.com/utstudent/job/UT-MAIN-CAMPUS/Undergraduate-Research-Assistant--Programmer--open-to-work-study-and-non-work-study-_R_00040531,2026-03-17,2026-07-21T06:41:20+00:00,2026-07-20 23:41 Mon,,false,,,,false,simplify:Simplify Internships:3bf69c78-c194-4b40-b59f-999ad8a64be5
