job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
University of Virginia:1a9c61d8-2a8a-481f-a0e7-a41aff6447bb,University of Virginia,Audio-Visual Assistant,"Charlottesville, VA",Hardware,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Audio-Visual-Assistant--Student-Wage-_R0084512,2026-06-25,2026-06-25,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:1a9c61d8-2a8a-481f-a0e7-a41aff6447bb
University of Virginia:08205941-f240-469b-8e68-33e220e58b33,University of Virginia,Data & Analytics Assistant,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Data---Analytics-Assistant--Student-Wage-_R0085657-1,2026-07-24,2026-07-24,2026-07-24T22:41:24+00:00,2026-07-24 15:41 Fri,,false,,,,false,simplify:Simplify Internships:08205941-f240-469b-8e68-33e220e58b33
University of Virginia:39ee0bcc-4e04-40ad-9a3e-6968c55911ea,University of Virginia,Digital Accessibility Assistant Intern - Federal Work-Study - Student Wage,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Federal-Work-Study--FWS--Internship-Program--Library-Undergraduate-Digital-Accessibility-Assistant--Student-Wage-_R0086673,2026-08-25,2026-08-25,2026-09-03T09:41:57+00:00,2026-09-03 02:41 Thu,Computer Vision,true,CLI,18,"The candidate has strong technical and STEM experience with image processing, automation, version control, and attention to detail, but lacks the required UVA undergraduate status and direct captioning, transcription, PDF remediation, or accessibility experience.",true,simplify:Simplify Internships:39ee0bcc-4e04-40ad-9a3e-6968c55911ea
University of Virginia:f3a6cbdd-294b-4a93-8d46-49a58b9aa228,University of Virginia,Graduate Research Intern,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/CPSJ-Graduate-Research-Intern--Student-Wage-_R0085307,2026-07-21,2026-07-21,2026-07-22T00:17:35+00:00,2026-07-21 17:17 Tue,,false,,,,false,simplify:Simplify Internships:f3a6cbdd-294b-4a93-8d46-49a58b9aa228
University of Virginia:001da316-b96f-440e-9c1e-3a726afb7959,University of Virginia,Media Studio Technology Consultant,"Charlottesville, VA",Software,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Media-Studio-Technology-Consultant--Student-Wage-_R0085912,2026-08-03,2026-08-03,2026-08-03T22:41:40+00:00,2026-08-03 15:41 Mon,,false,,,,false,simplify:Simplify Internships:001da316-b96f-440e-9c1e-3a726afb7959
University of Virginia:d4ecfbcd-a3a8-4fc7-b660-a9250600eab9,University of Virginia,Research Assistant - Student Wage,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Zhang-Techical-Research-Assistant--Student-Wage-_R0086682,2026-08-24,2026-08-24,2026-08-24T15:17:39+00:00,2026-08-24 08:17 Mon,AI / ML,true,Keyword,52,keyword-only heuristic,true,simplify:Simplify Internships:d4ecfbcd-a3a8-4fc7-b660-a9250600eab9
University of Virginia:64f12046-f075-4580-9cec-4e90291c6cb3,University of Virginia,Research Computing Assistant - Student Wage,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Research-Computing-Assistant-Summer-and-Fall-2026--Student-Wage-_R0083557,2026-06-20,2026-06-20,2026-07-21T08:17:28+00:00,2026-07-21 01:17 Tue,,false,,,,false,simplify:Simplify Internships:64f12046-f075-4580-9cec-4e90291c6cb3
University of Virginia:61113397-5045-45a9-8385-92577d546a89,University of Virginia,Technical Research Assistant Intern,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Darden-Technical-Research-Assistant--Student-Wage---Remote-_R0086583,2026-08-24,2026-08-24,2026-08-24T21:17:37+00:00,2026-08-24 14:17 Mon,AI / ML,true,Keyword,61,keyword-only heuristic,true,simplify:Simplify Internships:61113397-5045-45a9-8385-92577d546a89
University of Virginia:7dc5c5a8-3a1b-4c63-ac80-e2dd4b336f29,University of Virginia,TFWS Research and Insights Analyst,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/TFWS-Research-and-Insights-Analyst--Student-Wage-_R0082986,2026-05-16,2026-05-16,2026-08-01T14:41:12+00:00,2026-08-01 07:41 Sat,,false,,,,false,simplify:Simplify Internships:7dc5c5a8-3a1b-4c63-ac80-e2dd4b336f29
University of Virginia:cc98ebfd-dfdd-4624-bc82-696055dd2e7d,University of Virginia,Undergraduate Researcher,"Charlottesville, VA",AI/ML/Data,https://uva.wd1.myworkdayjobs.com/uvastudentjobs/job/Charlottesville-VA/Undergraduate-Researcher--Student-wage-_R0085242,2026-07-16,2026-07-16,2026-08-01T19:41:28+00:00,2026-08-01 12:41 Sat,,false,,,,false,simplify:Simplify Internships:cc98ebfd-dfdd-4624-bc82-696055dd2e7d
