job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Vermeer:04a61c2d-6e66-4a63-8f80-ff50017c7095,Vermeer,Component Engineer Intern,"Pella, IA",AI/ML/Data,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Pavilion/Component-Engineer-Intern_REQ-22163,2026-09-01,2026-09-01,2026-09-01T16:17:55+00:00,2026-09-01 09:17 Tue,AI / ML,true,Keyword,52,keyword-only heuristic,true,simplify:Simplify Internships:04a61c2d-6e66-4a63-8f80-ff50017c7095
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analyst-I---Operations_REQ-22099,Vermeer,Data Analyst I - Operations,"Pella, IA",,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analyst-I---Operations_REQ-22099,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,Computer Vision,true,Keyword,49,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analyst-I---Operations_REQ-22099
Vermeer:48e9a3b4-cb0a-4cfc-88f0-6591fee52ebb,Vermeer,Data Analytics and Corporate Strategy Intern,"Pella, IA",AI/ML/Data,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analytics-and-Corporate-Strategy-Intern_REQ-22176,2026-09-01,2026-09-01,2026-09-01T16:17:55+00:00,2026-09-01 09:17 Tue,,false,,,,false,simplify:Simplify Internships:48e9a3b4-cb0a-4cfc-88f0-6591fee52ebb
Vermeer:31ce397a-99c8-4b21-82b3-0f2617e5890b,Vermeer,Data Analytics Intern,"Pella, IA",AI/ML/Data,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analytics-Internship-Summer-2027_REQ-22164,2026-09-02,2026-09-02,2026-09-03T06:41:40+00:00,2026-09-02 23:41 Wed,,false,,,,false,simplify:Simplify Internships:31ce397a-99c8-4b21-82b3-0f2617e5890b
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analytics-Internship-Summer-2027_REQ-22164,Vermeer,Data Analytics Internship Summer 2027,"Pella, IA",,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analytics-Internship-Summer-2027_REQ-22164,,,2026-09-04T16:16:54+00:00,2026-09-04 09:16 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Data-Analytics-Internship-Summer-2027_REQ-22164
Vermeer:1e725c82-1935-4693-9438-52143ad5e19b,Vermeer,Embedded Software Engineer Intern,"Pella, IA",Hardware,https://vermeer.wd5.myworkdayjobs.com/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Embedded-Software-Engineer-Internship-Summer-2027_REQ-22165,2026-09-01,2026-09-01,2026-09-01T10:41:28+00:00,2026-09-01 03:41 Tue,,false,,,,false,simplify:Simplify Internships:1e725c82-1935-4693-9438-52143ad5e19b
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Embedded-Software-Engineer-Internship-Summer-2027_REQ-22165,Vermeer,Embedded Software Engineer Internship Summer 2027,"Pella, IA",,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Embedded-Software-Engineer-Internship-Summer-2027_REQ-22165,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,Computer Vision,true,Keyword,64,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/Embedded-Software-Engineer-Internship-Summer-2027_REQ-22165
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Plant-7--West-Segment-Office/Engineer-I---Embedded-Software-Engineer--Engineering-Development-Program-2027-_REQ-22180,Vermeer,Engineer I - Embedded Software Engineer - Engineering Development Program 2027,"Pella, IA",,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Plant-7--West-Segment-Office/Engineer-I---Embedded-Software-Engineer--Engineering-Development-Program-2027-_REQ-22180,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Computer Vision,true,CLI,62,"The candidate has strong C++/MATLAB, real-time computer vision, testing, Git, and systems-development experience, but lacks demonstrated embedded control, MATLAB/Simulink, CAN/J1939, RTOS, HMI, functional safety, and physical-equipment experience.",true,speedyapply:SpeedyApply SWE:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Plant-7--West-Segment-Office/Engineer-I---Embedded-Software-Engineer--Engineering-Development-Program-2027-_REQ-22180
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/IT-Software-Engineer-Internship-Summer-2027_REQ-22178,Vermeer,IT Software Engineer Internship Summer 2027,"Pella, IA",,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/IT-Software-Engineer-Internship-Summer-2027_REQ-22178,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Software Engineering,true,CLI,78,"Strong software engineering foundation with C#, Java, Python, APIs, Docker, databases, testing, OOP, and Agile-adjacent teamwork, though the resume shows limited direct Azure, .NET, JavaScript/TypeScript, CI/CD, and web application experience.",true,speedyapply:SpeedyApply SWE:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/Pella-Iowa-USA---Corporate-Office/IT-Software-Engineer-Internship-Summer-2027_REQ-22178
Vermeer:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/USA---Remote/IT-Systems-Analyst_REQ-21969,Vermeer,IT Systems Analyst - Digital Manufacturing Software Systems,Remote - USA,,https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/USA---Remote/IT-Systems-Analyst_REQ-21969,,,2026-08-27T22:17:48+00:00,2026-08-27 15:17 Thu,Other Technical,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:https://vermeer.wd5.myworkdayjobs.com/en-US/externalcareersite/job/USA---Remote/IT-Systems-Analyst_REQ-21969
