job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Orlando-FL-USA/Associate-Software-Engineer_10157526,Walt Disney,Associate Software Engineer,"Orlando, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Orlando-FL-USA/Associate-Software-Engineer_10157526,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,Software Engineering,true,Keyword,64,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Orlando-FL-USA/Associate-Software-Engineer_10157526
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Orlando-FL-USA/Associate-Software-Engineer_10157526-1,Walt Disney,Associate Software Engineer,"Orlando, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Orlando-FL-USA/Associate-Software-Engineer_10157526-1,,,2026-08-26T13:16:00+00:00,2026-08-26 06:16 Wed,Software Engineering,true,Keyword,64,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Orlando-FL-USA/Associate-Software-Engineer_10157526-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154,Walt Disney,Commercial Data Science Intern - Fall 2026,"Lake Buena Vista, FL, USA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154-1,Walt Disney,Commercial Data Science Intern - Fall 2026,"Lake Buena Vista, FL, USA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154-1,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Commercial-Data-Science-Intern--Fall-2026_10154154-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063,Walt Disney,Commercial Data Science Intern - Spring 2027,"Celebration, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063,,,2026-09-05T14:58:33+00:00,2026-09-05 07:58 Sat,Computer Vision,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063-1,Walt Disney,Commercial Data Science Intern - Spring 2027,"Celebration, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063-1,,,2026-09-05T14:58:33+00:00,2026-09-05 07:58 Sat,Computer Vision,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Celebration-FL-USA/Commercial-Data-Science-Intern--Spring-2027_10158063-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Data-Engineer-I_10147074,Walt Disney,Data Engineer I,"Santa Monica, CA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Data-Engineer-I_10147074,,,2026-08-07T13:41:24+00:00,2026-08-07 06:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic (title only),false,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Data-Engineer-I_10147074
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341,Walt Disney,Environmental Sustainability Data Analytics Intern - Spring 2027,"Lake Buena Vista, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,,false,,,,false,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341-1,Walt Disney,Environmental Sustainability Data Analytics Intern - Spring 2027,"Lake Buena Vista, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341-1,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,,false,,,,false,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Environmental-Sustainability-Data-Analytics-Intern--Spring-2027_10156341-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137,Walt Disney,Glendale System Software Engineering Internship - Spring 2027,"Glendale, CA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137,,,2026-08-25T13:11:15+00:00,2026-08-25 06:11 Tue,Software Engineering,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137-1,Walt Disney,Glendale System Software Engineering Internship - Spring 2027,"Glendale, CA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137-1,,,2026-08-25T13:11:15+00:00,2026-08-25 06:11 Tue,Software Engineering,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Glendale-System-Software-Engineering-Internship--Spring-2027_10158137-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-1,Walt Disney,Labor Systems Data Analytics & Integration Intern - Spring 2027,"Lake Buena Vista, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-1,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,Computer Vision,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-1
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-2,Walt Disney,Labor Systems Data Analytics & Integration Intern - Spring 2027,"Lake Buena Vista, FL",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-2,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,Computer Vision,true,Keyword,52,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Lake-Buena-Vista-FL-USA/Labor-Systems-Data-Analytics---Integration-Intern--Spring-2027_10157891-2
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599-2,Walt Disney,Product Software Engineer I,"Glendale, CA, USA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599-2,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareerdc/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599-2
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Bristol-CT-USA/Product-Software-Engineer-I_10155293,Walt Disney,Product Software Engineer I,"Bristol, CT",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Bristol-CT-USA/Product-Software-Engineer-I_10155293,,,2026-07-10T14:54:12+00:00,2026-07-10 07:54 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Bristol-CT-USA/Product-Software-Engineer-I_10155293
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Product-Software-Engineer-I_10151711,Walt Disney,Product Software Engineer I,"Santa Monica, CA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Product-Software-Engineer-I_10151711,,,2026-07-10T14:54:12+00:00,2026-07-10 07:54 Fri,Software Engineering,true,Keyword,46,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Santa-Monica-CA-USA/Product-Software-Engineer-I_10151711
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599,Walt Disney,Product Software Engineer I,"Glendale, CA",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599,,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,Software Engineering,true,CLI,68,"The candidate has strong early-career software engineering experience in Python, C++, backend systems, testing automation, APIs, databases, Docker, and performance optimization, though the resume is more specialized toward computer vision and lacks direct evidence of consumer product development at Disney-scale.",true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/Glendale-CA-USA/Product-Software-Engineer-I_10151599
Walt Disney:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/New-York-NY-USA/Product-Software-Engineer-I_10157015,Walt Disney,Product Software Engineer I,"New York City, NY +2",,https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/New-York-NY-USA/Product-Software-Engineer-I_10157015,,,2026-08-18T13:11:57+00:00,2026-08-18 06:11 Tue,Software Engineering,true,CLI,72,"The candidate has strong Python/C++ software engineering experience, backend development, testing automation, APIs, databases, Docker, and scalable systems skills, though their background is more specialized in computer vision and game technology than general product software engineering.",true,speedyapply:SpeedyApply SWE:https://disney.wd5.myworkdayjobs.com/en-US/disneycareer/job/New-York-NY-USA/Product-Software-Engineer-I_10157015
