job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program---Risk-Analytics-and-Decision-Science--Masters----Early-Careers_R-568204,Wells Fargo,2027 Quantitative Analytics Program - Risk Analytics and Decision Science - Masters - Early Careers,"Charlotte, NC",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program---Risk-Analytics-and-Decision-Science--Masters----Early-Careers_R-568204,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program---Risk-Analytics-and-Decision-Science--Masters----Early-Careers_R-568204
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program-Capital-Markets--Masters----Early-Careers_R-568263,Wells Fargo,2027 Quantitative Analytics Program Capital Markets - Masters - Early Careers,"Charlotte, NC",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program-Capital-Markets--Masters----Early-Careers_R-568263,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Program-Capital-Markets--Masters----Early-Careers_R-568263
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--Masters----Early-Careers_R-568270,Wells Fargo,2027 Quantitative Analytics Summer Internship Capital Markets - Masters - Early Careers,"Charlotte, NC",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--Masters----Early-Careers_R-568270,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--Masters----Early-Careers_R-568270
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--PhD----Early-Careers_R-568279,Wells Fargo,2027 Quantitative Analytics Summer Internship Capital Markets - PhD - Early Careers,"Charlotte, NC",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--PhD----Early-Careers_R-568279,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--PhD----Early-Careers_R-568279
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Risk-Analytics-and-Decision-Sciences--Masters----Early-Careers_R-568259,Wells Fargo,2027 Quantitative Analytics Summer Internship Risk Analytics and Decision Sciences - Masters - Early Careers,"Charlotte, NC",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Risk-Analytics-and-Decision-Sciences--Masters----Early-Careers_R-568259,,2026-08-13T13:42:07+00:00,2026-08-13 06:42 Thu,Other Technical,true,CLI,28,"The candidate has strong Python, machine learning, optimization, and graduate-level AI experience, but lacks demonstrated quantitative finance, risk modeling, statistics, and financial analytics experience central to this Wells Fargo internship.",true,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Risk-Analytics-and-Decision-Sciences--Masters----Early-Careers_R-568259
Wells Fargo:0828ba46-8539-4401-9c81-3c38584a5690,Wells Fargo,Corporate Risk Development Program Intern - Core Risk - Early Careers,"Charlotte, NC",AI/ML/Data,https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs/job/CHARLOTTE-NC/XMLNAME-2027-Corporate-Risk-Development-Program-Summer-Internship--Core-Risk----Early-Careers_R-556123,2026-07-06,2026-07-21T12:17:12+00:00,2026-07-21 05:17 Tue,,false,,,,false,simplify:Simplify Internships:0828ba46-8539-4401-9c81-3c38584a5690
Wells Fargo:c0230293-14bd-4f7f-affb-255d60ae0334,Wells Fargo,Quantitative Analytics Intern - Capital Markets - Masters,"Charlotte, NC",Quant,https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--Masters----Early-Careers_R-568270,2026-08-13,2026-08-13T07:17:43+00:00,2026-08-13 00:17 Thu,,false,,,,false,simplify:Simplify Internships:c0230293-14bd-4f7f-affb-255d60ae0334
Wells Fargo:6f6691e6-af37-4f78-b8c5-99857e6628bf,Wells Fargo,Quantitative Analytics Intern - Multiple Teams,"Charlotte, NC",AI/ML/Data,https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Risk-Analytics-and-Decision-Sciences--Masters----Early-Careers_R-568259,2026-08-13,2026-08-13T07:17:43+00:00,2026-08-13 00:17 Thu,,false,,,,false,simplify:Simplify Internships:6f6691e6-af37-4f78-b8c5-99857e6628bf
Wells Fargo:93ceecd3-ef7a-4e11-a4d0-fb7eb399e7f3,Wells Fargo,Quantitative Analytics Intern - Multiple Teams,"Charlotte, NC",AI/ML/Data,https://wd1.myworkdaysite.com/recruiting/wf/WellsFargoJobs/job/CHARLOTTE-NC/XMLNAME-2027-Quantitative-Analytics-Summer-Internship-Capital-Markets--PhD----Early-Careers_R-568279,2026-08-13,2026-08-13T07:17:43+00:00,2026-08-13 00:17 Thu,,false,,,,false,simplify:Simplify Internships:93ceecd3-ef7a-4e11-a4d0-fb7eb399e7f3
Wells Fargo:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/NEW-YORK-NY/Securities-Quantitative-Analytics-Associate---001924-_R-563080-1,Wells Fargo,Securities Quantitative Analytics Associate - #001924,"New York City, NY",,https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/NEW-YORK-NY/Securities-Quantitative-Analytics-Associate---001924-_R-563080-1,,2026-08-05T14:41:47+00:00,2026-08-05 07:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://wf.wd1.myworkdayjobs.com/en-US/wellsfargojobs/job/NEW-YORK-NY/Securities-Quantitative-Analytics-Associate---001924-_R-563080-1
