job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Western Digital:744000135925219,Western Digital," Engineer, Manufacturing Engineering","Bayan Lepas, Penang, Malaysia",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000135925219,2026-07-06T07:12:33.119Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000135925219
Western Digital:744000134391549,Western Digital, Program Management Engineering,"Bayan Lepas, Penang, Malaysia",Product Management,https://jobs.smartrecruiters.com/WesternDigital/744000134391549,2026-06-26T03:46:02.737Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000134391549
Western Digital:744000136716299,Western Digital," Supply Chain Analyst (2+ years Experience ) / Engineer, Industrial Engineering","Bengaluru, KA, India",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000136716299,2026-07-09T04:35:40.978Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000136716299
Western Digital:744000135312480,Western Digital,Advanced HDD Technology Designs and Integration (Hardware/Firmware Engineer),"Irvine, CA, United States",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000135312480,2026-07-01T16:32:57.591Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000135312480
Western Digital:744000133972529,Western Digital,"Analyst 1, Finance","Kuching, Sarawak, Malaysia",Finance,https://jobs.smartrecruiters.com/WesternDigital/744000133972529,2026-06-24T14:48:44.418Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000133972529
Western Digital:744000135184788,Western Digital,"Analyst 3, Finance ","Amphoe Si Maha Phot, Prachin Buri, Thailand",Other,https://jobs.smartrecruiters.com/WesternDigital/744000135184788,2026-07-01T06:42:03.218Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000135184788
Western Digital:744000134928559,Western Digital,"Analyst 3, Import/Export ( 6+ years experience HTS and ECCN) ","Bengaluru, KA, India",Supply Chain,https://jobs.smartrecruiters.com/WesternDigital/744000134928559,2026-06-30T04:45:37.260Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000134928559
Western Digital:744000137463221,Western Digital,"Analyst 4, Data Analytics","Bengaluru, KA, India",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000137463221,2026-07-13T13:39:57.882Z,2026-07-13T13:59:13+00:00,2026-07-13 06:59 Mon,,false,,,,false,smartrecruiters:Western Digital:744000137463221
Western Digital:744000136816001,Western Digital,"Analyst 5, Business Applications - Kinaxis ","Bengaluru, KA, India",Information Technology,https://jobs.smartrecruiters.com/WesternDigital/744000136816001,2026-07-09T13:15:23.141Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000136816001
Western Digital:744000134215936,Western Digital,"Application Lead, Information Technology","Pasir Gudang, Johor, Malaysia",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000134215936,2026-06-25T09:26:24.683Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000134215936
Western Digital:744000136866747,Western Digital,Architecture and System Design Engineer,"Irvine, CA, United States",Engineering,https://jobs.smartrecruiters.com/WesternDigital/744000136866747,2026-07-09T16:41:00.999Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000136866747
Western Digital:744000111026776,Western Digital,Ausbildung zum Mikrotechnologe (m/w/d) - 2026,"Ulm, BW, Germany",Training,https://jobs.smartrecruiters.com/WesternDigital/744000111026776,2026-02-24T08:26:25.602Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000111026776
Western Digital:744000135630162,Western Digital,China – Manufacturing Equipment Maintenance Technician (T),"Shenzhen, Guangdong Province, China",Manufacturing,https://jobs.smartrecruiters.com/WesternDigital/744000135630162,2026-07-03T01:41:51.397Z,2026-07-11T03:36:34+00:00,2026-07-10 20:36 Fri,,false,,,,false,smartrecruiters:Western Digital:744000135630162
