job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Western & Southern Financial Group:049c86d3-c16d-4798-9d63-c15b59e626ce,Western & Southern Financial Group,Actuarial Intern - Summer 2027,"Cincinnati, OH",AI/ML/Data,https://careers-westernsouthern.icims.com/jobs/25106/job?mobile=true&needsRedirect=false,2026-09-01,2026-09-01,2026-09-03T04:17:30+00:00,2026-09-02 21:17 Wed,,false,,,,false,simplify:Simplify Internships:049c86d3-c16d-4798-9d63-c15b59e626ce
Western & Southern Financial Group:https://careers-westernsouthern.icims.com/jobs/24773/ai-developer-i/job,Western & Southern Financial Group,AI Developer I,"Cincinnati, OH",,https://careers-westernsouthern.icims.com/jobs/24773/ai-developer-i/job,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://careers-westernsouthern.icims.com/jobs/24773/ai-developer-i/job|speedyapply:SpeedyApply SWE:https://careers-westernsouthern.icims.com/jobs/24773/ai-developer-i/job
Western & Southern Financial Group:7ae242cc-a181-401d-a99a-f3c05c8d9f5b,Western & Southern Financial Group,Artificial Intelligence Developer Intern,"Cincinnati, OH",AI/ML/Data,https://careers-westernsouthern.icims.com/jobs/25211/job?mobile=true&needsRedirect=false,2026-09-01,2026-09-01,2026-09-01T16:17:55+00:00,2026-09-01 09:17 Tue,AI / ML,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:7ae242cc-a181-401d-a99a-f3c05c8d9f5b
Western & Southern Financial Group:https://careers-westernsouthern.icims.com/jobs/25211/artificial-intelligence-developer-intern-%28full-year-2027%29/job,Western & Southern Financial Group,Artificial Intelligence Developer Intern - Full Year 2027,"Cincinnati, OH",,https://careers-westernsouthern.icims.com/jobs/25211/artificial-intelligence-developer-intern-%28full-year-2027%29/job,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,AI / ML,true,CLI,78,"Strong fit for an AI developer internship through substantial Python, machine learning, computer vision, deep learning, software engineering, and model optimization experience, though the resume shows limited financial-services domain knowledge.",true,speedyapply:SpeedyApply SWE:https://careers-westernsouthern.icims.com/jobs/25211/artificial-intelligence-developer-intern-%28full-year-2027%29/job
Western & Southern Financial Group:https://careers-westernsouthern.icims.com/jobs/25238/cloud-infrastructure-intern-%28full-year-2027%29/job,Western & Southern Financial Group,Cloud Infrastructure Intern - Full Year 2027,"Cincinnati, OH",,https://careers-westernsouthern.icims.com/jobs/25238/cloud-infrastructure-intern-%28full-year-2027%29/job,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:https://careers-westernsouthern.icims.com/jobs/25238/cloud-infrastructure-intern-%28full-year-2027%29/job
Western & Southern Financial Group:ae8f1ba1-981a-4a92-8400-ce447d413343,Western & Southern Financial Group,Data Engineering and Analytics Intern - Summer 2027,"Cincinnati, OH",AI/ML/Data,https://careers-westernsouthern.icims.com/jobs/25207/job?mobile=true&needsRedirect=false,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,Software Engineering,true,Keyword,51,title-only listing; auto-passed (no description to score),true,simplify:Simplify Internships:ae8f1ba1-981a-4a92-8400-ce447d413343
Western & Southern Financial Group:https://careers-westernsouthern.icims.com/jobs/25207/data-engineering-and-analytics-intern-%28summer-2027%29/job,Western & Southern Financial Group,Data Engineering and Analytics Intern - Summer 2027,"Cincinnati, OH",,https://careers-westernsouthern.icims.com/jobs/25207/data-engineering-and-analytics-intern-%28summer-2027%29/job,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Software Engineering,true,CLI,45,"The candidate has strong Python, MySQL, Pandas, Docker, and software engineering experience relevant to data engineering, but limited explicit analytics, ETL, financial-domain, or data-pipeline experience for this internship.",true,speedyapply:SpeedyApply AI:https://careers-westernsouthern.icims.com/jobs/25207/data-engineering-and-analytics-intern-%28summer-2027%29/job
Western & Southern Financial Group:d41d1a6f-e6bf-4872-a9db-fcc930ae53a9,Western & Southern Financial Group,Digital Analytics Intern - Spring or Summer 2027,"Cincinnati, OH",AI/ML/Data,https://careers-westernsouthern.icims.com/jobs/25195/job?mobile=true&needsRedirect=false,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,,false,,,,false,simplify:Simplify Internships:d41d1a6f-e6bf-4872-a9db-fcc930ae53a9
Western & Southern Financial Group:eafd244d-83eb-4223-b891-ff81566646e4,Western & Southern Financial Group,Java Programming Intern,"Cincinnati, OH",Software,https://careers-westernsouthern.icims.com/jobs/25320/job?mobile=true&needsRedirect=false,2026-09-03,2026-09-03,2026-09-04T03:41:00+00:00,2026-09-03 20:41 Thu,,false,,,,false,simplify:Simplify Internships:eafd244d-83eb-4223-b891-ff81566646e4
Western & Southern Financial Group:https://careers-westernsouthern.icims.com/jobs/25006/software-automation-testing-intern-%28full-year-2027%29/job,Western & Southern Financial Group,Software Automation Testing Intern - Full Year 2027,"Cincinnati, OH",,https://careers-westernsouthern.icims.com/jobs/25006/software-automation-testing-intern-%28full-year-2027%29/job,,,2026-09-02T16:41:58+00:00,2026-09-02 09:41 Wed,Other Technical,true,CLI,78,"Strong fit for automation testing through Python, OpenCV, Selenium, test-library development, and debugging experience, though the candidate’s computer-vision specialization and several years of professional experience exceed an intern role’s typical scope.",true,speedyapply:SpeedyApply SWE:https://careers-westernsouthern.icims.com/jobs/25006/software-automation-testing-intern-%28full-year-2027%29/job
