job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Zoox:ba2b9418-e041-43b9-9bb1-b19762a00bd6,Zoox,"AI Engineer – Enterprise, Data & AI","Foster City, CA",ITA PMO,https://jobs.lever.co/zoox/ba2b9418-e041-43b9-9bb1-b19762a00bd6,1783639914641,2026-07-13T16:18:38+00:00,2026-07-13 09:18 Mon,AI / ML,true,Keyword,43,keyword-only heuristic,false,lever:Zoox:ba2b9418-e041-43b9-9bb1-b19762a00bd6
Zoox:a8097f44-025a-47f5-a2c9-183fb50782ab,Zoox,AI Enterprise Architect Lead,"Foster City, CA",ITA PMO,https://jobs.lever.co/zoox/a8097f44-025a-47f5-a2c9-183fb50782ab,1774284528375,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,AI / ML,true,,50,keyword-only heuristic (AI / ML),true,lever:Zoox:a8097f44-025a-47f5-a2c9-183fb50782ab
Zoox:f4746da4-8eb8-43e2-b7ce-bf3c7cf9640d,Zoox,Autonomy System Test Engineer,"Foster City, CA",Software Quality Assurance,https://jobs.lever.co/zoox/f4746da4-8eb8-43e2-b7ce-bf3c7cf9640d,1777936261125,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,lever:Zoox:f4746da4-8eb8-43e2-b7ce-bf3c7cf9640d
Zoox:e36cc53e-5bd5-43b9-9a90-ec9b7c6abda9,Zoox,AV Safety Data Reporting Engineer,"Foster City, CA",Safety Strategy and Operations,https://jobs.lever.co/zoox/e36cc53e-5bd5-43b9-9a90-ec9b7c6abda9,1757985728853,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,Software Engineering,true,,50,keyword-only heuristic (Software Engineering),true,lever:Zoox:e36cc53e-5bd5-43b9-9a90-ec9b7c6abda9
Zoox:5fb23003-057f-4488-84c2-80ca98cc795d,Zoox,Business Recruiter,"Foster City, CA",Talent,https://jobs.lever.co/zoox/5fb23003-057f-4488-84c2-80ca98cc795d,1779306560238,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,,false,,,,false,lever:Zoox:5fb23003-057f-4488-84c2-80ca98cc795d
Zoox:7ca52fd4-a683-4ba9-a635-5155f90be4f7,Zoox,Compute Platform System Safety Engineer,"Foster City, CA",SDMA,https://jobs.lever.co/zoox/7ca52fd4-a683-4ba9-a635-5155f90be4f7,1767382064864,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,Software Engineering,true,,50,keyword-only heuristic (Software Engineering),true,lever:Zoox:7ca52fd4-a683-4ba9-a635-5155f90be4f7
Zoox:c1399cb4-16fa-4f04-8391-d19b1979d467,Zoox,"CRM Lead – Service Cloud, AI & Omnichannel","Foster City, CA",Business Applications,https://jobs.lever.co/zoox/c1399cb4-16fa-4f04-8391-d19b1979d467,1782514056551,2026-07-06T09:02:57+00:00,2026-07-06 02:02 Mon,,false,,,,false,lever:Zoox:c1399cb4-16fa-4f04-8391-d19b1979d467
Zoox:fd97675c-3483-42c6-826f-12fbb96ccafc,Zoox,Data Scientist - Mapping,"Foster City, CA",Autonomy Software,https://jobs.lever.co/zoox/fd97675c-3483-42c6-826f-12fbb96ccafc,1781823234464,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,AI / ML,true,,50,keyword-only heuristic (AI / ML),true,lever:Zoox:fd97675c-3483-42c6-826f-12fbb96ccafc
Zoox:9ab192af-3480-40a7-9ff3-f81061ac6301,Zoox,Data Scientist - Perception Verification and Validation,"Boston, MA",Autonomy Software,https://jobs.lever.co/zoox/9ab192af-3480-40a7-9ff3-f81061ac6301,1766440410563,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,Computer Vision,true,,50,keyword-only heuristic (Computer Vision),true,lever:Zoox:9ab192af-3480-40a7-9ff3-f81061ac6301
Zoox:37530bfc-55ec-4913-a27b-478ad0e3f8e7,Zoox,"Data Scientist, Autonomy Behavior Monitoring","Foster City, CA",Autonomy Software,https://jobs.lever.co/zoox/37530bfc-55ec-4913-a27b-478ad0e3f8e7,1780702611276,2026-06-28T14:43:22+00:00,2026-06-28 07:43 Sun,AI / ML,true,,50,keyword-only heuristic (AI / ML),true,lever:Zoox:37530bfc-55ec-4913-a27b-478ad0e3f8e7
