job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Allied Solutions:255aad80-1a86-44ec-bf34-a8f924b6efdd,Allied Solutions,AI Solutions Intern,"Carmel, IN",AI/ML/Data,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/Carmel-IN/AI-Solutions-Intern_R-011074,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:255aad80-1a86-44ec-bf34-a8f924b6efdd
Allied Solutions:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/AI-Solutions-Intern_R-011074,Allied Solutions,AI Solutions Intern,"Carmel, IN",,https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/AI-Solutions-Intern_R-011074,,,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/AI-Solutions-Intern_R-011074
Allied Solutions:af4ae6bb-f0fe-41f1-af62-5ea8c2bc515f,Allied Solutions,Data Governance Intern,"St Paul, MN",AI/ML/Data,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/St-Paul-MN/Data-Governance-Intern_R-011076,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,AI / ML,true,CLI,18,"The candidate has strong Python, SQL/database, and data-quality automation experience, but lacks direct data governance, privacy/security, business glossary, Power BI/Tableau experience and does not match the posting's undergraduate rising-junior/senior internship requirement.",false,simplify:Simplify Internships:af4ae6bb-f0fe-41f1-af62-5ea8c2bc515f
Allied Solutions:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Data-Science-Intern_R-011077,Allied Solutions,Data Science Intern,"Carmel, IN",,https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Data-Science-Intern_R-011077,,,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Data-Science-Intern_R-011077
Allied Solutions:9b1b26ff-b7e0-4bb3-9295-ca054fdf0a44,Allied Solutions,Data Science Intern - Data Intelligence,"Carmel, IN",AI/ML/Data,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/Carmel-IN/Data-Science-Intern_R-011077,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:9b1b26ff-b7e0-4bb3-9295-ca054fdf0a44
Allied Solutions:20930d88-f7dd-4419-8030-471b614af90e,Allied Solutions,IT Performance Analyst Intern,"Carmel, IN",AI/ML/Data,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/Carmel-IN/IT-Performance-Analyst-Intern_R-011082,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:20930d88-f7dd-4419-8030-471b614af90e
Allied Solutions:b1b8e29b-5511-480f-81c2-be6ceb87b8cf,Allied Solutions,Product Management Intern - Risk Management,"St Paul, MN",Product,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/St-Paul-MN/Product-Management-Intern---Risk-Management_R-011083,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:b1b8e29b-5511-480f-81c2-be6ceb87b8cf
Allied Solutions:92416bd1-1305-45ff-8558-9427fd6cc2bb,Allied Solutions,Sales Analytics Intern,"Carmel, IN",AI/ML/Data,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/Carmel-IN/Sales-Analytics-Intern_R-011098,2026-09-04,2026-09-04,2026-09-05T03:03:34+00:00,2026-09-04 20:03 Fri,,false,,,,false,simplify:Simplify Internships:92416bd1-1305-45ff-8558-9427fd6cc2bb
Allied Solutions:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Delivery-Management-Intern_R-011086,Allied Solutions,Software Delivery Management Intern,"Carmel, IN",,https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Delivery-Management-Intern_R-011086,,,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Delivery-Management-Intern_R-011086
Allied Solutions:837e72ab-fcb7-41aa-b35b-6a804c4f5954,Allied Solutions,Software Engineer Intern,"Carmel, IN",Software,https://alliedsolutions.wd501.myworkdayjobs.com/Allied_External/job/Carmel-IN/Software-Engineering-Intern_R-011087,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:837e72ab-fcb7-41aa-b35b-6a804c4f5954
Allied Solutions:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Engineering-Intern_R-011087,Allied Solutions,Software Engineering Intern,"Carmel, IN",,https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Engineering-Intern_R-011087,,,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://alliedsolutions.wd501.myworkdayjobs.com/en-US/allied_external/job/Carmel-IN/Software-Engineering-Intern_R-011087
