job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Bedrock Robotics:3ee68d2a-0b23-4b4a-a4e6-b204a8472cd4,Bedrock Robotics, Perception Sensor Software Engineer,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/3ee68d2a-0b23-4b4a-a4e6-b204a8472cd4,2026-01-31T03:50:17.809+00:00,2026-01-31,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:3ee68d2a-0b23-4b4a-a4e6-b204a8472cd4,2026-01-31
Bedrock Robotics:7ff12ad2-904f-4b3b-9fde-e0cff3632a3a,Bedrock Robotics,Agentic Data Understanding ,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/7ff12ad2-904f-4b3b-9fde-e0cff3632a3a,2026-06-17T01:54:54.079+00:00,2026-06-17,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:7ff12ad2-904f-4b3b-9fde-e0cff3632a3a,2026-06-17
Bedrock Robotics:c51d682e-58ee-44de-886f-4cfacb56d2e1,Bedrock Robotics,Behavior Machine Learning Engineer Intern - World Models,SF,AI/ML/Data,https://jobs.ashbyhq.com/bedrock-robotics/c51d682e-58ee-44de-886f-4cfacb56d2e1/application?embed=true|https://jobs.ashbyhq.com/bedrock-robotics/c51d682e-58ee-44de-886f-4cfacb56d2e1,2026-09-10,2026-09-10,2026-09-10T23:34:15+00:00,2026-09-10 16:34 Thu,Computer Vision,true,CLI:agy,85,候選人正於 Northeastern University 就讀 Artificial Intelligence 碩士學位並預計於 2027 年畢業，具備紮實的 Python、PyTorch 與 RL 實務經驗，並有論文模型實作與處理真實世界非結構化數據的背景，與實習生職位要求高度契合，僅在 sequence modeling 與大型世界模型專案經驗上略有不足。,true,ashby:Bedrock Robotics:c51d682e-58ee-44de-886f-4cfacb56d2e1|simplify:Simplify Internships:c51d682e-58ee-44de-886f-4cfacb56d2e1,2026-09-10|2026-09-10
Bedrock Robotics:8d061c9d-631a-4230-b2e5-402ed1dae5ee,Bedrock Robotics,Cloud - Software Engineer,"New York, NY",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/8d061c9d-631a-4230-b2e5-402ed1dae5ee,2026-06-17T13:44:25.760+00:00,2026-06-17,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:8d061c9d-631a-4230-b2e5-402ed1dae5ee,2026-06-17
Bedrock Robotics:16bee741-40f2-4951-b8b8-16546c723008,Bedrock Robotics,Construction Business Development ,Remote,Commercial,https://jobs.ashbyhq.com/bedrock-robotics/16bee741-40f2-4951-b8b8-16546c723008,2026-07-17T16:57:19.513+00:00,2026-07-17,2026-07-17T17:17:33+00:00,2026-07-17 10:17 Fri,,false,,,,false,ashby:Bedrock Robotics:16bee741-40f2-4951-b8b8-16546c723008,2026-07-17
Bedrock Robotics:97d8761f-3238-4f1d-8893-cdff3d1cc954,Bedrock Robotics,Controls and Robot Learning Engineer,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/97d8761f-3238-4f1d-8893-cdff3d1cc954,2026-08-17T16:33:10.954+00:00,2026-08-17,2026-08-17T16:41:56+00:00,2026-08-17 09:41 Mon,AI / ML,true,CLI,62,"Strong Python/C++, computer vision, reinforcement learning, modeling, and 5 years of engineering experience align well, but the resume lacks direct controls, robot dynamics, embedded real-time systems, MPC, hydraulic systems, and safety-critical autonomy experience.",true,ashby:Bedrock Robotics:97d8761f-3238-4f1d-8893-cdff3d1cc954,2026-08-17
Bedrock Robotics:3ea721d7-eed6-44b3-a5b7-1e6698bf621f,Bedrock Robotics,Data Engineer,"New York, NY",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/3ea721d7-eed6-44b3-a5b7-1e6698bf621f,2026-06-17T20:18:52.816+00:00,2026-06-17,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:3ea721d7-eed6-44b3-a5b7-1e6698bf621f,2026-06-17
Bedrock Robotics:4bd2e282-a7d5-4605-9483-8bfa89e567f6,Bedrock Robotics,Data Scientist,"New York, NY",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/4bd2e282-a7d5-4605-9483-8bfa89e567f6,2026-06-08T12:41:00.593+00:00,2026-06-08,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:4bd2e282-a7d5-4605-9483-8bfa89e567f6,2026-06-08
Bedrock Robotics:f9ed6795-60e2-42f2-b532-eb393df0f810,Bedrock Robotics,Developer Platform Engineer,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/f9ed6795-60e2-42f2-b532-eb393df0f810,2026-06-17T20:20:22.441+00:00,2026-06-17,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:f9ed6795-60e2-42f2-b532-eb393df0f810,2026-06-17
Bedrock Robotics:6d4644d4-5d99-466c-8a10-2b6645e5695c,Bedrock Robotics,Don't fit another role but want us to consider you? Apply here...,"New York, NY",General & Administrative,https://jobs.ashbyhq.com/bedrock-robotics/6d4644d4-5d99-466c-8a10-2b6645e5695c,2026-01-31T03:53:50.864+00:00,2026-01-31,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:6d4644d4-5d99-466c-8a10-2b6645e5695c,2026-01-31
Bedrock Robotics:7dbd80b9-8973-4908-a3b5-21fe7ea350b3,Bedrock Robotics,"Embedded Software Engineer, Onboard Platform","San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/7dbd80b9-8973-4908-a3b5-21fe7ea350b3,2026-08-19T20:53:44.521+00:00,2026-08-19,2026-08-19T21:18:21+00:00,2026-08-19 14:18 Wed,Software Engineering,true,CLI,18,"Strong C++ and Python engineering background with computer vision and performance optimization, but lacks demonstrated embedded systems, robotics, RTOS, real-time, safety-critical, hardware-interface, and industrial networking experience, and the role targets senior/staff-level ownership.",true,ashby:Bedrock Robotics:7dbd80b9-8973-4908-a3b5-21fe7ea350b3,2026-08-19
Bedrock Robotics:eca9c87e-fa5f-4c27-b8ef-4fe8593105ed,Bedrock Robotics,Fleet Operations Regional Manager ,Remote,Operations,https://jobs.ashbyhq.com/bedrock-robotics/eca9c87e-fa5f-4c27-b8ef-4fe8593105ed,2026-08-03T19:50:56.915+00:00,2026-08-03,2026-08-03T19:59:58+00:00,2026-08-03 12:59 Mon,,false,,,,false,ashby:Bedrock Robotics:eca9c87e-fa5f-4c27-b8ef-4fe8593105ed,2026-08-03
Bedrock Robotics:85673a43-e020-4056-8876-df9798989525,Bedrock Robotics,Fleet Operations Regional Manager - Central Region  ,Remote,Operations,https://jobs.ashbyhq.com/bedrock-robotics/85673a43-e020-4056-8876-df9798989525,2026-07-13T15:27:39.873+00:00,2026-07-13,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:85673a43-e020-4056-8876-df9798989525,2026-07-13
Bedrock Robotics:9e55dc45-1186-4177-98a9-65ddb792f2ce,Bedrock Robotics,Frontend Engineer,"New York, NY",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/9e55dc45-1186-4177-98a9-65ddb792f2ce,2026-06-16T15:13:40.269+00:00,2026-06-16,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:9e55dc45-1186-4177-98a9-65ddb792f2ce,2026-06-16
Bedrock Robotics:5ebb3df9-11d1-499b-a125-5f7b317c5f71,Bedrock Robotics,Global Controller,"San Francisco, CA",Finance,https://jobs.ashbyhq.com/bedrock-robotics/5ebb3df9-11d1-499b-a125-5f7b317c5f71,2026-07-01T18:16:54.237+00:00,2026-07-01,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:5ebb3df9-11d1-499b-a125-5f7b317c5f71,2026-07-01
Bedrock Robotics:be10dd72-283b-4c68-9fb8-8b5cced063ab,Bedrock Robotics,Global Supply Manager,"San Francisco, CA",Operations,https://jobs.ashbyhq.com/bedrock-robotics/be10dd72-283b-4c68-9fb8-8b5cced063ab,2026-08-18T16:12:47.964+00:00,2026-08-18,2026-08-18T16:30:57+00:00,2026-08-18 09:30 Tue,,false,,,,false,ashby:Bedrock Robotics:be10dd72-283b-4c68-9fb8-8b5cced063ab,2026-08-18
Bedrock Robotics:add60bb6-9980-44de-abc1-059ca9b73109,Bedrock Robotics,Hardware Engineer,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/add60bb6-9980-44de-abc1-059ca9b73109,2026-05-04T02:59:50.092+00:00,2026-05-04,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:add60bb6-9980-44de-abc1-059ca9b73109,2026-05-04
Bedrock Robotics:d6390dfb-9460-4416-b340-8f7a154b6669,Bedrock Robotics,Hardware Technician,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/d6390dfb-9460-4416-b340-8f7a154b6669,2026-06-09T21:13:46.736+00:00,2026-06-09,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:d6390dfb-9460-4416-b340-8f7a154b6669,2026-06-09
Bedrock Robotics:c4b8a367-42dc-4bae-871a-c47e442ac02a,Bedrock Robotics,Head of Validation and Systems Engineering,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/c4b8a367-42dc-4bae-871a-c47e442ac02a,2026-08-06T19:05:47.163+00:00,2026-08-06,2026-08-06T19:26:51+00:00,2026-08-06 12:26 Thu,,false,,,,false,ashby:Bedrock Robotics:c4b8a367-42dc-4bae-871a-c47e442ac02a,2026-08-06
Bedrock Robotics:bc9fec16-d8fe-45e6-a2b4-8cfe59c989ef,Bedrock Robotics,Heavy Equipment Operator - Contract-Based,"Lockhart, TX",Operations,https://jobs.ashbyhq.com/bedrock-robotics/bc9fec16-d8fe-45e6-a2b4-8cfe59c989ef,2026-01-31T03:56:35.663+00:00,2026-01-31,2026-07-17T05:17:12+00:00,2026-07-16 22:17 Thu,,false,,,,false,ashby:Bedrock Robotics:bc9fec16-d8fe-45e6-a2b4-8cfe59c989ef,2026-01-31
Bedrock Robotics:949feb1b-c60f-43c5-94de-7dd9cd70ba4a,Bedrock Robotics,Internship 2027 Hardware Engineer,"San Francisco, CA",Engineering,https://jobs.ashbyhq.com/bedrock-robotics/949feb1b-c60f-43c5-94de-7dd9cd70ba4a,2026-09-10T22:49:39.846+00:00,2026-09-10,2026-09-10T23:34:15+00:00,2026-09-10 16:34 Thu,,false,,,,false,ashby:Bedrock Robotics:949feb1b-c60f-43c5-94de-7dd9cd70ba4a,2026-09-10
