job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Belay Technologies:http://belaytechnologies.applytojob.com/apply/AwvRH1d4o2/Front-End-Software-Engineer,Belay Technologies,Front End Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/AwvRH1d4o2/Front-End-Software-Engineer,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/AwvRH1d4o2/Front-End-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/6XkgXjwrHB/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Annapolis Junction, MD",,http://belaytechnologies.applytojob.com/apply/6XkgXjwrHB/Junior-Software-Engineer,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/6XkgXjwrHB/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/KGsCADPg05/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/KGsCADPg05/Junior-Software-Engineer,,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/KGsCADPg05/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/nCcHbYR6PK/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/nCcHbYR6PK/Junior-Software-Engineer,,,2026-07-08T14:36:08+00:00,2026-07-08 07:36 Wed,,false,,,,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/nCcHbYR6PK/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/ZnqLFgGzSo/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Columbia, MD",,http://belaytechnologies.applytojob.com/apply/ZnqLFgGzSo/Junior-Software-Engineer,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/ZnqLFgGzSo/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/f5zEEvNvHg/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Columbia, MD",,http://belaytechnologies.applytojob.com/apply/f5zEEvNvHg/Junior-Software-Engineer,,,2026-08-01T13:58:56+00:00,2026-08-01 06:58 Sat,Software Engineering,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/f5zEEvNvHg/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/H8xHohVS1X/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/H8xHohVS1X/Junior-Software-Engineer,,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,CLI,35,"The candidate has strong software, Python/C++, testing, and computer vision experience, but the posting provides no description to verify alignment with Belay Technologies’ specific domain, technical requirements, or seniority expectations.",false,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/H8xHohVS1X/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/R3I0lh7TrB/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Ft. Meade, MD",,http://belaytechnologies.applytojob.com/apply/R3I0lh7TrB/Junior-Software-Engineer,,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,CLI,78,"The candidate has strong Python and C++ software engineering experience, backend development, testing, Docker, Linux, and computer vision skills that fit a junior software engineering role, though the absent job description prevents confirming alignment with Belay Technologies' specific domain requirements.",true,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/R3I0lh7TrB/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/euBUB7X70C/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/euBUB7X70C/Junior-Software-Engineer,,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,CLI,72,"Strong software engineering, Python/C++ development, testing, Docker, Linux, and computer vision experience align well with a junior software engineering role, though the missing job description prevents confirming domain-specific requirements.",true,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/euBUB7X70C/Junior-Software-Engineer
Belay Technologies:http://belaytechnologies.applytojob.com/apply/lAKlcQSUA5/Junior-Software-Engineer,Belay Technologies,Junior Software Engineer,"Fort Meade, MD",,http://belaytechnologies.applytojob.com/apply/lAKlcQSUA5/Junior-Software-Engineer,,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,Software Engineering,true,CLI,75,"The candidate has strong software engineering experience in Python, C++, C#, backend systems, Docker, databases, testing, and computer vision, though the empty job description prevents confirming alignment with Belay Technologies' specific requirements.",true,speedyapply:SpeedyApply SWE:http://belaytechnologies.applytojob.com/apply/lAKlcQSUA5/Junior-Software-Engineer
