job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Blue Robotics:f9ca7475-c8a7-402b-821e-5e87fcc5a4e6,Blue Robotics,Assembly Technician ,"Torrance, CA",Operations - Direct,https://ats.rippling.com/blue-robotics/jobs/f9ca7475-c8a7-402b-821e-5e87fcc5a4e6,,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,rippling:Blue Robotics:f9ca7475-c8a7-402b-821e-5e87fcc5a4e6
Blue Robotics:95479371-ba01-4190-950c-4cfd53369914,Blue Robotics,Customer Success Representative,"PA; NJ; Torrance, CA; New York, NY","Sales, Marketing & Support",https://ats.rippling.com/blue-robotics/jobs/95479371-ba01-4190-950c-4cfd53369914,,,2026-08-05T22:41:39+00:00,2026-08-05 15:41 Wed,,false,,,,false,rippling:Blue Robotics:95479371-ba01-4190-950c-4cfd53369914
Blue Robotics:49f40f46-7132-4fd3-bfee-9416c549c183,Blue Robotics,Electrical Engineer,"Victoria, Canada",Research & Development,https://ats.rippling.com/blue-robotics/jobs/49f40f46-7132-4fd3-bfee-9416c549c183,,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,rippling:Blue Robotics:49f40f46-7132-4fd3-bfee-9416c549c183
Blue Robotics:9d41334e-0aa3-4509-8eba-8d8c172355e6,Blue Robotics,Electronics Design Co-op (Fall  2026),"Victoria, Canada",Research & Development,https://ats.rippling.com/blue-robotics/jobs/a0ed8cc8-5b7d-456f-93fa-36b75e5b90e7,,,2026-07-21T02:17:49+00:00,2026-07-20 19:17 Mon,,false,,,,false,simplify:Simplify Internships:9d41334e-0aa3-4509-8eba-8d8c172355e6|rippling:Blue Robotics:a0ed8cc8-5b7d-456f-93fa-36b75e5b90e7
Blue Robotics:8e906636-d2a0-40ae-ae75-daf2c47f9804,Blue Robotics,HR Data Consultant,"Torrance, CA",Administration,https://ats.rippling.com/blue-robotics/jobs/8e906636-d2a0-40ae-ae75-daf2c47f9804,,,2026-09-05T03:03:34+00:00,2026-09-04 20:03 Fri,,false,,,,false,rippling:Blue Robotics:8e906636-d2a0-40ae-ae75-daf2c47f9804
Blue Robotics:ba97bef2-1799-4d11-9e4c-8a89ce3c8834,Blue Robotics,Jr. Mechanical Engineer,"Victoria, Canada",Research & Development,https://ats.rippling.com/blue-robotics/jobs/ba97bef2-1799-4d11-9e4c-8a89ce3c8834,,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,rippling:Blue Robotics:ba97bef2-1799-4d11-9e4c-8a89ce3c8834
Blue Robotics:67ad0a37-a1e5-4b26-8042-83b2c64ead86,Blue Robotics,Packer ,"Torrance, CA",Operations - Direct,https://ats.rippling.com/blue-robotics/jobs/67ad0a37-a1e5-4b26-8042-83b2c64ead86,,,2026-08-05T22:59:00+00:00,2026-08-05 15:59 Wed,,false,,,,false,rippling:Blue Robotics:67ad0a37-a1e5-4b26-8042-83b2c64ead86
Blue Robotics:bff39bf3-d9f4-495c-b594-89c33440167a,Blue Robotics,Quality Engineer,"Torrance, CA",Quality,https://ats.rippling.com/blue-robotics/jobs/bff39bf3-d9f4-495c-b594-89c33440167a,,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,rippling:Blue Robotics:bff39bf3-d9f4-495c-b594-89c33440167a
Blue Robotics:529afb7d-6d84-4402-9aba-e4a79c794f88,Blue Robotics,Quality Inspector ,"Torrance, CA",Quality,https://ats.rippling.com/blue-robotics/jobs/529afb7d-6d84-4402-9aba-e4a79c794f88,,,2026-09-01T19:42:05+00:00,2026-09-01 12:42 Tue,,false,,,,false,rippling:Blue Robotics:529afb7d-6d84-4402-9aba-e4a79c794f88
Blue Robotics:7aaac16f-7e48-49b2-a302-f8fff71128e5,Blue Robotics,Senior Supply Chain Manager,"Torrance, CA",Operations - Overhead,https://ats.rippling.com/blue-robotics/jobs/7aaac16f-7e48-49b2-a302-f8fff71128e5,,,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,rippling:Blue Robotics:7aaac16f-7e48-49b2-a302-f8fff71128e5
