job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282,Boeing,Advanced Information Technologist - Associate Cloud Engineer,"Hazelwood, MO",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282,,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282-1,Boeing,Advanced Information Technologist - Associate Cloud Engineer,"Hazelwood, MO",,https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282-1,,,2026-07-23T14:32:01+00:00,2026-07-23 07:32 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Advanced-Information-Technologist---Associate-Cloud-Engineer_JR2026494282-1
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Oklahoma-City-OK/Associate-and-Experienced-Software-Engineers---Secure-Network---Protocols_JR2026513995-2,Boeing,Associate and Experienced Software Engineers - Secure Network & Protocols,"Oklahoma City, OK",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Oklahoma-City-OK/Associate-and-Experienced-Software-Engineers---Secure-Network---Protocols_JR2026513995-2,,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Oklahoma-City-OK/Associate-and-Experienced-Software-Engineers---Secure-Network---Protocols_JR2026513995-2
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069,Boeing,Associate Embedded Software Engineer,"Hazelwood, MO +2",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069,,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069-1,Boeing,Associate Embedded Software Engineer,"Hazelwood, MO +2",,https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069-1,,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Embedded-Software-Engineer_JR2026500069-1
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507-1,Boeing,Associate Engineering Data Scientist,"Tukwila, WA",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507-1,,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,AI / ML,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507-1
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507,Boeing,Associate Engineering Data Scientist,"Tukwila, WA",,https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507,,,2026-07-14T14:17:06+00:00,2026-07-14 07:17 Tue,AI / ML,true,Keyword,40,keyword-only heuristic,false,speedyapply:SpeedyApply AI:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Tukwila-WA/Associate-Engineering-Data-Scientist_JR2026516507
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119-1,Boeing,Associate Engineering Data Scientist,"Hazelwood, MO",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119-1,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119-1
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119,Boeing,Associate Engineering Data Scientist,"Hazelwood, MO",,https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://boeing.wd1.myworkdayjobs.com/en-US/external_subsidiary/job/USA---Hazelwood-MO/Associate-Engineering-Data-Scientist_JR2026520119
Boeing:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Real-Time-Software-Engineer--Phantom-Works_JR2026518308-1,Boeing,Associate Real Time Software Engineer - Phantom Works,"Hazelwood, MO +2",,https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Real-Time-Software-Engineer--Phantom-Works_JR2026518308-1,,,2026-07-28T14:35:37+00:00,2026-07-28 07:35 Tue,,false,,,,false,speedyapply:SpeedyApply SWE:https://boeing.wd1.myworkdayjobs.com/en-US/external_careers/job/USA---Hazelwood-MO/Associate-Real-Time-Software-Engineer--Phantom-Works_JR2026518308-1
