job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Cognex:/job/Noida-India/Account-Payable-Specilist_R0011703,Cognex,Account Payable Specilist,"Noida, India",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Noida-India/Account-Payable-Specilist_R0011703,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Noida-India/Account-Payable-Specilist_R0011703
Cognex:/job/Beijing-China/Account-Sales-Engineer_R0012058,Cognex,Account Sales Engineer,"Beijing, China",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Beijing-China/Account-Sales-Engineer_R0012058,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Beijing-China/Account-Sales-Engineer_R0012058
Cognex:/job/Hanoi-Vietnam/Account-Sales-Engineer_R0011588,Cognex,Account Sales Engineer,"Hanoi, Vietnam",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Hanoi-Vietnam/Account-Sales-Engineer_R0011588,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Hanoi-Vietnam/Account-Sales-Engineer_R0011588
Cognex:/job/Minnesota---Field/Account-Sales-Engineer_R0012080,Cognex,Account Sales Engineer,Minnesota - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Minnesota---Field/Account-Sales-Engineer_R0012080,Posted 27 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Minnesota---Field/Account-Sales-Engineer_R0012080
Cognex:/job/Noida-India/Account-Sales-Engineer_R0011864,Cognex,Account Sales Engineer,"Noida, India",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Noida-India/Account-Sales-Engineer_R0011864,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Noida-India/Account-Sales-Engineer_R0011864
Cognex:/job/Osaka-Japan/Account-Sales-Engineer_R0011306,Cognex,Account Sales Engineer,"Osaka, Japan",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Osaka-Japan/Account-Sales-Engineer_R0011306,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Osaka-Japan/Account-Sales-Engineer_R0011306
Cognex:/job/Portugal---Field/Account-Sales-Engineer_R0011486,Cognex,Account Sales Engineer,Portugal - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Portugal---Field/Account-Sales-Engineer_R0011486,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Portugal---Field/Account-Sales-Engineer_R0011486
Cognex:/job/Texas---Field/Account-Sales-Engineer_R0012091,Cognex,Account Sales Engineer,Texas - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Texas---Field/Account-Sales-Engineer_R0012091,Posted 27 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Texas---Field/Account-Sales-Engineer_R0012091
Cognex:/job/Tokyo-Japan/Account-Sales-Engineer_R0011308,Cognex,Account Sales Engineer,"Tokyo, Japan",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Tokyo-Japan/Account-Sales-Engineer_R0011308,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Tokyo-Japan/Account-Sales-Engineer_R0011308
Cognex:/job/Indonesia---Field/Application-Engineer_R0010969,Cognex,Application Engineer,Indonesia - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Indonesia---Field/Application-Engineer_R0010969,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Indonesia---Field/Application-Engineer_R0010969
Cognex:/job/Indonesia---Field/Application-Engineer_R0011578-1,Cognex,Application Engineer,Indonesia - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Indonesia---Field/Application-Engineer_R0011578-1,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Indonesia---Field/Application-Engineer_R0011578-1
Cognex:/job/France_Rueil-Malmaison/Applications-Engineer_R0012094,Cognex,Applications Engineer,France_Rueil Malmaison,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/France_Rueil-Malmaison/Applications-Engineer_R0012094,Posted 22 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/France_Rueil-Malmaison/Applications-Engineer_R0012094
Cognex:/job/Bangkok-Thailand/Area-Sales-Manager_R0011885,Cognex,Area Sales Manager,"Bangkok, Thailand",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Bangkok-Thailand/Area-Sales-Manager_R0011885,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Bangkok-Thailand/Area-Sales-Manager_R0011885
Cognex:/job/Aachen-Germany/Assembly-and-Test-Technician_R0011941-1,Cognex,Assembly and Test Technician,"Aachen, Germany",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Aachen-Germany/Assembly-and-Test-Technician_R0011941-1,Posted 2 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Aachen-Germany/Assembly-and-Test-Technician_R0011941-1
Cognex:/job/Yverdon-les-Bains-Switzerland/Associate-Applications-Engineer_R0012095,Cognex,Associate Applications Engineer,"Yverdon-les-Bains, Switzerland",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Yverdon-les-Bains-Switzerland/Associate-Applications-Engineer_R0012095,Posted 2 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Yverdon-les-Bains-Switzerland/Associate-Applications-Engineer_R0012095
Cognex:/job/Noida-India/Associate-Freight-Analyst_R0011533,Cognex,Associate Freight Analyst,"Noida, India",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Noida-India/Associate-Freight-Analyst_R0011533,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Noida-India/Associate-Freight-Analyst_R0011533
Cognex:/job/Bangkok-Thailand/Associate-Territory-Sales-Engineer_R0011527,Cognex,Associate Territory Sales Engineer,"Bangkok, Thailand",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Bangkok-Thailand/Associate-Territory-Sales-Engineer_R0011527,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Bangkok-Thailand/Associate-Territory-Sales-Engineer_R0011527
Cognex:/job/Massachusetts---Field/Associate-Territory-Sales-Engineer_R0012070,Cognex,Associate Territory Sales Engineer,Massachusetts - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Massachusetts---Field/Associate-Territory-Sales-Engineer_R0012070,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Massachusetts---Field/Associate-Territory-Sales-Engineer_R0012070
Cognex:/job/Ohio---Field/Associate-Territory-Sales-Engineer_R0012047,Cognex,Associate Territory Sales Engineer,Ohio - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Ohio---Field/Associate-Territory-Sales-Engineer_R0012047,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Ohio---Field/Associate-Territory-Sales-Engineer_R0012047
Cognex:/job/Seattle-Washington/Associate-Territory-Sales-Engineer_R0011706,Cognex,Associate Territory Sales Engineer,"Seattle, Washington",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Seattle-Washington/Associate-Territory-Sales-Engineer_R0011706,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Seattle-Washington/Associate-Territory-Sales-Engineer_R0011706
Cognex:/job/Vietnam---Field/Associate-Territory-Sales-Engineer_R0011518,Cognex,Associate Territory Sales Engineer,Vietnam - Field,,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Vietnam---Field/Associate-Territory-Sales-Engineer_R0011518,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Vietnam---Field/Associate-Territory-Sales-Engineer_R0011518
Cognex:/job/Budapest-Hungary/Customer-Support-Engineer_R0012086,Cognex,Customer Support Engineer,"Budapest, Hungary",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Budapest-Hungary/Customer-Support-Engineer_R0012086,Posted 27 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Budapest-Hungary/Customer-Support-Engineer_R0012086
Cognex:/job/Noida-India/Director-Finance--GSSC_R0012125,Cognex,Director Finance- GSSC,"Noida, India",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Noida-India/Director-Finance--GSSC_R0012125,Posted 30 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Noida-India/Director-Finance--GSSC_R0012125
Cognex:/job/Natick-Massachusetts/Director--Global-Demand-Generation_R0012158,Cognex,"Director, Global Demand Generation","Natick, Massachusetts",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Natick-Massachusetts/Director--Global-Demand-Generation_R0012158,Posted 21 Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Natick-Massachusetts/Director--Global-Demand-Generation_R0012158
Cognex:/job/Noida-India/Document-Control-Specialist_R0011531,Cognex,Document Control Specialist,"Noida, India",,https://cognex.wd1.myworkdayjobs.com/en-US/External_Career_Site/job/Noida-India/Document-Control-Specialist_R0011531,Posted 30+ Days Ago,2026-07-10T05:21:53+00:00,,false,,,,false,workday:Cognex:/job/Noida-India/Document-Control-Specialist_R0011531
