job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Copart:188c70e9-8a5c-445e-8bcf-9061fecdd0bb,Copart,Database Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Database-Engineering-Intern_JR109636,2026-06-24,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:188c70e9-8a5c-445e-8bcf-9061fecdd0bb
Copart:26ca5f88-4aa3-47dd-b7c2-3d192287ce69,Copart,Software Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR101987,2026-05-16,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:26ca5f88-4aa3-47dd-b7c2-3d192287ce69
Copart:7e13e0d3-bd62-458e-869e-bb070af80106,Copart,Software Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441,2026-06-18,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:7e13e0d3-bd62-458e-869e-bb070af80106
Copart:b5e81d8d-839a-4ffb-b147-0a513ffea0a8,Copart,Software Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR101510,2026-05-23,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:b5e81d8d-839a-4ffb-b147-0a513ffea0a8
Copart:dc2f3a9e-bfd2-4ade-a19a-e77dfdcd2301,Copart,Software Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109672,2026-06-26,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:dc2f3a9e-bfd2-4ade-a19a-e77dfdcd2301
Copart:ecb57e2b-b9a6-4967-9d05-bd9596de3537,Copart,Software Engineer Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109393,2026-06-08,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:ecb57e2b-b9a6-4967-9d05-bd9596de3537
Copart:2b7c8f72-48b1-4c76-ac63-400cb8ba6b08,Copart,Software Engineering Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR107699,2026-03-10,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:2b7c8f72-48b1-4c76-ac63-400cb8ba6b08
Copart:4fa1b683-fa30-44b0-a279-ea52a60e6a84,Copart,Software Engineering Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR106129,2025-12-22,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:4fa1b683-fa30-44b0-a279-ea52a60e6a84
Copart:6ab465b6-9bbd-4003-b0c0-b76c76d4ceaf,Copart,Software Engineering Intern,"Dallas, TX",Software,https://copart.wd12.myworkdayjobs.com/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR106983,2026-02-10,2026-07-07T05:59:38+00:00,,false,,,,false,simplify:Simplify Internships:6ab465b6-9bbd-4003-b0c0-b76c76d4ceaf
Copart:https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109393,Copart,Software Engineering Intern,"Dallas, TX Headquarters",,https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109393,,2026-07-07T05:59:38+00:00,,false,,,,false,speedyapply:SpeedyApply SWE:https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109393
Copart:https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441,Copart,Software Engineering Intern,"Dallas, TX Headquarters",,https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441,,2026-07-07T05:59:38+00:00,,false,,,,false,speedyapply:SpeedyApply SWE:https://copart.wd12.myworkdayjobs.com/en-US/copart/job/Dallas-TX---Headquarters/Software-Engineering-Intern_JR109441
