job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
CoStar Group:ce76b0bf-36f0-4008-b0a0-193ee9e09639,CoStar Group,Associate Android Engineer,"Irvine, CA",Software,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/Orange-County---CA/Homescom---Associate-Android-Engineer_R39719,2026-08-27,2026-08-27,2026-09-10T23:34:15+00:00,2026-09-10 16:34 Thu,Other Technical,true,CLI:agy,45,雖然此為 0-6 個月經驗的 Associate Android Engineer 職缺且候選人具備 Java、OOP 與大學 Android 專案基礎，但其主要核心經歷集中於 Computer Vision 與後端開發，缺乏現代 Android 開發生態系（如 Kotlin、Android SDK 與 MVVM 架構）的實際實務經驗。,false,simplify:Simplify New Grad:ce76b0bf-36f0-4008-b0a0-193ee9e09639,2026-08-27
CoStar Group:029aef04-1109-4f26-ac95-e81a3cf1fe24,CoStar Group,Associate Software Engineer,"Richmond, VA",Software,https://costar.wd1.myworkdayjobs.com/Costar_Campus/job/US-VA-Richmond---CoStar-Tower/Associate-Software-Engineer---Richmond--VA_R39667,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Software Engineering,true,CLI:codex,0,職缺描述為空，無法確認 Associate Software Engineer 的具體技能、領域或 seniority 要求，因此無法評估與候選人經驗的匹配度。,false,simplify:Simplify New Grad:029aef04-1109-4f26-ac95-e81a3cf1fe24,2026-09-14
CoStar Group:722f99a1-34ff-426d-8ea6-596d9b287119,CoStar Group,Associate Software Engineer,"Arlington County, Arlington, VA",Software,https://costar.wd1.myworkdayjobs.com/Costar_Campus/job/US-VA-Arlington/Associate-Software-Engineer---Arlington--VA_R39668,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Software Engineering,true,CLI:codex,55,雖然職缺描述為空，無法確認具體要求，但候選人具備 Python、C++、C#、Docker、Linux 及後端與 Computer Vision 開發經驗，與 Associate Software Engineer 職級具一定匹配度。,true,simplify:Simplify New Grad:722f99a1-34ff-426d-8ea6-596d9b287119,2026-09-14
CoStar Group:fad2e0d4-274c-40b8-b96d-c769ef5ee9da,CoStar Group,Associate Software Engineer,"San Diego, CA",Software,https://costar.wd1.myworkdayjobs.com/Costar_Campus/job/US-CA-San-Diego/Associate-Software-Engineer---San-Diego--CA_R39674,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify New Grad:fad2e0d4-274c-40b8-b96d-c769ef5ee9da,2026-09-16
CoStar Group:fec5c82d-3e40-46de-bad2-93a1b2669f21,CoStar Group,Associate Software Engineer,"Irvine, CA",Software,https://costar.wd1.myworkdayjobs.com/Costar_Campus/job/Irvine-US/Associate-Software-Engineer---Irvine--CA_R39736,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify New Grad:fec5c82d-3e40-46de-bad2-93a1b2669f21,2026-09-16
CoStar Group:https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/Irvine-US/Associate-Software-Engineer---Irvine--CA_R39736,CoStar Group,Associate Software Engineer - Irvine - CA,USA,,https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/Irvine-US/Associate-Software-Engineer---Irvine--CA_R39736,,,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/Irvine-US/Associate-Software-Engineer---Irvine--CA_R39736,
CoStar Group:https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/US-CA-San-Diego/Associate-Software-Engineer---San-Diego--CA_R39674,CoStar Group,Associate Software Engineer - San Diego - CA,"San Diego, CA",,https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/US-CA-San-Diego/Associate-Software-Engineer---San-Diego--CA_R39674,,,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,speedyapply:SpeedyApply SWE:https://costar.wd1.myworkdayjobs.com/en-US/costar_campus/job/US-CA-San-Diego/Associate-Software-Engineer---San-Diego--CA_R39674,
CoStar Group:7fecf416-ba4b-4370-a12a-b70935f4c95a,CoStar Group,Field Researcher,"Miami, FL",AI/ML/Data,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-FL-Miami/Part-Time-Field-Researcher---Zonda---Miami-FL_R39834,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify New Grad:7fecf416-ba4b-4370-a12a-b70935f4c95a,2026-09-16
CoStar Group:9e0a1a0a-cd53-4d04-b331-d0befbd16a1a,CoStar Group,Field Researcher - Zonda,"Robertsdale, AL",AI/ML/Data,https://costar.wd1.myworkdayjobs.com/en-US/CoStarCareers/job/US-AL-Field-Based/Part-Time-Field-Researcher---Zonda---Robertsdale-AL_R39835,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify New Grad:9e0a1a0a-cd53-4d04-b331-d0befbd16a1a,2026-09-16
CoStar Group:54109f9e-2999-4211-9273-b6d34bc06e25,CoStar Group,Technology Intern,"Arlington County, Arlington, VA",Software,https://costar.wd1.myworkdayjobs.com/Costar_Campus/job/US-VA-Arlington/Technology-Intern---Arlington--VA--Summer-2027-_R39666,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify Internships:54109f9e-2999-4211-9273-b6d34bc06e25,2026-09-14
