job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Engineering-Intern_R-51782,Crowe,AI Engineering Intern,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Engineering-Intern_R-51782,2026-08-13,2026-08-13,2026-08-13T23:06:38+00:00,2026-08-13 16:06 Thu,AI / ML,true,CLI,78,"The candidate is a strong fit for an AI Engineering Intern role through substantial computer vision, deep learning, Python/C++ development, reinforcement learning, and applied engineering experience, though the unspecified role details and limited direct consulting or enterprise AI experience prevent a higher score.",true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Engineering-Intern_R-51782|simplify:Simplify Internships:8876789e-be2c-4a8f-9478-572e3f0085cb
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010,Crowe,AI Functional Consultant,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010,,,2026-08-14T13:41:47+00:00,2026-08-14 06:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Consultant_R-71010
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern_R-71008,Crowe,AI Functional Intern - Consulting Practice,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern_R-71008,2026-08-13,2026-08-13,2026-08-13T20:41:47+00:00,2026-08-13 13:41 Thu,AI / ML,true,CLI,55,"The candidate has strong AI, machine learning, computer vision, Python, and software engineering experience appropriate for an AI internship, but the missing job description prevents confirming fit for Crowe’s functional or consulting-specific requirements.",true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern_R-71008|simplify:Simplify Internships:6aeabe90-0f4e-41a7-98a2-cdb7fee43531
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern---WINTER-2027_R-71015,Crowe,AI Functional Intern - WINTER 2027,"Chicago, IL +36",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern---WINTER-2027_R-71015,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,,false,,,,false,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Functional-Intern---WINTER-2027_R-71015|simplify:Simplify Internships:440a78fd-1099-4f5d-9384-4cda25b60ab3
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007,Crowe,AI Project Coordinator Intern,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007,,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,AI / ML,true,CLI,55,"Strong AI and software engineering background aligns with the technical aspects of an AI project coordinator internship, but the resume provides limited evidence of project coordination, consulting, or client-facing delivery experience.",true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Project-Coordinator-Intern_R-71007
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012,Crowe,AI Technical Consultant,"Chicago, IL",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012,,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,,false,,,,false,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/AI-Technical-Consultant_R-71012
Crowe:f519e8b4-d882-47ae-9e82-f3d6f5b73a20,Crowe,D365 ERP Technical Intern - Consulting Practice,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/D365-ERP-Technical-Intern_R-71039,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:f519e8b4-d882-47ae-9e82-f3d6f5b73a20
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Analytics-Developer-Intern_R-71041,Crowe,Data Analytics Developer Intern - Consulting Practice,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Analytics-Developer-Intern_R-71041,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,Other Technical,true,CLI,55,"The candidate has strong Python, data-processing, machine-learning, and software-development experience relevant to data analytics, but lacks explicit business analytics, SQL-heavy reporting, visualization, or Crowe-specific experience.",true,speedyapply:SpeedyApply SWE:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Analytics-Developer-Intern_R-71041|simplify:Simplify Internships:c03d8dac-ac38-4a3b-a18e-a3d69d6b8232
Crowe:c8baf20f-0c80-4834-b6ee-95c9c1ddcb08,Crowe,Data Consultant Intern,"Chicago, IL",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Data-Consultant-Intern_R-71042,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:c8baf20f-0c80-4834-b6ee-95c9c1ddcb08
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71005,Crowe,Machine Learning Intern,"Lexington, KY; Boston, MA; Indianapolis, IN; Houston, TX; Louisville, KY; Knoxville, TN; Nashville, TN; Washington, DC; SF; Austin, TX; Cleveland, OH; LA; Tampa, FL; San Jose, CA; Livingston, NJ; Grand Rapids, MI; Miami, FL; Dallas, TX; The Woodlands, TX; Plano, TX; Chicago, IL; Tallahassee, FL; Charlotte, NC; Fort Lauderdale, FL; Oakbrook Terrace, IL; Burlington, VT; Sacramento, CA; Columbus, OH; Hartford, CT; Springfield, IL; NYC; Denver, CO; Atlanta, GA; Fort Wayne, IN; South Bend, IN; Sarasota, FL; Costa Mesa, CA",AI/ML/Data,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71005,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,AI / ML,true,CLI,78,"The candidate has strong hands-on Python, machine learning, computer vision, deep learning, and software engineering experience that aligns well with a machine learning internship, though the missing job description prevents assessing domain-specific requirements.",true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71005|simplify:Simplify Internships:9c648fd4-14e8-4044-af8a-cf68219f8195
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71013,Crowe,Machine Learning Intern,"Chicago, IL +36",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71013,,,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,AI / ML,true,CLI,72,"The candidate has strong Python, machine learning, computer vision, deep learning, and software engineering experience that aligns well with a Machine Learning Intern role, though the posting lacks details and the candidate may be somewhat advanced for an internship.",true,speedyapply:SpeedyApply AI:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Intern_R-71013|simplify:Simplify Internships:d02658b8-38cb-4fc7-9841-62916abfefc2
Crowe:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Software-Engineer-1_R-71006,Crowe,Machine Learning Software Engineer 1,"Chicago, IL +36",,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Software-Engineer-1_R-71006,,,2026-08-15T12:59:12+00:00,2026-08-15 05:59 Sat,AI / ML,true,CLI,72,"Strong fit for an entry-level machine learning software engineering role due to substantial Python/C++ development, PyTorch, computer vision, reinforcement learning, testing, Docker, and backend experience, though the posting lacks details to confirm alignment with Crowe’s specific domain and requirements.",true,speedyapply:SpeedyApply SWE:https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Machine-Learning-Software-Engineer-1_R-71006
Crowe:3ba2d751-b06f-4e26-8bc2-07b6ada128ac,Crowe,NetSuite Implementation Intern - Consulting Practice,"Chicago, IL",Software,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/NetSuite-Implementation-Intern_R-71040,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:3ba2d751-b06f-4e26-8bc2-07b6ada128ac
Crowe:6c0e9a46-463c-43dc-8bb1-7b4c40a5ab14,Crowe,Power Platform Business Solutions Intern - Consulting Practice,"Chicago, IL; Sacramento, CA",Software,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/Power-Platform-Business-Solutions-Intern_R-71035,2026-08-14,2026-08-14,2026-08-21T11:17:17+00:00,2026-08-21 04:17 Fri,,false,,,,false,simplify:Simplify Internships:6c0e9a46-463c-43dc-8bb1-7b4c40a5ab14
Crowe:c2fd6af7-2f86-4ff8-9034-27a47809d608,Crowe,ServiceNow Implementation Intern - ServiceNow Cloud Solutions,"Chicago, IL",Software,https://crowe.wd12.myworkdayjobs.com/en-US/external_careers/job/Chicago-IL-USA/ServiceNow-Implementation-Intern_R-71036,2026-08-14,2026-08-14,2026-08-15T01:17:11+00:00,2026-08-14 18:17 Fri,,false,,,,false,simplify:Simplify Internships:c2fd6af7-2f86-4ff8-9034-27a47809d608
