job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Cummins:fdd21bf1-b2d0-489c-8f36-595c3ef90875,Cummins,Apprenticeship - Engineering Design Level 3,"Peterborough, UK",Hardware,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2433493,2026-08-24,2026-08-24,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:fdd21bf1-b2d0-489c-8f36-595c3ef90875
Cummins:403d672e-1786-4ad9-b946-52063352715c,Cummins,Data Scientist Apprentice,"Leeds, UK",AI/ML/Data,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2428693,2026-06-04,2026-06-04,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:403d672e-1786-4ad9-b946-52063352715c
Cummins:1d6917cc-c2ac-4a2b-8ffc-9e08ecc68f64,Cummins,Electronic Systems Engineer - Software,"Columbus, IN",Software,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2433277,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:1d6917cc-c2ac-4a2b-8ffc-9e08ecc68f64
Cummins:607c0322-55ec-4777-815b-f66588579d34,Cummins,Electronic Systems Engineer - Software,United States,Hardware,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2434473,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:607c0322-55ec-4777-815b-f66588579d34
Cummins:3d7f0349-ad2a-4afb-9a76-8f608aef976c,Cummins,Engine Emissions Compliance Engineer - Rotation Program,"Columbus, IN",Hardware,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2433263,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:3d7f0349-ad2a-4afb-9a76-8f608aef976c
Cummins:46f6f069-21ab-4c7b-871b-f43b2f13caf4,Cummins,Product Engineering Specialist,"Leeds, UK",Software,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2431193,2026-06-18,2026-06-18,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:46f6f069-21ab-4c7b-871b-f43b2f13caf4
Cummins:28c2ca86-b1be-498b-b941-e52d0ef05727,Cummins,Product Software Engineer,"Columbus, IN",Hardware,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2434259,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:28c2ca86-b1be-498b-b941-e52d0ef05727
Cummins:276b6815-7fb8-46f1-b5aa-156dd9ac093d,Cummins,Repower Program: Product Engineering Specialist,"Leeds, UK",Software,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2430952,2026-06-16,2026-06-16,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:276b6815-7fb8-46f1-b5aa-156dd9ac093d
Cummins:435c2fcd-ac89-454c-8594-e00acf0c463c,Cummins,Software Engineer 1,"Columbus, IN",Software,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2435081,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:435c2fcd-ac89-454c-8594-e00acf0c463c
Cummins:8def6cd4-02f6-4045-9290-2e08f2f10b24,Cummins,Software Engineer 1,United States,Software,https://fa-espx-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/job/2434164,2026-08-10,2026-08-10,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:8def6cd4-02f6-4045-9290-2e08f2f10b24
