job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
DV Trading:4719126005,DV Trading,2027 Graduate Software Engineer - DV Commodities,"New York City, NY",,https://job-boards.greenhouse.io/dvtrading/jobs/4719126005,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,Software Engineering,true,CLI,58,"Strong fit for a graduate software engineering role through Python/C++ development, backend systems, testing, optimization, and scalable infrastructure experience, but lacks demonstrated commodities, trading, quantitative finance, or low-latency systems expertise.",true,speedyapply:SpeedyApply SWE:4719126005
DV Trading:4722749005,DV Trading,Futures & Options Trading Analyst Intern - Summer 2027,NYC,Quant,https://job-boards.greenhouse.io/dvtrading/jobs/4722749005,2026-08-26,2026-08-26,2026-08-26T01:17:31+00:00,2026-08-25 18:17 Tue,,false,,,,false,simplify:Simplify Internships:4722749005
DV Trading:4719118005,DV Trading,Quantitative Risk Intern,"Chicago, IL",Quant,https://job-boards.greenhouse.io/dvtrading/jobs/4719118005,2026-08-04,2026-08-04,2026-08-04T23:17:23+00:00,2026-08-04 16:17 Tue,,false,,,,false,simplify:Simplify Internships:4719118005|speedyapply:SpeedyApply AI:4719118005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687386005,DV Trading,Quantitative Trader - Multi-Asset - Chicago,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687386005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/dvtrading/jobs/4687386005|speedyapply:SpeedyApply AI:4687386005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687461005,DV Trading,Quantitative Trader - Multi-Asset - London,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687461005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/dvtrading/jobs/4687461005|speedyapply:SpeedyApply AI:4687461005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687460005,DV Trading,Quantitative Trader - Multi-Asset - New York,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687460005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply AI:https://job-boards.greenhouse.io/dvtrading/jobs/4687460005|speedyapply:SpeedyApply AI:4687460005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687398005,DV Trading,Software Developer - Chicago,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687398005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/dvtrading/jobs/4687398005|speedyapply:SpeedyApply SWE:4687398005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687462005,DV Trading,Software Developer - New York,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687462005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/dvtrading/jobs/4687462005|speedyapply:SpeedyApply SWE:4687462005
DV Trading:https://job-boards.greenhouse.io/dvtrading/jobs/4687466005,DV Trading,Software Developer - Toronto,"Chicago, IL +2",,https://job-boards.greenhouse.io/dvtrading/jobs/4687466005,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:https://job-boards.greenhouse.io/dvtrading/jobs/4687466005|speedyapply:SpeedyApply SWE:4687466005
DV Trading:4719125005,DV Trading,Software Engineer Intern - DV Commodities,"London, UK",Software,https://job-boards.greenhouse.io/dvtrading/jobs/4719125005,2026-08-11,2026-08-11,2026-08-11T02:17:23+00:00,2026-08-10 19:17 Mon,,false,,,,false,simplify:Simplify Internships:4719125005
DV Trading:4719119005,DV Trading,Software Engineer Intern - Summer 2027 - DV Commodities,"New York City, NY",,https://job-boards.greenhouse.io/dvtrading/jobs/4719119005,,,2026-08-11T02:17:23+00:00,2026-08-10 19:17 Mon,Software Engineering,true,CLI,68,"Strong Python/C++ software engineering, machine learning, backend, testing, and systems experience fits a software engineering internship, though the resume lacks commodities or financial-trading domain experience.",true,speedyapply:SpeedyApply SWE:4719119005|simplify:Simplify Internships:4719119005
DV Trading:4719135005,DV Trading,Trading Intern,"London, UK",Quant,https://job-boards.greenhouse.io/dvtrading/jobs/4719135005,2026-08-12,2026-08-12,2026-08-12T20:41:41+00:00,2026-08-12 13:41 Wed,,false,,,,false,simplify:Simplify Internships:4719135005
DV Trading:4719134005,DV Trading,Trading Intern - Summer 2027 - DV Commodities,NYC,Quant,https://job-boards.greenhouse.io/dvtrading/jobs/4719134005,2026-08-17,2026-08-17,2026-08-17T23:17:35+00:00,2026-08-17 16:17 Mon,,false,,,,false,simplify:Simplify Internships:4719134005
