job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Etched:b7e0a718-9968-4787-ab12-e5bcc2a65d89,Etched, People Operations,San Jose,People,https://jobs.ashbyhq.com/etched/b7e0a718-9968-4787-ab12-e5bcc2a65d89,2026-06-23T18:32:01.551+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,46,keyword-only heuristic,false,ashby:Etched:b7e0a718-9968-4787-ab12-e5bcc2a65d89
Etched:8e280db7-f954-4467-b3ea-b9b4386d6632,Etched,Accelerator Software Engineer,San Jose,Software,https://jobs.ashbyhq.com/etched/8e280db7-f954-4467-b3ea-b9b4386d6632,2026-05-19T03:00:40.434+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Software Engineering,true,Keyword,52,keyword-only heuristic,true,ashby:Etched:8e280db7-f954-4467-b3ea-b9b4386d6632
Etched:831bfa22-d883-450b-9b10-2a16421525a0,Etched,"Applied AI Engineer, Silicon Engineering",San Jose,ASIC,https://jobs.ashbyhq.com/etched/831bfa22-d883-450b-9b10-2a16421525a0,2026-06-21T22:09:40.425+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,58,keyword-only heuristic,true,ashby:Etched:831bfa22-d883-450b-9b10-2a16421525a0
Etched:d1d009f0-f0c7-4ab6-9f27-881c3ea12505,Etched,ASIC Architect,San Jose,Architecture,https://jobs.ashbyhq.com/etched/d1d009f0-f0c7-4ab6-9f27-881c3ea12505,2025-08-05T05:32:15.214+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:d1d009f0-f0c7-4ab6-9f27-881c3ea12505
Etched:bdec1a6d-300b-47fc-a551-3c937d76fee0,Etched,ASIC Technical Program Manager,San Jose,ASIC,https://jobs.ashbyhq.com/etched/bdec1a6d-300b-47fc-a551-3c937d76fee0,2026-05-01T02:17:28.691+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:bdec1a6d-300b-47fc-a551-3c937d76fee0
Etched:306e9330-291d-4e5b-9d3e-7fd67f6d5dfb,Etched,Capital Projects Engineering Project Manager,San Jose,Platform,https://jobs.ashbyhq.com/etched/306e9330-291d-4e5b-9d3e-7fd67f6d5dfb,2026-07-01T22:09:19.245+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:306e9330-291d-4e5b-9d3e-7fd67f6d5dfb
Etched:29b303b2-f1a5-4799-a0b2-e86e28289a9b,Etched,Chip Simulation Software Engineer,San Jose,Software,https://jobs.ashbyhq.com/etched/29b303b2-f1a5-4799-a0b2-e86e28289a9b,2026-05-13T20:41:32.098+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Software Engineering,true,Keyword,61,keyword-only heuristic,true,ashby:Etched:29b303b2-f1a5-4799-a0b2-e86e28289a9b
Etched:https://jobs.ashbyhq.com/etched/27e5bd6b-9357-45f0-9e79-cfa2bf4eeba8,Etched,Chip Simulation Software Intern,San Jose,Software,https://jobs.ashbyhq.com/etched/27e5bd6b-9357-45f0-9e79-cfa2bf4eeba8,2026-05-19T22:27:54.640+00:00,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://jobs.ashbyhq.com/etched/27e5bd6b-9357-45f0-9e79-cfa2bf4eeba8|ashby:Etched:27e5bd6b-9357-45f0-9e79-cfa2bf4eeba8
Etched:68edcc93-f0d0-483e-829d-b48e002ab932,Etched,Contract Manufacturing Manager,San Jose,Production,https://jobs.ashbyhq.com/etched/68edcc93-f0d0-483e-829d-b48e002ab932,2026-05-12T19:15:37.529+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:68edcc93-f0d0-483e-829d-b48e002ab932
Etched:f32908bd-8abc-495c-ab69-ac893b6c924d,Etched,Core Ops Intern,San Jose,Operations,https://jobs.ashbyhq.com/etched/f32908bd-8abc-495c-ab69-ac893b6c924d,2026-05-19T22:27:16.912+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:f32908bd-8abc-495c-ab69-ac893b6c924d
Etched:e6416d04-da00-4917-a817-787b77c35650,Etched,Core Software Engineer,San Jose,Software,https://jobs.ashbyhq.com/etched/e6416d04-da00-4917-a817-787b77c35650,2025-07-26T17:51:35.361+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Software Engineering,true,Keyword,52,keyword-only heuristic,true,ashby:Etched:e6416d04-da00-4917-a817-787b77c35650
Etched:e8e216ed-60d4-4d87-974e-9d164bca574a,Etched,Core Technology Engineer,San Jose,Operations,https://jobs.ashbyhq.com/etched/e8e216ed-60d4-4d87-974e-9d164bca574a,2026-04-23T22:09:48.073+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Software Engineering,true,Keyword,55,keyword-only heuristic,true,ashby:Etched:e8e216ed-60d4-4d87-974e-9d164bca574a
Etched:bb2d320e-50d1-4182-a0c8-975ad2015e1c,Etched,Data Center Engineer,San Jose,Software,https://jobs.ashbyhq.com/etched/bb2d320e-50d1-4182-a0c8-975ad2015e1c,2026-06-25T02:03:48.682+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:bb2d320e-50d1-4182-a0c8-975ad2015e1c
Etched:84cd9ae3-7dbc-4200-a00d-ed080b94de42,Etched,Demand Planner,San Jose,Production,https://jobs.ashbyhq.com/etched/84cd9ae3-7dbc-4200-a00d-ed080b94de42,2026-06-23T21:38:13.907+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Computer Vision,true,Keyword,49,keyword-only heuristic,false,ashby:Etched:84cd9ae3-7dbc-4200-a00d-ed080b94de42
Etched:6f4df530-6d67-4df9-903c-645c20e84845,Etched,Design Verification Engineer - Interface IP,Austin,ASIC,https://jobs.ashbyhq.com/etched/6f4df530-6d67-4df9-903c-645c20e84845,2026-04-16T02:28:44.778+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:6f4df530-6d67-4df9-903c-645c20e84845
Etched:d88da917-21f5-42b7-b1e2-8986897aaab1,Etched,Design Verification Engineer - Interface IP,San Jose,ASIC,https://jobs.ashbyhq.com/etched/d88da917-21f5-42b7-b1e2-8986897aaab1,2025-09-11T18:49:28.530+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:d88da917-21f5-42b7-b1e2-8986897aaab1
Etched:77f0497f-086e-4d89-bbcd-bac7a79bf9a1,Etched,Design Verification Engineer - Internal IP,Austin,ASIC,https://jobs.ashbyhq.com/etched/77f0497f-086e-4d89-bbcd-bac7a79bf9a1,2026-04-16T02:34:19.470+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:77f0497f-086e-4d89-bbcd-bac7a79bf9a1
Etched:7aeafe31-c2c6-43e0-bb31-01868dcfad39,Etched,Design Verification Engineer - Internal IP,San Jose,ASIC,https://jobs.ashbyhq.com/etched/7aeafe31-c2c6-43e0-bb31-01868dcfad39,2025-06-11T05:03:53.978+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:7aeafe31-c2c6-43e0-bb31-01868dcfad39
Etched:33adf31c-e0ad-4080-bb83-1b3859f95d35,Etched,Design Verification Engineer - SoC,Austin,ASIC,https://jobs.ashbyhq.com/etched/33adf31c-e0ad-4080-bb83-1b3859f95d35,2026-04-16T02:39:09.866+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:33adf31c-e0ad-4080-bb83-1b3859f95d35
Etched:a99318bd-b433-44b7-9600-2ee9533c90a1,Etched,Design Verification Engineer - SoC,San Jose,ASIC,https://jobs.ashbyhq.com/etched/a99318bd-b433-44b7-9600-2ee9533c90a1,2025-09-11T18:44:02.970+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:a99318bd-b433-44b7-9600-2ee9533c90a1
Etched:3f83fd5f-5e50-403a-9a03-7ddb56502f49,Etched,Developer Experience Engineer,San Jose,Software,https://jobs.ashbyhq.com/etched/3f83fd5f-5e50-403a-9a03-7ddb56502f49,2026-02-19T19:59:13.460+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,Software Engineering,true,Keyword,58,keyword-only heuristic,true,ashby:Etched:3f83fd5f-5e50-403a-9a03-7ddb56502f49
Etched:ca25e600-e2e8-4111-b672-ee3a830a8ecf,Etched,DFT (Design For Test) Engineer,San Jose,ASIC,https://jobs.ashbyhq.com/etched/ca25e600-e2e8-4111-b672-ee3a830a8ecf,2026-02-28T00:41:40.753+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:ca25e600-e2e8-4111-b672-ee3a830a8ecf
Etched:38e8a939-62a1-48f1-a692-553a8cfc1341,Etched,DFT Intern,"San Jose, CA",Hardware,https://jobs.ashbyhq.com/Etched/5f1f5739-3b58-467c-b351-ff183c94d96d/application,2026-04-13,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:38e8a939-62a1-48f1-a692-553a8cfc1341
Etched:5f1f5739-3b58-467c-b351-ff183c94d96d,Etched,DFT Intern,San Jose,ASIC,https://jobs.ashbyhq.com/etched/5f1f5739-3b58-467c-b351-ff183c94d96d,2026-04-13T20:43:36.377+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,58,keyword-only heuristic,true,ashby:Etched:5f1f5739-3b58-467c-b351-ff183c94d96d
Etched:dacedaca-c4ca-4964-85a7-8df1738005bb,Etched,DV Intern,San Jose,ASIC,https://jobs.ashbyhq.com/etched/dacedaca-c4ca-4964-85a7-8df1738005bb,2026-02-07T01:26:37.548+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,AI / ML,true,Keyword,55,keyword-only heuristic,true,ashby:Etched:dacedaca-c4ca-4964-85a7-8df1738005bb
Etched:61860739-5aa9-4f64-920d-f4c1cca71af8,Etched,"Electrical Engineer, Hardware Systems",San Jose,Platform,https://jobs.ashbyhq.com/etched/61860739-5aa9-4f64-920d-f4c1cca71af8,2026-03-17T21:03:12.427+00:00,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Etched:61860739-5aa9-4f64-920d-f4c1cca71af8
