job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Geotab:5324252008,Geotab,Data Analyst Intern,"Toronto, ON, Canada; Oakville, ON, Canada",AI/ML/Data,https://job-boards.greenhouse.io/internshiplist2000/jobs/5324252008,2026-09-02,2026-09-02,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,,false,,,,false,simplify:Simplify Internships:5324252008
Geotab:5383409008,Geotab,Data Scientist Intern,"Atlanta, GA",AI/ML/Data,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383409008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,AI / ML,true,CLI,72,"The candidate has strong Python, machine learning, computer vision, data analysis, and software engineering experience, but limited evidence of traditional data science work such as statistical modeling, experimentation, or business-focused analytics.",true,simplify:Simplify Internships:5383409008
Geotab:5383410008,Geotab,Data Scientist Intern,"Toronto, ON, Canada; Oakville, ON, Canada",AI/ML/Data,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383410008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:5383410008
Geotab:5389379008,Geotab,DataOps Developer Intern - Months,"Atlanta, GA",AI/ML/Data,https://job-boards.greenhouse.io/internshiplist2000/jobs/5389379008,2026-09-02,2026-09-02,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,Other Technical,true,CLI,45,"The candidate has strong Python, data-processing, automation, Docker, database, and software-engineering experience, but the posting provides no responsibilities to confirm specific DataOps requirements and the resume is primarily focused on computer vision and machine learning.",false,simplify:Simplify Internships:5389379008
Geotab:5406651008,Geotab,Embedded Developer Intern - Multiple Teams,"Oakville, ON, Canada; Waterloo, ON, Canada",Hardware,https://job-boards.greenhouse.io/internshiplist2000/jobs/5406651008,2026-09-01,2026-09-01,2026-09-01T19:18:20+00:00,2026-09-01 12:18 Tue,,false,,,,false,simplify:Simplify Internships:5406651008
Geotab:5380567008,Geotab,Hardware Developer Intern,"Oakville, ON, Canada",Hardware,https://job-boards.greenhouse.io/internshiplist2000/jobs/5380567008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:5380567008
Geotab:5156504008,Geotab,Insights & Integrations Consultancy Data Scientist Intern,"Oakville, ON, Canada",AI/ML/Data,https://job-boards.greenhouse.io/internshiplist2000/jobs/5156504008,2026-05-04,2026-05-04,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,,false,,,,false,simplify:Simplify Internships:5156504008
Geotab:5360844008,Geotab,Product Coordinator Intern - Driver Compliance,"Toronto, ON, Canada; Oakville, ON, Canada; Waterloo, ON, Canada",Product,https://job-boards.greenhouse.io/internshiplist2000/jobs/5360844008,2026-09-02,2026-09-02,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,,false,,,,false,simplify:Simplify Internships:5360844008
Geotab:5383920008,Geotab,Product Management Intern,"Oakville, ON, Canada",Product,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383920008,2026-09-02,2026-09-02,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,,false,,,,false,simplify:Simplify Internships:5383920008
Geotab:5291162008,Geotab,Product Management Intern - Growth & Marketplace,"Oakville, ON, Canada",Product,https://job-boards.greenhouse.io/internshiplist2000/jobs/5291162008,2026-09-02,2026-09-02,2026-09-02T15:15:02+00:00,2026-09-02 08:15 Wed,,false,,,,false,simplify:Simplify Internships:5291162008
Geotab:5350915008,Geotab,Software Developer Intern,"Toronto, ON, Canada; Oakville, ON, Canada",Software,https://job-boards.greenhouse.io/internshiplist2000/jobs/5350915008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:5350915008
Geotab:5361630008,Geotab,Software Developer Intern,"Oakville, ON, Canada; Waterloo, ON, Canada",Software,https://job-boards.greenhouse.io/internshiplist2000/jobs/5361630008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:5361630008
Geotab:5376578008,Geotab,Software Developer Intern,"Toronto, ON, Canada; Oakville, ON, Canada; Waterloo, ON, Canada",Software,https://job-boards.greenhouse.io/internshiplist2000/jobs/5376578008,2026-09-03,2026-09-03,2026-09-04T14:51:38+00:00,2026-09-04 07:51 Fri,,false,,,,false,simplify:Simplify Internships:5376578008
Geotab:5389341008,Geotab,Software Developer Intern - Months,"Oakville, ON, Canada",Software,https://job-boards.greenhouse.io/internshiplist2000/jobs/5389341008,2026-09-03,2026-09-03,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:5389341008
Geotab:5383412008,Geotab,Software Developer Intern - Mygeotab,"Toronto, ON, Canada; Oakville, ON, Canada; Waterloo, ON, Canada",Software,https://job-boards.greenhouse.io/internshiplist2000/jobs/5383412008,2026-09-04,2026-09-04,2026-09-04T14:51:38+00:00,2026-09-04 07:51 Fri,,false,,,,false,simplify:Simplify Internships:5383412008
Geotab:5381043008,Geotab,"Vehicle Systems Engineering Intern - Winter/January 2027 - 4, 8 Months","Waterloo, ON, Canada",Hardware,https://job-boards.greenhouse.io/internshiplist2000/jobs/5381043008,2026-09-01,2026-09-01,2026-09-03T04:50:24+00:00,2026-09-02 21:50 Wed,,false,,,,false,simplify:Simplify Internships:5381043008
