job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Gordon Food Service:721628f6-7dc9-47f6-8d08-1283695301ad,Gordon Food Service,Category Insights Analyst Intern,"Wyoming, MI",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/NA-Category-Insights-Analyst-Intern_R-57366-1,2026-09-18,2026-09-18,2026-09-19T17:20:45+00:00,2026-09-19 10:20 Sat,Computer Vision,true,CLI:claude,2,此職缺為Category Insights Analyst實習生，屬於商業分析與行銷領域，與candidate的Computer Vision及演算法工程背景完全不符，因此經驗契合度極低。,false,simplify:Simplify Internships:721628f6-7dc9-47f6-8d08-1283695301ad,2026-09-18
Gordon Food Service:046d231f-21e2-41ac-95bd-f0126e3505bd,Gordon Food Service,Category Technology Intern,"Wyoming, MI",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/MMSC-Category-Technology-Intern_R-57362,2026-09-18,2026-09-18,2026-09-19T17:20:45+00:00,2026-09-19 10:20 Sat,AI / ML,true,CLI:claude,3,此職缺為食品服務業的Category Technology實習生，主要負責PIM系統遷移、資料清理及跨部門協調，與候選人專精的Computer Vision及演算法工程背景完全不符，且要求Business/Supply Chain/Data相關學位在學生身份，職務性質與其資深工程經驗嚴重錯配。,false,simplify:Simplify Internships:046d231f-21e2-41ac-95bd-f0126e3505bd,2026-09-18
Gordon Food Service:89c5e157-f2f0-4797-8fad-377cf5478e3d,Gordon Food Service,Category Technology Intern - MMSC,"Wyoming, MI",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/MMSC-Category-Technology-Internship_R-57187,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,AI / ML,true,CLI:claude,2,此職缺為食品經銷業的Category Technology實習生，需求對象是主修Supply Chain Management、Data Analytics或Information Systems的在學大學生，與候選人具備的Computer Vision/ML工程背景及碩士以上資歷完全不符，因此適配度極低。,false,simplify:Simplify Internships:89c5e157-f2f0-4797-8fad-377cf5478e3d,2026-09-14
Gordon Food Service:3fbd056c-e79f-488d-ba11-b3f5a12d40e5,Gordon Food Service,Data Analyst Intern - Imports & Commodities,"Wyoming, MI",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/Imports---Commodities---Data-Analyst-Internship_R-57384,2026-09-21,2026-09-21,2026-09-21T20:48:27+00:00,2026-09-21 13:48 Mon,,false,,,,false,simplify:Simplify Internships:3fbd056c-e79f-488d-ba11-b3f5a12d40e5,2026-09-21
Gordon Food Service:93fa34ac-b6d0-4b02-87d8-5c14b2deb4a9,Gordon Food Service,Data Engineering Intern - Atlanta Tech Hub - Data Engineering,"Atlanta, GA",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Atlanta-Georgia/Data-Engineering-Internship_R-57330,2026-09-17,2026-09-17,2026-09-18T06:29:26+00:00,2026-09-17 23:29 Thu,Software Engineering,true,CLI:claude,3,此職缺為需美國工作授權的大學在學生Data Engineering實習，與候選人已具備5年Computer Vision/ML工程經驗及碩士在讀背景完全不符，領域與資歷層級皆不匹配。,false,simplify:Simplify Internships:93fa34ac-b6d0-4b02-87d8-5c14b2deb4a9,2026-09-17
Gordon Food Service:e229af0f-ee15-4743-b863-7a2ae2645455,Gordon Food Service,Data Science Engineer Intern,"Atlanta, GA",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Atlanta-Georgia/Data-Science-Engineer-Internship_R-57243-1,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify Internships:e229af0f-ee15-4743-b863-7a2ae2645455,2026-09-16
Gordon Food Service:5304fddb-8f6b-4252-8dcd-417e6095ccf9,Gordon Food Service,Digital Product Management Intern,"Wyoming, MI",Product,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/Digital-Product-Management-Internship_R-57336,2026-09-17,2026-09-17,2026-09-18T06:29:26+00:00,2026-09-17 23:29 Thu,AI / ML,true,CLI:claude,3,此職缺為食品服務業的Digital Product Management大學部實習生職位，需求為在學學士生且限US work authorization，與候選人擁有5年電腦視覺與C++/Python演算法工程經驗、正在攻讀AI碩士的資歷完全不匹配。,false,simplify:Simplify Internships:5304fddb-8f6b-4252-8dcd-417e6095ccf9,2026-09-17
Gordon Food Service:ed2c5faf-ff06-4bfc-9aed-24a3818c078c,Gordon Food Service,Material Master Data Intern,"Wyoming, MI",AI/ML/Data,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/Material-Master-Data-Internship_R-57186,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:ed2c5faf-ff06-4bfc-9aed-24a3818c078c,2026-09-14
Gordon Food Service:058f883b-7a38-49f1-8ad9-45811313157b,Gordon Food Service,Software Engineer Intern,"Wyoming, MI",Software,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/Software-Engineer-Internship_R-57377,2026-09-18,2026-09-18,2026-09-19T17:20:45+00:00,2026-09-19 10:20 Sat,Software Engineering,true,CLI:claude,3,此職缺為需要美國工作授權的大學在校生軟體工程實習（Java/Spring Boot、Angular、GCP），候選人已具備多年正職Computer Vision Engineer經驗且非在學實習生身份，領域與資歷完全不匹配。,false,simplify:Simplify Internships:058f883b-7a38-49f1-8ad9-45811313157b,2026-09-18
Gordon Food Service:09f40dda-2ded-4174-ba81-78b97c133f7e,Gordon Food Service,Software Engineer Intern - Low Code,"Wyoming, MI",Software,https://gfs.wd5.myworkdayjobs.com/usjobs-gen-gfs/job/Wyoming-Michigan/Software-Engineer-Intern--Low-Code-_R-57375,2026-09-18,2026-09-18,2026-09-19T17:20:45+00:00,2026-09-19 10:20 Sat,Software Engineering,true,CLI:claude,3,此職缺為 Appian low-code 平台的軟體工程實習生職位，主要涉及企業應用開發與流程自動化，與候選人的電腦視覺、機器學習及演算法背景幾乎無關，且屬於在校大學部學生的實習職位，與候選人碩士加多年業界經驗的資歷不符，因此適配度極低。,false,simplify:Simplify Internships:09f40dda-2ded-4174-ba81-78b97c133f7e,2026-09-18
