job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Hewlett Packard:c2f626b5-94ca-422e-beae-b7e3305d0b0c,Hewlett Packard,Embedded Firmware and Software Engineer,"Spring, TX",Hardware,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Spring-Texas-United-States-of-America/Embedded-Firmware-and-Software-Engineer_3161388-2,2026-09-03,2026-09-03,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:c2f626b5-94ca-422e-beae-b7e3305d0b0c
Hewlett Packard:01effa4f-a101-46d3-ae7c-516e03b8b401,Hewlett Packard,Finance Data Science Intern,"Spring, TX",AI/ML/Data,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Spring-Texas-United-States-of-America/Finance-Intern_UNI4241-1,2026-09-03,2026-09-03,2026-09-04T14:51:38+00:00,2026-09-04 07:51 Fri,,false,,,,false,simplify:Simplify Internships:01effa4f-a101-46d3-ae7c-516e03b8b401
Hewlett Packard:9894c188-6812-4c2c-8aaa-787cdba604ec,Hewlett Packard,Finance Data Science Intern,"Spring, TX",AI/ML/Data,https://hp.wd5.myworkdayjobs.com/EXTEU-AC-CareerSite/job/Spring-Texas-United-States-of-America/Finance-Intern_UNI4241,2026-09-03,2026-09-03,2026-09-04T14:51:38+00:00,2026-09-04 07:51 Fri,,false,,,,false,simplify:Simplify Internships:9894c188-6812-4c2c-8aaa-787cdba604ec
Hewlett Packard (HP):4adda786-ba0c-4479-9bfd-b9799f03d6ff,Hewlett Packard,Graduate Web Developer,"Cambridge, UK",Software,https://hp.wd5.myworkdayjobs.com/EXTEU-AC-CareerSite/job/Cambridge-Cambridgeshire-United-Kingdom/Graduate-Web-Developer--1-year-Placement_3159344,2026-05-30,2026-05-30,2026-07-21T06:17:24+00:00,2026-07-20 23:17 Mon,,false,,,,false,simplify:Simplify Internships:4adda786-ba0c-4479-9bfd-b9799f03d6ff|simplify:Simplify New Grad:4adda786-ba0c-4479-9bfd-b9799f03d6ff
Hewlett Packard (HP):f2003bcd-3a85-486f-ab57-496ec1a066b8,Hewlett Packard,Graduate Web Developer,"Cambridge, UK",Software,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Cambridge-Cambridgeshire-United-Kingdom/Graduate-Web-Developer--1-year-Placement_3159344-1,2026-07-04,2026-07-04,2026-07-21T06:17:24+00:00,2026-07-20 23:17 Mon,,false,,,,false,simplify:Simplify Internships:f2003bcd-3a85-486f-ab57-496ec1a066b8|simplify:Simplify New Grad:f2003bcd-3a85-486f-ab57-496ec1a066b8
Hewlett Packard:01120085-8f92-416b-9a1d-d797219a2165,Hewlett Packard,Personal Systems Product Management Intern,"Austin, TX",Product,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Austin-Texas-United-States-of-America/Personal-Systems-Product-Management-Intern_UNI4755-1,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,Computer Vision,true,CLI,18,"The candidate has strong technical, analytical, research, and cross-functional experience, but this product management internship centers on market/user research, UX, product planning, and presentations, with limited direct evidence of those skills and a likely seniority mismatch.",false,simplify:Simplify Internships:01120085-8f92-416b-9a1d-d797219a2165
Hewlett Packard:3a30774b-0950-45cc-9497-be1cab33f485,Hewlett Packard,Personal Systems Product Management Intern,"Austin, TX",Product,https://hp.wd5.myworkdayjobs.com/EXTEU-AC-CareerSite/job/Austin-Texas-United-States-of-America/Personal-Systems-Product-Management-Intern_UNI4755,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,Computer Vision,true,CLI,35,"Strong analytical and technical product background with relevant computing experience, but limited demonstrated product management, market/user research, UX/UI, and preferred tools experience, plus a possible work-authorization mismatch.",false,simplify:Simplify Internships:3a30774b-0950-45cc-9497-be1cab33f485
Hewlett Packard:185284ab-d314-416c-8a28-44c6b1938920,Hewlett Packard,Quality Engineer Intern,"Spring, TX",Product,https://hp.wd5.myworkdayjobs.com/externalcareersite/job/Spring-Texas-United-States-of-America/Quality-Engineering-Intern_UNI4756-1,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,Computer Vision,true,CLI,38,"The candidate has strong AI/ML expertise and a relevant computer science master’s degree, but lacks demonstrated market research, product strategy, business or financial analysis, Excel/PowerPoint/Power BI, competitive analysis, and go-to-market experience central to this role.",false,simplify:Simplify Internships:185284ab-d314-416c-8a28-44c6b1938920
Hewlett Packard:cee7024e-305b-4327-b730-0cf293d44668,Hewlett Packard,Quality Engineer Intern,"Spring, TX",Product,https://hp.wd5.myworkdayjobs.com/EXTEU-AC-CareerSite/job/Spring-Texas-United-States-of-America/Quality-Engineering-Intern_UNI4756,2026-09-02,2026-09-02,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,Computer Vision,true,CLI,72,"Strong AI/ML background, relevant master's degree, analytical problem-solving, and experience communicating technical findings support the role, but the resume lacks demonstrated market research, product strategy, financial analysis, Excel/PowerPoint, Power BI, and go-to-market experience.",true,simplify:Simplify Internships:cee7024e-305b-4327-b730-0cf293d44668
Hewlett Packard:7aaef6e7-9e7d-48e4-8cea-6c06e79af706,Hewlett Packard,Software Product Security Engineer,"Spring, TX",Software,https://hp.wd5.myworkdayjobs.com/EXTEU-AC-CareerSite/job/Spring-Texas-United-States-of-America/Software-Product-Security-Engineer_UNI4745,2026-08-25,2026-08-25,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:7aaef6e7-9e7d-48e4-8cea-6c06e79af706
