job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318,Magna,1st Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-1_R00254318
Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324,Magna,1st Shift Production Operator-2,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-1st-Shift-Production-Operator-2_R00254324
Magna:/job/Piedmont-South-Carolina-US/Production-Associate_R00254752,Magna,2nd Shift Assembly Production Associate,"Piedmont, South Carolina, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Piedmont-South-Carolina-US/Production-Associate_R00254752,Posted Today,2026-08-12,2026-08-12T15:41:55+00:00,2026-08-12 08:41 Wed,,false,,,,false,workday:Magna:/job/Piedmont-South-Carolina-US/Production-Associate_R00254752
Magna:/job/Piedmont-South-Carolina-US/XMLNAME-2nd-Shift-Press-Production-Team-Leader_R00257839,Magna,2nd Shift Press Production Team Leader,"Piedmont, South Carolina, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Piedmont-South-Carolina-US/XMLNAME-2nd-Shift-Press-Production-Team-Leader_R00257839,Posted Yesterday,2026-08-28,2026-08-27T16:00:01+00:00,2026-08-27 09:00 Thu,,false,,,,false,workday:Magna:/job/Piedmont-South-Carolina-US/XMLNAME-2nd-Shift-Press-Production-Team-Leader_R00257839
Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327,Magna,2nd Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-1_R00254327
Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336,Magna,2nd Shift Production Operator-3,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-2nd-Shift-Production-Operator-3_R00254336
Magna:/job/Duncan-South-Carolina-US/XMLNAME-3rd-Shift-Molding-Supervisor--11-PM---7-30-AM-_R00253742,Magna,3rd Shift Molding Supervisor (11 PM - 7:30 AM),"Duncan, South Carolina, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Duncan-South-Carolina-US/XMLNAME-3rd-Shift-Molding-Supervisor--11-PM---7-30-AM-_R00253742,Posted 25 Days Ago,2026-07-24,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Magna:/job/Duncan-South-Carolina-US/XMLNAME-3rd-Shift-Molding-Supervisor--11-PM---7-30-AM-_R00253742
Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337,Magna,3rd Shift Production Operator-1,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-1_R00254337
Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338,Magna,3rd Shift Production Operator-3,"Warren, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338,Posted 5 Days Ago,2026-07-31,2026-08-05T09:59:45+00:00,2026-08-05 02:59 Wed,,false,,,,false,workday:Magna:/job/Warren-Michigan-US/XMLNAME-3rd-Shift-Production-Operator-3_R00254338
Magna:/job/Holly-Michigan-US/XMLNAME-3rd-Shift-Production-Team-Lead_R00239028,Magna,3rd Shift Production Team Lead,"Holly, Michigan, US",,https://magna.wd3.myworkdayjobs.com/en-US/Magna/job/Holly-Michigan-US/XMLNAME-3rd-Shift-Production-Team-Lead_R00239028,Posted 30+ Days Ago,2026-07-19,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Magna:/job/Holly-Michigan-US/XMLNAME-3rd-Shift-Production-Team-Lead_R00239028
