job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Marvell:c19ad514-a4fd-4e47-a2ae-ab57347804ad,Marvell,Advanced Packaging & Physical Integration Intern - Advanced Packaging & Physical Integration,"Austin, TX; Irvine, CA; Santa Clara, CA; Westlake Village, CA; Burlington, VT; Chandler, AZ; Westborough, MA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Santa-Clara-CA/PhD-Intern---Advanced-Packaging---Physical-Integration_2604413,2026-09-10,2026-09-10,2026-09-10T23:34:15+00:00,2026-09-10 16:34 Thu,,false,,,,false,simplify:Simplify Internships:c19ad514-a4fd-4e47-a2ae-ab57347804ad,2026-09-10
Marvell:7519dee0-35e8-42b9-ad9c-71201febe2bd,Marvell,Advanced Packaging Intern,"Austin, TX; Santa Clara, CA; Westlake Village, CA; Burlington, VT; Chandler, AZ; Westborough, MA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Santa-Clara-CA/Advanced-Packaging-Intern--MS---Summer-2027_2604519-1,2026-09-05,2026-09-05,2026-09-06T01:40:54+00:00,2026-09-05 18:40 Sat,,false,,,,false,simplify:Simplify Internships:7519dee0-35e8-42b9-ad9c-71201febe2bd,2026-09-05
Marvell:56f40262-c4cd-4b41-a304-a541df7d38a7,Marvell,Advanced Packaging Intern,"Austin, TX; Santa Clara, CA; Westlake Village, CA; Burlington, VT; Chandler, AZ; Westborough, MA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers2/job/Santa-Clara-CA/Advanced-Packaging-Intern--MS---Summer-2027_2604519,2026-09-05,2026-09-05,2026-09-07T18:10:07+00:00,2026-09-07 11:10 Mon,,false,,,,false,simplify:Simplify Internships:56f40262-c4cd-4b41-a304-a541df7d38a7,2026-09-05
Marvell:22b78f4a-3df3-419a-9868-20e68b7dbb6f,Marvell,Advanced Packaging Intern,"Burlington, VT",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Burlington-VT/Advanced-Packaging-Intern--BS---Summer-2027_2604156-1,2026-09-08,2026-09-08,2026-09-09T02:23:55+00:00,2026-09-08 19:23 Tue,,false,,,,false,simplify:Simplify Internships:22b78f4a-3df3-419a-9868-20e68b7dbb6f,2026-09-08
Marvell:a216895f-9ab3-46c0-a5ed-ff818b0f4334,Marvell,Advanced Packaging Intern,"Burlington, VT",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers2/job/Burlington-VT/Advanced-Packaging-Intern--BS---Summer-2027_2604156,2026-09-08,2026-09-08,2026-09-09T02:23:55+00:00,2026-09-08 19:23 Tue,,false,,,,false,simplify:Simplify Internships:a216895f-9ab3-46c0-a5ed-ff818b0f4334,2026-09-08
Marvell:https://marvell.wd1.myworkdayjobs.com/en-US/marvellcareers/job/Santa-Clara-CA/AI-Solutions-Analyst---Early-Career_2601236,Marvell,AI Solutions Analyst - Early Career,"Santa Clara, CA",,https://marvell.wd1.myworkdayjobs.com/en-US/marvellcareers/job/Santa-Clara-CA/AI-Solutions-Analyst---Early-Career_2601236,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://marvell.wd1.myworkdayjobs.com/en-US/marvellcareers/job/Santa-Clara-CA/AI-Solutions-Analyst---Early-Career_2601236,
Marvell:217b3813-5d5b-4b33-9c10-1c264b43215a,Marvell,Analog Design Intern,"Westlake Village, CA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Westlake-Village-CA/Analog-Design-Intern---Master-s-Degree--Quarter-Schools---Fall-2026-Start-Dates-_2502475-1,2026-06-13,2026-06-13,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:217b3813-5d5b-4b33-9c10-1c264b43215a,2026-06-13
Marvell:f3496429-e2af-47b2-a122-ca4af137dec7,Marvell,Analog Design Intern,"Westlake Village, CA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers2/job/Westlake-Village-CA/Analog-Design-Intern---Master-s-Degree--Quarter-Schools---Fall-2026-Start-Dates-_2502475,2026-07-04,2026-07-04,2026-09-03T19:37:21+00:00,2026-09-03 12:37 Thu,,false,,,,false,simplify:Simplify Internships:f3496429-e2af-47b2-a122-ca4af137dec7,2026-07-04
Marvell:8012895f-f76b-4a76-8254-3da734e7748d,Marvell,Analog Design Intern,"Santa Clara, CA; Burlington, VT",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers2/job/Santa-Clara-CA/Analog-Design-Intern--MS---Summer-2027_2604510,2026-09-04,2026-09-04,2026-09-05T03:03:34+00:00,2026-09-04 20:03 Fri,,false,,,,false,simplify:Simplify Internships:8012895f-f76b-4a76-8254-3da734e7748d,2026-09-04
Marvell:ce92705c-8ef8-41b9-b977-84b925ad7137,Marvell,Analog Design Intern,"Irvine, CA; Santa Clara, CA; Westlake Village, CA",Hardware,https://marvell.wd1.myworkdayjobs.com/MarvellCareers/job/Santa-Clara-CA/PhD-Intern---Analog--Mixed-Signal---Circuit-Design_2604142,2026-09-04,2026-09-04,2026-09-05T03:03:34+00:00,2026-09-04 20:03 Fri,,false,,,,false,simplify:Simplify Internships:ce92705c-8ef8-41b9-b977-84b925ad7137,2026-09-04
