job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
MBDA:12c894f9-f011-4d9e-8c47-838bcff731b5,MBDA,Computer Vision and Artificial Intelligence Engineer - Image Processing UK,"Bristol, UK",AI/ML/Data,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Bristol/Computer-Vision-and-Artificial-Intelligence-Engineer---Summer-Placement-2027_R37483,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:12c894f9-f011-4d9e-8c47-838bcff731b5,2026-09-14
MBDA:7a3bc98d-8348-42c8-9e7f-c14d66a75d0a,MBDA,Computer Vision and Artificial Intelligence Engineer - Image Processing UK,"Bristol, UK",AI/ML/Data,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Bristol/Computer-Vision-and-Artificial-Intelligence-Engineer---Graduate-Programme-2027_R37479,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify New Grad:7a3bc98d-8348-42c8-9e7f-c14d66a75d0a,2026-09-14
MBDA:210ce965-2ae0-4579-95fb-109ef15fa831,MBDA,Electronics Engineer,"Stevenage, UK",Hardware,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Electronics-Engineer---Undergraduate-Placement-2027_R38678,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:210ce965-2ae0-4579-95fb-109ef15fa831,2026-09-14
MBDA:ad0606e2-b0a5-45d2-a394-9f42fd2e60d4,MBDA,Electronics Engineer - Graduate Programme,"Stevenage, UK",Hardware,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Electronics-Engineer---Graduate-Programme-2027_R37817,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify New Grad:ad0606e2-b0a5-45d2-a394-9f42fd2e60d4,2026-09-14
MBDA:4cf5c067-5cdb-4a42-9c07-f638e8cc4280,MBDA,Simulation and Modelling Engineer - Undergraduate Placement,"Bristol, UK; Stevenage, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Simulation-and-Modelling-Engineer---Undergraduate-Placement-2027_R38688,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:4cf5c067-5cdb-4a42-9c07-f638e8cc4280,2026-09-14
MBDA:3909031b-a185-414c-b03c-bc202f0695db,MBDA,Simulation and Modelling Engineer New Grad,"Bristol, UK; Stevenage, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Simulation-and-Modelling-Engineer---Graduate-Programme-2027_R37832,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify New Grad:3909031b-a185-414c-b03c-bc202f0695db,2026-09-14
MBDA:5088fa08-1fde-498a-b509-50c003c17fa5,MBDA,Software Engineer,"Stevenage, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Software-Engineer---Summer-Placement-2027_R37759,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:5088fa08-1fde-498a-b509-50c003c17fa5,2026-09-14
MBDA:aa3c83d6-07d6-42b6-8f0d-a6922438b781,MBDA,Software Engineer - Undergraduate Placement,"Stevenage, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Stevenage/Software-Engineer---Undergraduate-Placement-2027_R37757,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:aa3c83d6-07d6-42b6-8f0d-a6922438b781,2026-09-14
MBDA:ee68f394-118f-46e4-9fde-768b0ab09b67,MBDA,Software Engineer - Undergraduate Placement,"Bristol, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Bristol/Software-Engineer---Undergraduate-Placement-2027_R37445,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:ee68f394-118f-46e4-9fde-768b0ab09b67,2026-09-14
MBDA:52d960ca-ad7e-41c2-9d0d-c29b24545c91,MBDA,Software Engineer Graduate Programme,"Bristol, UK",Software,https://mbda.wd3.myworkdayjobs.com/MBDA-UK/job/Bristol/Software-Engineer---Graduate-Programme-2027_R37737,2026-09-14,2026-09-14,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify New Grad:52d960ca-ad7e-41c2-9d0d-c29b24545c91,2026-09-14
