job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
OmegaHires:http://omegahires.applytojob.com/apply/S9ri5UrQZh/Agentic-AI-Engineer,OmegaHires,Agentic AI Engineer,"Charlotte, NC",,http://omegahires.applytojob.com/apply/S9ri5UrQZh/Agentic-AI-Engineer,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,AI / ML,true,Keyword,56,keyword-only heuristic (title only),true,speedyapply:SpeedyApply AI:http://omegahires.applytojob.com/apply/S9ri5UrQZh/Agentic-AI-Engineer
OmegaHires:http://omegahires.applytojob.com/apply/PSXzRqoWN9/AI-Agents-GCP,OmegaHires,AI Agents - GCP,"Atlanta, GA",,http://omegahires.applytojob.com/apply/PSXzRqoWN9/AI-Agents-GCP,,,2026-08-25T13:00:05+00:00,2026-08-25 06:00 Tue,AI / ML,true,Keyword,56,keyword-only heuristic (title only),true,speedyapply:SpeedyApply AI:http://omegahires.applytojob.com/apply/PSXzRqoWN9/AI-Agents-GCP
OmegaHires:http://omegahires.applytojob.com/apply/ku5kBJSz3g/AI-Developer-Engineer,OmegaHires,AI Developer Engineer,"Charlotte, NC",,http://omegahires.applytojob.com/apply/ku5kBJSz3g/AI-Developer-Engineer,,,2026-08-25T13:11:15+00:00,2026-08-25 06:11 Tue,AI / ML,true,Keyword,64,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/ku5kBJSz3g/AI-Developer-Engineer
OmegaHires:http://omegahires.applytojob.com/apply/rX9RST1hgA/AI-ML-Engineer,OmegaHires,AI ML Engineer,USA,,http://omegahires.applytojob.com/apply/rX9RST1hgA/AI-ML-Engineer,,,2026-08-11T13:41:52+00:00,2026-08-11 06:41 Tue,AI / ML,true,Keyword,56,keyword-only heuristic (title only),true,speedyapply:SpeedyApply AI:http://omegahires.applytojob.com/apply/rX9RST1hgA/AI-ML-Engineer
OmegaHires:http://omegahires.applytojob.com/apply/AF3M50p31k/AIML-Engineer,OmegaHires,AI/ML Engineer,Remote - USA,,http://omegahires.applytojob.com/apply/AF3M50p31k/AIML-Engineer,,,2026-08-06T14:41:55+00:00,2026-08-06 07:41 Thu,AI / ML,true,CLI,75,"Strong fit for an AI/ML Engineer role through hands-on experience with PyTorch, TensorFlow, computer vision, reinforcement learning, model training, optimization, and production-oriented Python/C++ development, though the empty description prevents assessing alignment with specific domain requirements.",true,speedyapply:SpeedyApply AI:http://omegahires.applytojob.com/apply/AF3M50p31k/AIML-Engineer
OmegaHires:http://omegahires.applytojob.com/apply/fmx2pbPCHo/Big-Data-Engineer-With-GCP,OmegaHires,Big Data Engineer with GCP,"Phoenix, AZ",,http://omegahires.applytojob.com/apply/fmx2pbPCHo/Big-Data-Engineer-With-GCP,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,Software Engineering,true,CLI,42,"The candidate has strong Python, Docker, Linux, Redis, MySQL, and scalable backend experience, but lacks clear GCP, big-data frameworks, and data-engineering experience specifically required for this role.",false,speedyapply:SpeedyApply AI:http://omegahires.applytojob.com/apply/fmx2pbPCHo/Big-Data-Engineer-With-GCP
OmegaHires:http://omegahires.applytojob.com/apply/jJzxCq99z7/GCP-Cloud-Infra-Engineer,OmegaHires,GCP Cloud Infra Engineer,USA,,http://omegahires.applytojob.com/apply/jJzxCq99z7/GCP-Cloud-Infra-Engineer,,,2026-08-19T13:18:27+00:00,2026-08-19 06:18 Wed,Other Technical,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/jJzxCq99z7/GCP-Cloud-Infra-Engineer
OmegaHires:http://omegahires.applytojob.com/apply/QsO1Ex3b6l/Java-AWS-Developer,OmegaHires,Java AWS Developer,"Charlotte, NC",,http://omegahires.applytojob.com/apply/QsO1Ex3b6l/Java-AWS-Developer,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Other Technical,true,Keyword,56,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/QsO1Ex3b6l/Java-AWS-Developer
OmegaHires:http://omegahires.applytojob.com/apply/aDHPuh97BW/Java-Python-AI-Developer,OmegaHires,Java Python AI Developer,"Phoenix, AZ",,http://omegahires.applytojob.com/apply/aDHPuh97BW/Java-Python-AI-Developer,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,AI / ML,true,Keyword,72,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/aDHPuh97BW/Java-Python-AI-Developer
OmegaHires:http://omegahires.applytojob.com/apply/Oj9Hboc7Zk/Java-Springboot-Python-AI-FS-Developer,OmegaHires,Java Springboot Python AI FS Developer,USA,,http://omegahires.applytojob.com/apply/Oj9Hboc7Zk/Java-Springboot-Python-AI-FS-Developer,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,AI / ML,true,Keyword,72,keyword-only heuristic (title only),true,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/Oj9Hboc7Zk/Java-Springboot-Python-AI-FS-Developer
OmegaHires:http://omegahires.applytojob.com/apply/sy6CQn5GrO/NET-Developer,OmegaHires,NET Developer,"Lake Mary, FL",,http://omegahires.applytojob.com/apply/sy6CQn5GrO/NET-Developer,,,2026-08-02T13:59:17+00:00,2026-08-02 06:59 Sun,,false,,,,false,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/sy6CQn5GrO/NET-Developer
OmegaHires:http://omegahires.applytojob.com/apply/XD8DKNTCqi/React-Developer,OmegaHires,React Developer,"Phoenix, AZ",,http://omegahires.applytojob.com/apply/XD8DKNTCqi/React-Developer,,,2026-07-31T14:41:48+00:00,2026-07-31 07:41 Fri,,false,,,,false,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/XD8DKNTCqi/React-Developer
OmegaHires:http://omegahires.applytojob.com/apply/uk9wgVVYYW/SAP-ABAP-Developer,OmegaHires,SAP ABAP Developer,Remote - USA,,http://omegahires.applytojob.com/apply/uk9wgVVYYW/SAP-ABAP-Developer,,,2026-08-20T13:10:56+00:00,2026-08-20 06:10 Thu,Other Technical,true,Keyword,48,keyword-only heuristic (title only),false,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/uk9wgVVYYW/SAP-ABAP-Developer
OmegaHires:http://omegahires.applytojob.com/apply/FU2ji4G4v5/UI-Developer,OmegaHires,UI Developer,USA,,http://omegahires.applytojob.com/apply/FU2ji4G4v5/UI-Developer,,,2026-08-12T13:42:08+00:00,2026-08-12 06:42 Wed,Other Technical,true,CLI,18,"The candidate has strong computer vision, Python, and software development experience, but the resume provides little evidence of UI development, frontend technologies, or user-interface design.",false,speedyapply:SpeedyApply SWE:http://omegahires.applytojob.com/apply/FU2ji4G4v5/UI-Developer
