job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
Oshkosh:be741c04-69a7-41b2-8fb3-8d280bacbe8c,Oshkosh,AI Engineer Intern,"Oshkosh, WI",AI/ML/Data,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/AI-Intern_R50265,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,94,候選人具備 Computer Vision、machine learning、PyTorch、TensorFlow、Python、C++、Linux、GPU 模型訓練、影像處理與自動化測試等直接相關經驗，且目前攻讀 AI 碩士，與 AI Engineer Intern 的職務要求高度吻合。,true,simplify:Simplify Internships:be741c04-69a7-41b2-8fb3-8d280bacbe8c,2026-09-11
Oshkosh:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/AI-Intern_R50265,Oshkosh,AI Intern,"Oshkosh, WI",,https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/AI-Intern_R50265,,,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,92,候選人具備 Python、C++、Linux、PyTorch、TensorFlow、computer vision、model optimization 與 automated testing 經驗，且正在攻讀 AI 碩士，與 AI Intern 的 machine learning、computer vision、軟體整合及實際產品應用高度契合，僅缺乏 vehicle、CAN 與 embedded systems 的直接經驗。,true,speedyapply:SpeedyApply AI:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/AI-Intern_R50265,
Oshkosh:e3c16702-69b1-496c-b4a7-13ea33504cfc,Oshkosh,Autonomy & Active Safety Engineer Intern,"Oshkosh, WI; Pittsburgh, PA",AI/ML/Data,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Pittsburgh-Pennsylvania-United-States/Autonomy---Active-Safety-Engineering-Intern_R50266,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,88,候選人具備 Python、C++、Linux、computer vision、machine learning、object detection 與 perception 的實務經驗，並正在攻讀 AI 碩士，與此 Autonomy & Active Safety Engineer Intern 高度匹配，但缺乏 ROS2、sensor fusion、vehicle control 與 CAN 等車輛自主系統經驗。,true,simplify:Simplify Internships:e3c16702-69b1-496c-b4a7-13ea33504cfc,2026-09-11
Oshkosh:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Pittsburgh-Pennsylvania-United-States/Autonomy---Active-Safety-Engineering-Intern_R50266,Oshkosh,Autonomy & Active Safety Engineering Intern,"Pittsburgh, PA +1",,https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Pittsburgh-Pennsylvania-United-States/Autonomy---Active-Safety-Engineering-Intern_R50266,,,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,88,候選人具備 Computer Vision、machine learning、Python、C++、MATLAB、Linux、object detection、reinforcement learning 與實際測試整合經驗，且正在攻讀 AI 碩士，與 Autonomy & Active Safety Engineering Intern 的核心要求高度吻合，但缺乏 ROS2、車輛控制、CAN 及 LiDAR/GPS/IMU 等直接車用經驗。,true,speedyapply:SpeedyApply AI:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Pittsburgh-Pennsylvania-United-States/Autonomy---Active-Safety-Engineering-Intern_R50266,
Oshkosh:7f72ef87-208f-40f9-9375-4c3aa13839b1,Oshkosh,Autonomy Engineering Intern - Summer 2027,"New Hudson, MI",AI/ML/Data,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/New-Hudson-Michigan-United-States/Autonomy-Intern---Summer-2027_R50320,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify Internships:7f72ef87-208f-40f9-9375-4c3aa13839b1,2026-09-14
Oshkosh:9ff89600-1ebc-46c4-a1af-887c05a633b9,Oshkosh,Data Engineer Intern,"Oshkosh, WI",AI/ML/Data,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Engineer-Intern_R49868,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,72,候選人具備 Python、SQL/relational database、Docker、GCP 及資料處理與自動化經驗，且目前就讀 AI 碩士，符合 Data Engineer Intern 的學歷與基礎技術要求，但缺乏 Databricks、Azure、Qlik Replicate、資料湖及報表視覺化的直接經驗。,true,simplify:Simplify Internships:9ff89600-1ebc-46c4-a1af-887c05a633b9,2026-09-11
Oshkosh:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Engineer-Intern_R49868,Oshkosh,Data Engineer Intern,"Oshkosh, WI",,https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Engineer-Intern_R49868,,,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Computer Vision,true,CLI:codex,72,候選人目前攻讀 AI 碩士，具備 Python、SQL、MySQL、Docker、GCP 與資料處理及自動化測試經驗，符合資料管線與分析支援的基礎要求，但缺乏 Databricks、Azure Cloud、Qlik Replicate、報表視覺化及正式 data engineering 經驗。,true,speedyapply:SpeedyApply AI:https://oshkoshcorporation.wd5.myworkdayjobs.com/en-US/oshkosh/job/Oshkosh-Wisconsin-United-States/Data-Engineer-Intern_R49868,
Oshkosh:f6c17218-62ff-41c3-a642-bb2bda801cdc,Oshkosh,Digital Technology Intern - Application Development,"Greenville, WI",Software,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Greenville-Wisconsin-United-States/Digital-Technology-Intern---Application-Development--Year-Round-_R49733,2026-08-31,2026-08-31,2026-08-31T21:17:53+00:00,2026-08-31 14:17 Mon,,false,,,,false,simplify:Simplify Internships:f6c17218-62ff-41c3-a642-bb2bda801cdc,2026-08-31
Oshkosh:bd80bcd9-1880-4269-8482-1c80a18287f5,Oshkosh,Digital Technology Intern - Application Development - Year Round,"Roy, UT",Software,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/Roy-Utah-United-States/Digital-Technology-Intern---Application-Development--Year-Round-_R49872,2026-08-31,2026-08-31,2026-08-31T21:17:53+00:00,2026-08-31 14:17 Mon,Software Engineering,true,Keyword,49,keyword-only heuristic,false,simplify:Simplify Internships:bd80bcd9-1880-4269-8482-1c80a18287f5,2026-08-31
Oshkosh:51e1a2e8-b6b0-42e0-918a-e363a43db4bf,Oshkosh,Electronics & Controls Intern,"New Hudson, MI",Hardware,https://oshkoshcorporation.wd5.myworkdayjobs.com/Oshkosh/job/New-Hudson-Michigan-United-States/Electronics---Controls-Intern---Summer-2027_R50319,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify Internships:51e1a2e8-b6b0-42e0-918a-e363a43db4bf,2026-09-14
