job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Planet Labs:7564777,Planet Labs,"Account Executive, Defence & Intelligence","Japan, Remote",Account Executive,https://job-boards.greenhouse.io/planetlabs/jobs/7564777,2026-05-27T12:46:28-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7564777
Planet Labs:7603831,Planet Labs,"Account Executive, Defence & Intelligence, France","France, Remote",Account Executive,https://job-boards.greenhouse.io/planetlabs/jobs/7603831,2026-05-13T04:52:58-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7603831
Planet Labs:7711289,Planet Labs,"Account Executive, Defence & Intelligence, Sweden","Sweden, Remote",Account Executive,https://job-boards.greenhouse.io/planetlabs/jobs/7711289,2026-06-29T07:29:54-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7711289
Planet Labs:7782580,Planet Labs,"AI Engineer, Marketing","San Francisco, CA",Growth Marketing,https://job-boards.greenhouse.io/planetlabs/jobs/7782580,2026-05-12T10:43:53-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7782580
Planet Labs:7782587,Planet Labs,"AI Engineer, Marketing","Arlington, VA",Growth Marketing,https://job-boards.greenhouse.io/planetlabs/jobs/7782587,2026-05-12T10:43:53-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7782587
Planet Labs:7996467,Planet Labs,Commercial AI Innovation Lead,"United States, Remote",Partnerships,https://job-boards.greenhouse.io/planetlabs/jobs/7996467,2026-07-01T00:41:35-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7996467
Planet Labs:7772699,Planet Labs,Customer Success Manager  (D&I - South Korea & ANZ),"Australia, Remote; South Korea, Remote",Customer Success Management,https://job-boards.greenhouse.io/planetlabs/jobs/7772699,2026-07-14T13:57:20-04:00,2026-07-14T18:17:38+00:00,2026-07-14 11:17 Tue,,false,,,,false,greenhouse:Planet Labs:7772699
Planet Labs:7946660,Planet Labs,"Customer Success Manager, Commercial Markets","Berlin, Germany; Haarlem, Netherlands; London, UK",Customer Success Management,https://job-boards.greenhouse.io/planetlabs/jobs/7946660,2026-06-12T13:44:36-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7946660
Planet Labs:7870467,Planet Labs,"Customer Success Manager, EMEA Civil Governments","Berlin, Germany",Customer Success Management,https://job-boards.greenhouse.io/planetlabs/jobs/7870467,2026-05-12T10:43:53-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7870467
Planet Labs:7374533,Planet Labs,"D&I Program Manager, Professional Services","Netherlands, Remote",Program Management (ProServ),https://job-boards.greenhouse.io/planetlabs/jobs/7374533,2026-07-01T21:42:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Planet Labs:7374533
Planet Labs:7439062,Planet Labs,"D&I Program Manager, Professional Services","Germany, Remote",Program Management (ProServ),https://job-boards.greenhouse.io/planetlabs/jobs/7439062,2026-07-01T21:42:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Planet Labs:7439062
Planet Labs:7490266,Planet Labs,"D&I Program Manager, Professional Services","Ljubljana, Slovenia",Program Management (ProServ),https://job-boards.greenhouse.io/planetlabs/jobs/7490266,2026-07-01T21:42:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7490266
Planet Labs:7490269,Planet Labs,"D&I Program Manager, Professional Services","Graz, Austria",Program Management (ProServ),https://job-boards.greenhouse.io/planetlabs/jobs/7490269,2026-07-01T21:42:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,greenhouse:Planet Labs:7490269
Planet Labs:7490275,Planet Labs,"D&I Program Manager, Professional Services","United Kingdom, Remote",Program Management (ProServ),https://job-boards.greenhouse.io/planetlabs/jobs/7490275,2026-07-01T21:42:15-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Planet Labs:7490275
Planet Labs:8044691,Planet Labs,Data Visualization Engineer,"San Francisco, CA",Creative,https://job-boards.greenhouse.io/planetlabs/jobs/8044691,2026-07-14T16:44:21-04:00,2026-07-14T21:00:00+00:00,2026-07-14 14:00 Tue,Computer Vision,true,Keyword,55,keyword-only heuristic,true,greenhouse:Planet Labs:8044691
