job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
PlusAI:3b95e222-3cbb-498a-b92e-12b7a72e81ff,PlusAI,Class A Truck Driver,"Dallas, Texas",Vehicle Operations,https://jobs.lever.co/plus-2/3b95e222-3cbb-498a-b92e-12b7a72e81ff,1753139298227,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:3b95e222-3cbb-498a-b92e-12b7a72e81ff
Plus:https://jobs.lever.co/plus-2/c143df6e-66c2-4498-b19b-8323f9954ca9,PlusAI,Computer Vision Engineer Intern,"Santa Clara, CA",AI/ML/Data,https://jobs.lever.co/plus-2/c143df6e-66c2-4498-b19b-8323f9954ca9/apply|https://jobs.lever.co/plus-2/c143df6e-66c2-4498-b19b-8323f9954ca9,2026-05-26,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,Computer Vision,true,,82,"The title is clearly computer-vision engineering, and the candidate has strong directly relevant CV experience in detection, segmentation, PyTorch, OpenCV, and C++/Python, though the missing job description limits specificity.",true,speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/c143df6e-66c2-4498-b19b-8323f9954ca9|lever:PlusAI:c143df6e-66c2-4498-b19b-8323f9954ca9|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/c143df6e-66c2-4498-b19b-8323f9954ca9/apply|simplify:Simplify Internships:6497d161-1772-44e7-8d01-703be23a72f1|speedyapply:SpeedyApply AI:c143df6e-66c2-4498-b19b-8323f9954ca9|simplify:Simplify Internships:c143df6e-66c2-4498-b19b-8323f9954ca9
PlusAI:083142f4-70ed-40f4-8726-a5f99ea52e36,PlusAI,Data Engineer,"Santa Clara, CA",,https://jobs.lever.co/plus-2/083142f4-70ed-40f4-8726-a5f99ea52e36,,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Software Engineering,true,Keyword,61,keyword-only heuristic,true,lever:PlusAI:083142f4-70ed-40f4-8726-a5f99ea52e36|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/083142f4-70ed-40f4-8726-a5f99ea52e36|speedyapply:SpeedyApply AI:083142f4-70ed-40f4-8726-a5f99ea52e36
Plus:https://jobs.lever.co/plus-2/58d77886-bf3a-4707-8af8-e1af47162e2e/apply,PlusAI,Deep Learning Intern,"Santa Clara, CA",Perception,https://jobs.lever.co/plus-2/58d77886-bf3a-4707-8af8-e1af47162e2e|https://jobs.lever.co/plus-2/58d77886-bf3a-4707-8af8-e1af47162e2e/apply,1779471140786,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,AI / ML,true,,82,"The title is strongly AI/ML-focused, and the candidate has relevant deep learning, computer vision, PyTorch, YOLO, segmentation, and research-adjacent experience, though the missing job description limits precise domain matching.",true,speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/58d77886-bf3a-4707-8af8-e1af47162e2e/apply|simplify:Simplify Internships:19f66baf-a239-40ff-9ccb-31e782da33c1|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/58d77886-bf3a-4707-8af8-e1af47162e2e|lever:PlusAI:58d77886-bf3a-4707-8af8-e1af47162e2e
Plus:https://jobs.lever.co/plus-2/2f2c1cd9-f099-483a-9717-0da83a391333/apply,PlusAI,Deep Learning Research Intern,"Santa Clara, CA",Perception,https://jobs.lever.co/plus-2/2f2c1cd9-f099-483a-9717-0da83a391333|https://jobs.lever.co/plus-2/2f2c1cd9-f099-483a-9717-0da83a391333/apply,1779493395810,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,AI / ML,true,,82,"The title is clearly an AI/ML research role, and the candidate has strong computer vision, PyTorch, deep learning, and research-adjacent experience, but the empty job description limits confidence on domain and exact requirements.",true,speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/2f2c1cd9-f099-483a-9717-0da83a391333/apply|simplify:Simplify Internships:25955d79-5052-4813-bcb6-5d25f1ce2b38|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/2f2c1cd9-f099-483a-9717-0da83a391333|lever:PlusAI:2f2c1cd9-f099-483a-9717-0da83a391333
PlusAI:07df4477-576f-467a-8877-8cc80f6cd584,PlusAI,"Director, Corporate & Securities Counsel","Santa Clara, CA",Legal,https://jobs.lever.co/plus-2/07df4477-576f-467a-8877-8cc80f6cd584,1768344744798,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:07df4477-576f-467a-8877-8cc80f6cd584
PlusAI:5aa0b004-2f43-4550-acd3-2387a77fec07,PlusAI,"Director, SEC Reporting and Technical Accounting","Santa Clara, CA",Finance and Accounting,https://jobs.lever.co/plus-2/5aa0b004-2f43-4550-acd3-2387a77fec07,1768249690957,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:5aa0b004-2f43-4550-acd3-2387a77fec07
PlusAI:f575435f-3b4d-4740-a1ba-6c313afb70fb,PlusAI,Engineering Manager - Simulation and Verification,"Santa Clara, CA",Data Infrastructure,https://jobs.lever.co/plus-2/f575435f-3b4d-4740-a1ba-6c313afb70fb,1783025864362,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:f575435f-3b4d-4740-a1ba-6c313afb70fb
PlusAI:9afb1a31-cdc8-496a-a891-24b9d1254391,PlusAI,Engineering Technician,"Fremont, CA",Engineering,https://jobs.lever.co/plus-2/9afb1a31-cdc8-496a-a891-24b9d1254391,1782410652069,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:9afb1a31-cdc8-496a-a891-24b9d1254391
PlusAI:2af29134-9fe8-45e5-80e4-a3fee19f2d7c,PlusAI,Field Service Engineer,"Dallas, Texas",Field Engineering,https://jobs.lever.co/plus-2/2af29134-9fe8-45e5-80e4-a3fee19f2d7c,1767907662725,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:2af29134-9fe8-45e5-80e4-a3fee19f2d7c
Plus:https://jobs.lever.co/plus-2/b69c9b6d-483f-41d4-b487-97c99332ca40,PlusAI,Full Stack Engineer Intern,"Santa Clara, CA",,https://jobs.lever.co/plus-2/b69c9b6d-483f-41d4-b487-97c99332ca40/apply|https://jobs.lever.co/plus-2/b69c9b6d-483f-41d4-b487-97c99332ca40,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,Software Engineering,true,,74,"The title is clearly a software engineering internship, and the candidate has strong Python/C++ plus some backend, Docker, Redis, MySQL, and API experience, but the fit is limited by the empty job description and resume focus on computer vision rather than full-stack product development.",true,speedyapply:SpeedyApply SWE:https://jobs.lever.co/plus-2/b69c9b6d-483f-41d4-b487-97c99332ca40|lever:PlusAI:b69c9b6d-483f-41d4-b487-97c99332ca40|simplify:Simplify Internships:681758c6-c283-429d-9627-0f285a799b54|speedyapply:SpeedyApply SWE:b69c9b6d-483f-41d4-b487-97c99332ca40
PlusAI:6844904b-ccbf-41ba-924c-6a5d8ba572d5,PlusAI,Functional Safety Manager,"Santa Clara, CA",Functional Safety,https://jobs.lever.co/plus-2/6844904b-ccbf-41ba-924c-6a5d8ba572d5,1702936871621,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,,false,,,,false,lever:PlusAI:6844904b-ccbf-41ba-924c-6a5d8ba572d5
PlusAI:5d71c173-fef1-409f-b3f0-750e3b828266,PlusAI,Machine Learning Engineer Intern,"Santa Clara, CA",AI/ML/Data,https://jobs.lever.co/plus-2/5d71c173-fef1-409f-b3f0-750e3b828266/apply|https://jobs.lever.co/plus-2/5d71c173-fef1-409f-b3f0-750e3b828266,2026-05-22,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,AI / ML,true,Keyword,64,keyword-only heuristic,true,lever:PlusAI:5d71c173-fef1-409f-b3f0-750e3b828266|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/5d71c173-fef1-409f-b3f0-750e3b828266|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/5d71c173-fef1-409f-b3f0-750e3b828266/apply|simplify:Simplify Internships:ea5d5776-27ae-4cbe-aa4d-47a5dd80052f|speedyapply:SpeedyApply AI:5d71c173-fef1-409f-b3f0-750e3b828266|simplify:Simplify Internships:5d71c173-fef1-409f-b3f0-750e3b828266
PlusAI:91a07eb1-2244-48bf-a65b-dc166a327ddc,PlusAI,Machine Learning Engineer Intern - Planning,"Santa Clara, CA",AI/ML/Data,https://jobs.lever.co/plus-2/91a07eb1-2244-48bf-a65b-dc166a327ddc/apply|https://jobs.lever.co/plus-2/91a07eb1-2244-48bf-a65b-dc166a327ddc,2026-05-22,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,AI / ML,true,Keyword,79,keyword-only heuristic,true,lever:PlusAI:91a07eb1-2244-48bf-a65b-dc166a327ddc|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/91a07eb1-2244-48bf-a65b-dc166a327ddc|simplify:Simplify Internships:06fdb7fb-f7a7-4d74-9a9c-d59f0d316fe4|speedyapply:SpeedyApply AI:91a07eb1-2244-48bf-a65b-dc166a327ddc|simplify:Simplify Internships:91a07eb1-2244-48bf-a65b-dc166a327ddc
PlusAI:5f7df515-a7c8-4ae7-9327-e95ef0848474,PlusAI,Machine Learning Engineer Intern - Scenario Generation,"Santa Clara, CA",Simulation,https://jobs.lever.co/plus-2/1432ed29-d5e2-4348-acc4-9c42bf0897e2|https://jobs.lever.co/plus-2/1432ed29-d5e2-4348-acc4-9c42bf0897e2/apply,1779313808004,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,AI / ML,true,Keyword,49,keyword-only heuristic,false,simplify:Simplify Internships:5f7df515-a7c8-4ae7-9327-e95ef0848474|speedyapply:SpeedyApply AI:https://jobs.lever.co/plus-2/1432ed29-d5e2-4348-acc4-9c42bf0897e2|lever:PlusAI:1432ed29-d5e2-4348-acc4-9c42bf0897e2
