job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Runway AI:67594584-5c50-42e8-a7ff-7c53daf5be88,Runway AI,API Deployment Manager,"New York, NY",Commercial,https://jobs.ashbyhq.com/runway-ml/67594584-5c50-42e8-a7ff-7c53daf5be88,2026-08-13T16:05:34.162+00:00,2026-08-13,2026-08-13T16:19:27+00:00,2026-08-13 09:19 Thu,,false,,,,false,ashby:Runway AI:67594584-5c50-42e8-a7ff-7c53daf5be88
Runway AI:9847d13d-9f03-4060-bf62-f450e7a049bc,Runway AI,Art Director,Remote,Marketing & Creative,https://jobs.ashbyhq.com/runway-ml/9847d13d-9f03-4060-bf62-f450e7a049bc,2026-04-10T21:14:36.697+00:00,2026-04-10,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:9847d13d-9f03-4060-bf62-f450e7a049bc
Runway AI:36b0012b-a995-41c1-9eb4-e39285e0b451,Runway AI,"Chief of Staff, Co-CEO",Remote,Operations & Partnerships,https://jobs.ashbyhq.com/runway-ml/36b0012b-a995-41c1-9eb4-e39285e0b451,2026-07-05T13:45:08.939+00:00,2026-07-05,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:36b0012b-a995-41c1-9eb4-e39285e0b451
Runway AI:9e54a328-8bf2-4255-9358-7f26c5d1e7aa,Runway AI,Commercial Counsel/Senior Commercial Counsel,Remote,Legal,https://jobs.ashbyhq.com/runway-ml/9e54a328-8bf2-4255-9358-7f26c5d1e7aa,2026-04-23T02:51:30.666+00:00,2026-04-23,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:9e54a328-8bf2-4255-9358-7f26c5d1e7aa
Runway AI:d80c075f-0766-4510-b657-c092b843ce11,Runway AI,Communications Manager,Remote,Marketing & Creative,https://jobs.ashbyhq.com/runway-ml/d80c075f-0766-4510-b657-c092b843ce11,2026-06-11T16:03:36.595+00:00,2026-06-11,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:d80c075f-0766-4510-b657-c092b843ce11
Runway AI:2ca5c5d1-725d-4c44-907b-5d808ec248fe,Runway AI,Consumer Support Specialist ,Remote,Customer Experience,https://jobs.ashbyhq.com/runway-ml/2ca5c5d1-725d-4c44-907b-5d808ec248fe,2025-04-11T17:29:40.359+00:00,2025-04-11,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:2ca5c5d1-725d-4c44-907b-5d808ec248fe
Runway AI:9f6d216d-2f54-4970-84d7-43ab0a2b4852,Runway AI,Consumer Support Specialist - US ,Remote,Customer Experience,https://jobs.ashbyhq.com/runway-ml/9f6d216d-2f54-4970-84d7-43ab0a2b4852,2026-08-13T15:33:26.906+00:00,2026-08-13,2026-08-13T15:41:24+00:00,2026-08-13 08:41 Thu,,false,,,,false,ashby:Runway AI:9f6d216d-2f54-4970-84d7-43ab0a2b4852
Runway AI:da5557e5-62dc-45a3-a173-0b7e9a61cb09,Runway AI,Copywriter,Remote,Marketing & Creative,https://jobs.ashbyhq.com/runway-ml/da5557e5-62dc-45a3-a173-0b7e9a61cb09,2026-04-10T20:47:28.047+00:00,2026-04-10,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:da5557e5-62dc-45a3-a173-0b7e9a61cb09
Runway AI:89cbd5a5-c7cb-43f0-b88e-dba1f7c8860b,Runway AI,Corporate Development & Capital Markets,San Francisco,Finance,https://jobs.ashbyhq.com/runway-ml/89cbd5a5-c7cb-43f0-b88e-dba1f7c8860b,2026-07-15T16:58:07.346+00:00,2026-07-15,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:89cbd5a5-c7cb-43f0-b88e-dba1f7c8860b
Runway AI:0ea253c8-590b-4d5b-b72d-2ca08b2ee0e2,Runway AI,Creative Director,Remote,Marketing & Creative,https://jobs.ashbyhq.com/runway-ml/0ea253c8-590b-4d5b-b72d-2ca08b2ee0e2,2026-04-10T20:43:18.896+00:00,2026-04-10,2026-07-16T04:17:28+00:00,2026-07-15 21:17 Wed,,false,,,,false,ashby:Runway AI:0ea253c8-590b-4d5b-b72d-2ca08b2ee0e2
