job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Stack AV:5061647007,Stack AV,CDL A | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Atlanta, GA",Operations,https://job-boards.greenhouse.io/stackav/jobs/5061647007,2026-07-06T09:22:09-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5061647007
Stack AV:5106195007,Stack AV,CDL A | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Denver, CO",Operations,https://job-boards.greenhouse.io/stackav/jobs/5106195007,2026-04-28T14:19:58-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5106195007
Stack AV:5182678007,Stack AV,CDL A | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Memphis, TN",Operations,https://job-boards.greenhouse.io/stackav/jobs/5182678007,2026-07-08T15:31:10-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5182678007
Stack AV:5061686007,Stack AV,CDL | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Phoenix, AZ",Operations,https://job-boards.greenhouse.io/stackav/jobs/5061686007,2026-07-02T17:25:57-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5061686007
Stack AV:5118025007,Stack AV,CDL | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Miami, FL",Operations,https://job-boards.greenhouse.io/stackav/jobs/5118025007,2026-07-06T13:39:39-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5118025007
Stack AV:5118030007,Stack AV,CDL | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Dallas, TX",Operations,https://job-boards.greenhouse.io/stackav/jobs/5118030007,2026-05-20T16:15:41-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5118030007
Stack AV:5160264007,Stack AV,CDL | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Chicago, IL",Operations,https://job-boards.greenhouse.io/stackav/jobs/5160264007,2026-06-09T15:28:43-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5160264007
Stack AV:5160282007,Stack AV,CDL | Hourly Pay with OT | FREE benefits (Operations Specialist) ,"Houston, TX",Operations,https://job-boards.greenhouse.io/stackav/jobs/5160282007,2026-06-09T15:27:55-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5160282007
Stack AV:5155660007,Stack AV,Freight Logistics Manager,"Pittsburgh, PA ",Product Operations,https://job-boards.greenhouse.io/stackav/jobs/5155660007,2026-06-05T09:47:50-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5155660007
Stack AV:5155733007,Stack AV,"Program Manager, Training","Pittsburgh, PA ",Fleet Operations,https://job-boards.greenhouse.io/stackav/jobs/5155733007,2026-06-05T09:06:28-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5155733007
Stack AV:5165201007,Stack AV,Senior Compute Platform Engineer,"Pittsburgh, PA or Remote",Enterprise Infrastructure & Engineering,https://job-boards.greenhouse.io/stackav/jobs/5165201007,2026-06-15T15:32:19-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5165201007
Stack AV:5165174007,Stack AV,Senior Data Platform Engineer,"Pittsburgh, PA or Remote",Enterprise Infrastructure & Engineering,https://job-boards.greenhouse.io/stackav/jobs/5165174007,2026-06-15T15:25:05-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5165174007
Stack AV:5170439007,Stack AV,Senior Site Reliability Engineer,"Pittsburgh, PA or Remote",Enterprise Infrastructure & Engineering,https://job-boards.greenhouse.io/stackav/jobs/5170439007,2026-06-22T11:43:31-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,AI / ML,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:5170439007
Stack AV:4848836007,Stack AV,"Senior Software Engineer, AI Data Infrastructure","Pittsburgh, PA or Remote",Autonomy,https://job-boards.greenhouse.io/stackav/jobs/4848836007,2026-04-28T14:19:58-04:00,2026-07-10T15:37:18+00:00,2026-07-10 08:37 Fri,Computer Vision,true,Keyword,100,keyword-only heuristic,true,greenhouse:Stack AV:4848836007
