job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
TD Bank:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Data-Engineer_R_1495653,TD Bank,2026 Fall Co-op - Global Technology Solutions - Data Engineer,"Mount Laurel, New Jersey",,https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Data-Engineer_R_1495653,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Data-Engineer_R_1495653,
TD Bank:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Software-Engineer--SWE-_R_1495659,TD Bank,2026 Fall Co-op - Global Technology Solutions - Software Engineer - SWE,"Mount Laurel, New Jersey",,https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Software-Engineer--SWE-_R_1495659,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply SWE:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/Mount-Laurel-New-Jersey/XMLNAME-2026-Fall-Co-op---Global-Technology-Solutions---Software-Engineer--SWE-_R_1495659,
TD Bank:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Analyst---Software-Engineering-Rotational-Program--New-York-City-_R_1508053,TD Bank,2027 Summer Analyst - Software Engineering Rotational Program - New York City,"New York City, NY",,https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Analyst---Software-Engineering-Rotational-Program--New-York-City-_R_1508053,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,Software Engineering,true,Keyword,61,keyword-only heuristic,true,speedyapply:SpeedyApply SWE:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Analyst---Software-Engineering-Rotational-Program--New-York-City-_R_1508053,
TD Bank:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Associate---Quantitative-Rotation-Program_R_1508352,TD Bank,2027 Summer Associate - Quantitative Rotation Program,"New York City, NY",,https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Associate---Quantitative-Rotation-Program_R_1508352,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,AI / ML,true,Keyword,55,keyword-only heuristic,true,speedyapply:SpeedyApply AI:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Associate---Quantitative-Rotation-Program_R_1508352,
TD Bank:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Graduate-Leadership-Internship-Program---Retail-Distribution_R_1508518-1,TD Bank,2027 Summer Graduate Leadership Internship Program - Retail Banking Strategy & AI,"New York City, NY +4",,https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Graduate-Leadership-Internship-Program---Retail-Distribution_R_1508518-1,,,2026-09-01T16:42:10+00:00,2026-09-01 09:42 Tue,,false,,,,false,speedyapply:SpeedyApply AI:https://td.wd3.myworkdayjobs.com/en-US/td_bank_careers/job/New-York-New-York/XMLNAME-2027-Summer-Graduate-Leadership-Internship-Program---Retail-Distribution_R_1508518-1,
TD Bank:809800c8-935e-467a-8a4c-0ddc4fbdecd9,TD Bank,Applied Machine Learning Scientist,"Toronto, ON, Canada",AI/ML/Data,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/AI2-Applied-Machine-Learning-Scientist--Graduate-_R_1506705,2026-09-08,2026-09-08,2026-09-08T17:22:55+00:00,2026-09-08 10:22 Tue,,false,,,,false,simplify:Simplify New Grad:809800c8-935e-467a-8a4c-0ddc4fbdecd9,2026-09-08
TD Bank:f0b88e82-318c-4d88-8b72-7b40d2d7847a,TD Bank,Applied Machine Learning Scientist Co-op - Winter 2027,"Toronto, ON, Canada",AI/ML/Data,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/AI2-Applied-Machine-Learning-Scientist-Co-op--WINTER-2027-_R_1506697-1,2026-09-08,2026-09-08,2026-09-08T17:22:55+00:00,2026-09-08 10:22 Tue,,false,,,,false,simplify:Simplify Internships:f0b88e82-318c-4d88-8b72-7b40d2d7847a,2026-09-08
TD Bank:12bfde82-572e-408d-b778-a19c8329abbf,TD Bank,Applied Machine Learning Scientist Graduate - Analytics Insights & AI,"Toronto, ON, Canada",AI/ML/Data,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/AI2-Applied-Machine-Learning-Scientist---Associate_R_1506714-1,2026-09-08,2026-09-08,2026-09-08T17:22:55+00:00,2026-09-08 10:22 Tue,,false,,,,false,simplify:Simplify New Grad:12bfde82-572e-408d-b778-a19c8329abbf,2026-09-08
TD Bank:725a5070-88c9-4a51-890e-f7e39332751c,TD Bank,Associate Software Engineer,"Toronto, ON, Canada",Software,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Associate-Software-Engineer_R_1496579,2026-07-15,2026-07-15,2026-09-05T21:23:09+00:00,2026-09-05 14:23 Sat,,false,,,,false,simplify:Simplify New Grad:725a5070-88c9-4a51-890e-f7e39332751c,2026-07-15
TD Bank:bed9d031-2f7f-4c71-9417-37308c8a19ee,TD Bank,Associate Software Engineer,"Toronto, ON, Canada",Software,https://td.wd3.myworkdayjobs.com/TD_Bank_Careers/job/Toronto-Ontario/Associate-Software-Engineer_R_1509806,2026-09-08,2026-09-08,2026-09-09T02:23:55+00:00,2026-09-08 19:23 Tue,,false,,,,false,simplify:Simplify New Grad:bed9d031-2f7f-4c71-9417-37308c8a19ee,2026-09-08
