job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Assembler---Fiber-Optics_REQ35519,Teledyne FLIR,2nd Shift Assembler - Fiber Optics,"US - Portsmouth, NH (TDY)",,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Assembler---Fiber-Optics_REQ35519,Posted 16 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Assembler---Fiber-Optics_REQ35519
Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Marking_REQ35645,Teledyne FLIR,2nd Shift Marking,"US - Portsmouth, NH (TDY)",,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Marking_REQ35645,Posted 2 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-Shift-Marking_REQ35645
Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-shift-Transfer-Molding-Technician_REQ35732,Teledyne FLIR,2nd shift Transfer Molding Technician,"US - Portsmouth, NH (TDY)",,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-shift-Transfer-Molding-Technician_REQ35732,Posted 16 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---Portsmouth-NH-TDY/XMLNAME-2nd-shift-Transfer-Molding-Technician_REQ35732
Teledyne FLIR:/job/US---West-Lafayette-IN/Financial-Analyst_REQ34516,Teledyne FLIR,Accounting & Financial Analyst (US Citizenship Required),2 Locations,,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---West-Lafayette-IN/Financial-Analyst_REQ34516,Posted 7 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---West-Lafayette-IN/Financial-Analyst_REQ34516
Teledyne FLIR:/job/Spain--Sevilla-TDY/Administrative-Support---HR--Temporary-Agency-_REQ35387-1,Teledyne FLIR,Administrative Support - HR (Temporary Agency),Spain- Sevilla (TDY),,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/Spain--Sevilla-TDY/Administrative-Support---HR--Temporary-Agency-_REQ35387-1,Posted 5 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/Spain--Sevilla-TDY/Administrative-Support---HR--Temporary-Agency-_REQ35387-1
Teledyne FLIR:/job/UK---Uxbridge/Sr-Avionics-Specialist---Certification_REQ33423,Teledyne FLIR,Aircraft Design and Certification Manager,UK - Uxbridge,,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/UK---Uxbridge/Sr-Avionics-Specialist---Certification_REQ33423,Posted 15 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/UK---Uxbridge/Sr-Avionics-Specialist---Certification_REQ33423
Teledyne FLIR:/job/France---Grenoble/XMLNAME--INTERN-APPRENTICE--Manufacturing-Quality-Engineer_REQ34591,Teledyne FLIR,Alternance - Ingénieur(e) Qualité Industrielle H/F,France - Grenoble,,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/France---Grenoble/XMLNAME--INTERN-APPRENTICE--Manufacturing-Quality-Engineer_REQ34591,Posted 7 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/France---Grenoble/XMLNAME--INTERN-APPRENTICE--Manufacturing-Quality-Engineer_REQ34591
Teledyne FLIR:/job/US---San-Diego-CA/Applications-Engineer_REQ34473,Teledyne FLIR,Applications Engineer,"US - San Diego, CA",,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---San-Diego-CA/Applications-Engineer_REQ34473,Posted 6 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---San-Diego-CA/Applications-Engineer_REQ34473
Teledyne FLIR:/job/UK---Field/Area-Sales-Manager_REQ30989,Teledyne FLIR,Area Sales Manager,UK - Field,,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/UK---Field/Area-Sales-Manager_REQ30989,Posted 14 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/UK---Field/Area-Sales-Manager_REQ30989
Teledyne FLIR:/job/US---Hawthorne-CA-TDY/Assembler_REQ36039-1,Teledyne FLIR,Assembler,"US - Hawthorne, CA (TDY)",,https://flir.wd1.myworkdayjobs.com/en-US/flircareers/job/US---Hawthorne-CA-TDY/Assembler_REQ36039-1,Posted 3 Days Ago,2026-08-06T01:24:39+00:00,2026-08-05 18:24 Wed,,false,,,,false,workday:Teledyne FLIR:/job/US---Hawthorne-CA-TDY/Assembler_REQ36039-1
