job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Tenstorrent:5164498007,Tenstorrent,(India) System IP Design Engineer,"Bengaluru, Karnataka, India",RISC V,https://job-boards.greenhouse.io/tenstorrent/jobs/5164498007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5164498007
Tenstorrent:5128310007,Tenstorrent,Advanced Packaging Process Engineer,"Santa Clara, California, United States; 新北市, New Taipei City, Taiwan",Packaging,https://job-boards.greenhouse.io/tenstorrent/jobs/5128310007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5128310007
Tenstorrent:e971a3e2-631b-4ad9-ab78-effc38c864ed,Tenstorrent,AI Compiler Software Intern,"Toronto, ON, Canada",Software,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4873659007,2026-03-10,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:e971a3e2-631b-4ad9-ab78-effc38c864ed|greenhouse:Tenstorrent University:4873659007
Tenstorrent:5098932007,Tenstorrent,AI/ML Physical Design Flow Engineer,"Austin, Texas, United States; Fort Collins, Colorado, United States; Santa Clara, California, United States",Advanced Physical Design,https://job-boards.greenhouse.io/tenstorrent/jobs/5098932007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5098932007
Tenstorrent:5160368007,Tenstorrent,Analog Design Engineer,North America,Mixed Signal Design,https://job-boards.greenhouse.io/tenstorrent/jobs/5160368007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5160368007
Tenstorrent:5156074007,Tenstorrent,"Associate, Corporate Development ","Austin, Texas, United States; Santa Clara, California, United States; Toronto, Ontario, Canada",Operations,https://job-boards.greenhouse.io/tenstorrent/jobs/5156074007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5156074007
Tenstorrent:5004262007,Tenstorrent,Automotive and Robotics SOC Architect ,United States,Automotive Architecture,https://job-boards.greenhouse.io/tenstorrent/jobs/5004262007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5004262007
Tenstorrent:5098104007,Tenstorrent,"Business Development Lead, India ","Bengaluru, Karnataka, India",Experience,https://job-boards.greenhouse.io/tenstorrent/jobs/5098104007,2026-07-07T11:46:02-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5098104007
Tenstorrent:5176948007,Tenstorrent,"Business Process Analyst, Supply Chain","Toronto, Ontario, Canada",Supply Chain,https://job-boards.greenhouse.io/tenstorrent/jobs/5176948007,2026-06-30T17:40:52-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5176948007
Tenstorrent:4607144007,Tenstorrent,"C++ Machine Learning Engineer, Models Training","Gdańsk, Pomeranian Voivodeship, Poland; Warszawa, Masovian Voivodeship, Poland",AI Software,https://job-boards.greenhouse.io/tenstorrent/jobs/4607144007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4607144007
Tenstorrent:5182681007,Tenstorrent,Chiplet Design Architect,North America,CPU,https://job-boards.greenhouse.io/tenstorrent/jobs/5182681007,2026-07-09T10:46:24-04:00,2026-07-09T14:54:10+00:00,2026-07-09 07:54 Thu,,false,,,,false,greenhouse:Tenstorrent:5182681007
Tenstorrent:5045929007,Tenstorrent,Chiplet Physical Design Engineer ,United States,Architecture,https://job-boards.greenhouse.io/tenstorrent/jobs/5045929007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5045929007
Tenstorrent:4762563007,Tenstorrent,"CPU Architect, Load-Store",United States,Performance Model,https://job-boards.greenhouse.io/tenstorrent/jobs/4762563007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4762563007
Tenstorrent:5137633007,Tenstorrent,CPU Core Design Verification Test Generator Lead,"Austin, Texas, United States; Santa Clara, California, United States",RISC V,https://job-boards.greenhouse.io/tenstorrent/jobs/5137633007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5137633007
Tenstorrent:5138858007,Tenstorrent,CPU Core Design Verification Testbench Lead ,"Austin, Texas, United States; Santa Clara, California, United States",RISC V,https://job-boards.greenhouse.io/tenstorrent/jobs/5138858007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5138858007
Tenstorrent:5148052007,Tenstorrent,"CPU Verification Fellow, RISC-V High-Performance Processor",United States,Design Verification,https://job-boards.greenhouse.io/tenstorrent/jobs/5148052007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5148052007
Tenstorrent:bae76804-1a22-4d43-ac03-fccd623fdcfc,Tenstorrent,CPU/AI Workload Analysis Intern,"Santa Clara, CA",Hardware,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/5158533007,2026-06-08,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:bae76804-1a22-4d43-ac03-fccd623fdcfc|greenhouse:Tenstorrent University:5158533007
Tenstorrent:2c1b5956-4d83-4409-b595-31acfc1544f4,Tenstorrent,Design Verification Engineer Intern,"Boston, MA",Hardware,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4873756007,2026-04-09,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:2c1b5956-4d83-4409-b595-31acfc1544f4|greenhouse:Tenstorrent University:4873756007
Tenstorrent:2a159136-4b54-47ea-841a-cd9da6e2ed19,Tenstorrent,Design Verification Intern - RISCV CPU,"Austin, TX; Santa Clara, CA",Hardware,https://job-boards.greenhouse.io/tenstorrentuniversity/jobs/4501100007,2025-11-18,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,simplify:Simplify Internships:2a159136-4b54-47ea-841a-cd9da6e2ed19|greenhouse:Tenstorrent University:4501100007
Tenstorrent:4659518007,Tenstorrent,"Design Verification Lead, AI Hardware ","Toronto, Ontario, Canada",AI Hardware,https://job-boards.greenhouse.io/tenstorrent/jobs/4659518007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4659518007
Tenstorrent:5175862007,Tenstorrent,DFT Engineer,United States,Architecture,https://job-boards.greenhouse.io/tenstorrent/jobs/5175862007,2026-06-30T17:20:24-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5175862007
Tenstorrent:5064078007,Tenstorrent,"DFT Engineer, Automotive Robotics","Munich, Germany",Automotive,https://job-boards.greenhouse.io/tenstorrent/jobs/5064078007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5064078007
Tenstorrent:5115500007,Tenstorrent,Director of Customer Engineering,"Toronto, Ontario, Canada",AI Hardware,https://job-boards.greenhouse.io/tenstorrent/jobs/5115500007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5115500007
Tenstorrent:5163253007,Tenstorrent,"Director, RISC-V Software TPM & Ops",Australia; United States,RISC V,https://job-boards.greenhouse.io/tenstorrent/jobs/5163253007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5163253007
Tenstorrent:5178453007,Tenstorrent,"Electrical Engineer, PCB Design ","Belgrade, Serbia; Toronto, Ontario, Canada",PCB / Power,https://job-boards.greenhouse.io/tenstorrent/jobs/5178453007,2026-07-02T16:10:13-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5178453007
Tenstorrent:5064099007,Tenstorrent,"Emulation Engineer, Automotive Robotics ","Munich, Germany",Automotive,https://job-boards.greenhouse.io/tenstorrent/jobs/5064099007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5064099007
Tenstorrent:4723400007,Tenstorrent,"Engineer, PCIe Validation","Vancouver, British Columbia, Canada",Si Val / Qual,https://job-boards.greenhouse.io/tenstorrent/jobs/4723400007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4723400007
Tenstorrent:5108816007,Tenstorrent,"Engineer, SoC RTL Engineer","Tokyo, Japan",Architecture,https://job-boards.greenhouse.io/tenstorrent/jobs/5108816007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:5108816007
Tenstorrent:4953547007,Tenstorrent,"Engineering Program Manager, RISCV","Austin, Texas, United States",RISC V,https://job-boards.greenhouse.io/tenstorrent/jobs/4953547007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4953547007
Tenstorrent:5160499007,Tenstorrent,Executive Assistant ,"Santa Clara, California, United States",AI Software,https://job-boards.greenhouse.io/tenstorrent/jobs/5160499007,2026-07-08T20:04:27-04:00,2026-07-09T00:12:10+00:00,2026-07-08 17:12 Wed,,false,,,,false,greenhouse:Tenstorrent:5160499007
Tenstorrent:4872282007,Tenstorrent,Fabric SOC Architect,United States,Architecture,https://job-boards.greenhouse.io/tenstorrent/jobs/4872282007,2026-06-29T18:56:21-04:00,2026-07-08T03:42:05+00:00,2026-07-07 20:42 Tue,,false,,,,false,greenhouse:Tenstorrent:4872282007
