job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
The Aerospace Corporation:ce049c8e-cbb5-4b0e-b4e2-4f3706fcf0b7,The Aerospace Corporation,Aerospace Software Engineer Intern,"El Segundo, CA",Hardware,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Aerospace-Software-Engineer-Undergraduate-Intern_R016605,2026-09-15,2026-09-15,2026-09-16T17:21:59+00:00,2026-09-16 10:21 Wed,,false,,,,false,simplify:Simplify Internships:ce049c8e-cbb5-4b0e-b4e2-4f3706fcf0b7,2026-09-15
The Aerospace Corporation:14eefce4-0a45-415b-94b9-1a24d1a0729d,The Aerospace Corporation,Communications and Architecture Analyst,"Colorado Springs, CO; Chantilly, VA; El Segundo, CA",AI/ML/Data,https://aero.wd5.myworkdayjobs.com/external/job/Chantilly-VA/XMLNAME-2027-Communications-and-Architecture-Analyst_R016595,2026-09-21,2026-09-21,2026-09-21T20:48:27+00:00,2026-09-21 13:48 Mon,,false,,,,false,simplify:Simplify New Grad:14eefce4-0a45-415b-94b9-1a24d1a0729d,2026-09-21
The Aerospace Corporation:65cd4c35-38aa-4821-aedc-17156b3708ce,The Aerospace Corporation,Electrical Design Engineer,"El Segundo, CA",Hardware,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/IC-2027-Electrical-Design-Engineer_R016564,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify New Grad:65cd4c35-38aa-4821-aedc-17156b3708ce,2026-09-11
The Aerospace Corporation:feb3b637-f77d-4037-9b7d-e88a2d19d31c,The Aerospace Corporation,Electrical Design Engineer,"El Segundo, CA",Hardware,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/IC-2027-Electrical-Design-Engineer_R016563,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify New Grad:feb3b637-f77d-4037-9b7d-e88a2d19d31c,2026-09-11
The Aerospace Corporation:e9e5a7ad-e923-47e1-9db6-284c1cb7744f,The Aerospace Corporation,Machine Learning Engineer Intern,"Chantilly, VA; El Segundo, CA",AI/ML/Data,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Machine-Learning-Engineer-Undergrad-Intern_R016667,2026-09-21,2026-09-21,2026-09-22T19:59:27+00:00,2026-09-22 12:59 Tue,,false,,,,false,simplify:Simplify Internships:e9e5a7ad-e923-47e1-9db6-284c1cb7744f,2026-09-21
The Aerospace Corporation:d4635072-e119-4baf-b36e-a727b1f20c52,The Aerospace Corporation,Machine Learning Engineering Intern,"Colorado Springs, CO; El Segundo, CA",AI/ML/Data,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Machine-Learning-Engineering-Graduate-Intern_R016432,2026-09-09,2026-09-09,2026-09-10T05:42:20+00:00,2026-09-09 22:42 Wed,,false,,,,false,simplify:Simplify Internships:d4635072-e119-4baf-b36e-a727b1f20c52,2026-09-09
The Aerospace Corporation:98e68ffb-731f-4f1a-ade0-5907c36a9b8c,The Aerospace Corporation,Network Modeling and Simulation Engineer - Network Systems,"El Segundo, CA",Software,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/IC-2027-Network-Modeling-and-Simulation-Engineer_R016341,2026-09-21,2026-09-21,2026-09-22T19:59:27+00:00,2026-09-22 12:59 Tue,,false,,,,false,simplify:Simplify New Grad:98e68ffb-731f-4f1a-ade0-5907c36a9b8c,2026-09-21
The Aerospace Corporation:69ea85f3-65e9-45c2-aa5c-55508565467d,The Aerospace Corporation,Reliability and Statistics Intern,"El Segundo, CA",AI/ML/Data,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Reliability-and-Statistics-Undergraduate-Intern_R016594,2026-09-20,2026-09-20,2026-09-21T20:48:27+00:00,2026-09-21 13:48 Mon,,false,,,,false,simplify:Simplify Internships:69ea85f3-65e9-45c2-aa5c-55508565467d,2026-09-20
The Aerospace Corporation:37554b69-0c6a-47c0-9236-d7e22e5f318a,The Aerospace Corporation,RF Device Engineer - Microelectronics/Semiconductor Engineering,"El Segundo, CA",Hardware,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-RF-Device-Engineer_R016486,2026-09-10,2026-09-10,2026-09-11T06:39:33+00:00,2026-09-10 23:39 Thu,,false,,,,false,simplify:Simplify New Grad:37554b69-0c6a-47c0-9236-d7e22e5f318a,2026-09-10
The Aerospace Corporation:aa9e8061-8d48-4cf8-8984-673abdd61315,The Aerospace Corporation,RPO Software Developer/Analyst - Flight Mechanics,"Colorado Springs, CO; Chantilly, VA; El Segundo, CA",Software,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-RPO-Software-Developer-Analyst_R016457,2026-09-14,2026-09-14,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,Software Engineering,true,CLI:codex,15,候選人具備 Python、C++ 與演算法開發經驗，但缺乏 RPO、flight mechanics 或 aerospace domain 經驗，與此職位的專業方向不符。,false,simplify:Simplify New Grad:aa9e8061-8d48-4cf8-8984-673abdd61315,2026-09-14
The Aerospace Corporation:6ba49fd7-fca8-4128-a0e2-5d8cffc9661e,The Aerospace Corporation,Software Acquisition Engineer,"Chantilly, VA",Software,https://aero.wd5.myworkdayjobs.com/external/job/Chantilly-VA/IC-2027-Software-Acquisition-Engineer_R016339,2026-09-21,2026-09-21,2026-09-22T19:59:27+00:00,2026-09-22 12:59 Tue,,false,,,,false,simplify:Simplify New Grad:6ba49fd7-fca8-4128-a0e2-5d8cffc9661e,2026-09-21
The Aerospace Corporation:3faca9c1-e66c-437c-a5bd-9ab5cd608a2f,The Aerospace Corporation,Software Tools and Assurance Intern - Information Systems and Cyber Division,"El Segundo, CA",Software,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Software-Tools-and-Assurance-Intern_R016429,2026-09-22,2026-09-22,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,simplify:Simplify Internships:3faca9c1-e66c-437c-a5bd-9ab5cd608a2f,2026-09-22
The Aerospace Corporation:a6275501-3a8c-4d97-8b84-54f6c883892d,The Aerospace Corporation,Vehicle Systems Software Engineer - Multidisciplinary Guidance Navigation & Control,"El Segundo, CA",Hardware,https://aero.wd5.myworkdayjobs.com/external/job/El-Segundo-CA/XMLNAME-2027-Vehicle-Systems-Software-Engineer_R016604,2026-09-16,2026-09-16,2026-09-17T22:11:59+00:00,2026-09-17 15:11 Thu,,false,,,,false,simplify:Simplify New Grad:a6275501-3a8c-4d97-8b84-54f6c883892d,2026-09-16
