job_key,company,title,location,department,urls,date_posted,date_posted_iso,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids,source_dates
USAA:bdc9aa7d-8fea-4482-8629-265b77e7818f,USAA,AI/ML Engineer Intern,"Plano, TX",AI/ML/Data,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/Plano-Legacy/AI-ML-Engineer-Intern_R0121196,2026-09-22,2026-09-22,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,simplify:Simplify Internships:bdc9aa7d-8fea-4482-8629-265b77e7818f,2026-09-22
USAA:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/AI-ML-Engineer-Intern_R0121196,USAA,AI/ML Engineer Intern,"Plano, TX",,https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/AI-ML-Engineer-Intern_R0121196,,,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/AI-ML-Engineer-Intern_R0121196,
USAA:921e3c38-a66c-4423-a933-42a7eac1a1fb,USAA,Context Developer Modeler,"San Antonio, TX",Software,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Context-Developer-Modeler_R0121199,2026-09-22,2026-09-22,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,simplify:Simplify Internships:921e3c38-a66c-4423-a933-42a7eac1a1fb,2026-09-22
USAA:76419dfa-ec98-4250-9937-e2bc66b00b00,USAA,Data Intern - Future Leaders Program,"Charlotte, NC; San Antonio, TX",AI/ML/Data,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Future-Leaders-Program---Data-Intern_R0120824,2026-09-10,2026-09-10,2026-09-10T23:34:15+00:00,2026-09-10 16:34 Thu,,false,,,,false,simplify:Simplify Internships:76419dfa-ec98-4250-9937-e2bc66b00b00,2026-09-10
USAA:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Charlotte-NC---CENTS/Data-Scientist-I_R0118100,USAA,Data Scientist I,"Charlotte, NC CENTS",,https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Charlotte-NC---CENTS/Data-Scientist-I_R0118100,,,2026-07-07T05:59:38+00:00,2026-07-06 22:59 Mon,,false,,,,false,speedyapply:SpeedyApply AI:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Charlotte-NC---CENTS/Data-Scientist-I_R0118100,
USAA:c3c60bf7-f580-4aaa-ab45-84224b74cdbb,USAA,Data Scientist Intern,"Plano, TX",AI/ML/Data,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/Plano-Legacy/Data-Scientist-Intern_R0121200,2026-09-22,2026-09-22,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,simplify:Simplify Internships:c3c60bf7-f580-4aaa-ab45-84224b74cdbb,2026-09-22
USAA:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/Data-Scientist-Intern_R0121200,USAA,Data Scientist Intern,"Plano, TX",,https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/Data-Scientist-Intern_R0121200,,,2026-09-23T18:41:09+00:00,2026-09-23 11:41 Wed,,false,,,,false,speedyapply:SpeedyApply AI:https://usaa.wd1.myworkdayjobs.com/en-US/usaajobswd/job/Plano-Legacy/Data-Scientist-Intern_R0121200,
USAA:8c86eaf0-f116-4ff4-870a-eb2a2522b34b,USAA,Decision Science Analyst Intern,"San Antonio, TX",AI/ML/Data,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Decision-Science-Analyst-Intern_R0120923,2026-09-11,2026-09-11,2026-09-14T15:55:48+00:00,2026-09-14 08:55 Mon,,false,,,,false,simplify:Simplify Internships:8c86eaf0-f116-4ff4-870a-eb2a2522b34b,2026-09-11
USAA:6a8dc0b7-1fe0-408d-8cb4-deaa71ca870d,USAA,Digital Technical Product Management Intern,"San Antonio, TX",Product,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Digital-Technical-Product-Management-Intern_R0120759,2026-09-09,2026-09-09,2026-09-10T05:42:20+00:00,2026-09-09 22:42 Wed,,false,,,,false,simplify:Simplify Internships:6a8dc0b7-1fe0-408d-8cb4-deaa71ca870d,2026-09-09
USAA:4dd9988e-27de-4329-ab39-c71804316a70,USAA,Digital/Technical Product Manager Intern - Digital and Omnichannel Servicing,"San Antonio, TX",Product,https://usaa.wd1.myworkdayjobs.com/en-US/USAAJOBSWD/job/San-Antonio-Home-Office-I/Operations---Digital-Technical-Product-Manager-Intern_R0121101,2026-09-18,2026-09-18,2026-09-19T17:20:45+00:00,2026-09-19 10:20 Sat,,false,,,,false,simplify:Simplify Internships:4dd9988e-27de-4329-ab39-c71804316a70,2026-09-18
