job_key,company,title,location,department,urls,date_posted,first_seen,first_seen_pt,track,scored,score_method,experience_score,reason,emailed,source_uids
Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME---CAN--Asset-Protection-Associate-Part-Time_R-2586789,Walmart,((CAN) Asset Protection Associate Part Time,(CAN) ON THUNDER BAY 01166 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME---CAN--Asset-Protection-Associate-Part-Time_R-2586789,Posted 9 Days Ago,2026-07-26T08:59:28+00:00,2026-07-26 01:59 Sun,,false,,,,false,workday:Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME---CAN--Asset-Protection-Associate-Part-Time_R-2586789
Walmart:/job/CAN-AB-OLDS-01084-WM-SUPERCENTER/XMLNAME--CAN---Deli-Bakery-Team-Associate_R-2597622,Walmart,(CAN)  Deli Bakery Team Associate,(CAN) AB OLDS 01084 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-AB-OLDS-01084-WM-SUPERCENTER/XMLNAME--CAN---Deli-Bakery-Team-Associate_R-2597622,Posted Today,2026-08-05T10:41:56+00:00,2026-08-05 03:41 Wed,,false,,,,false,workday:Walmart:/job/CAN-AB-OLDS-01084-WM-SUPERCENTER/XMLNAME--CAN---Deli-Bakery-Team-Associate_R-2597622
Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN---Pharmacy-Assistant-Part-Time_R-2592174,Walmart,(CAN)  Pharmacy Assistant Part Time,(CAN) ON THUNDER BAY 01166 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN---Pharmacy-Assistant-Part-Time_R-2592174,Posted 4 Days Ago,2026-07-30T18:05:40+00:00,2026-07-30 11:05 Thu,,false,,,,false,workday:Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN---Pharmacy-Assistant-Part-Time_R-2592174
Walmart:/job/CAN-ON-FORT-FRANCES-05806-WAL-MART/XMLNAME--CAN---Self-Checkout-Attendant_R-2575421,Walmart,(CAN)  Self Checkout Attendant,(CAN) ON FORT FRANCES 05806 WAL-MART,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-ON-FORT-FRANCES-05806-WAL-MART/XMLNAME--CAN---Self-Checkout-Attendant_R-2575421,Posted 19 Days Ago,2026-07-15T07:41:32+00:00,2026-07-15 00:41 Wed,,false,,,,false,workday:Walmart:/job/CAN-ON-FORT-FRANCES-05806-WAL-MART/XMLNAME--CAN---Self-Checkout-Attendant_R-2575421
Walmart:/job/CAN-BC-MERRITT-01036-WAL-MART/XMLNAME--CAN--Accounting-Office_R-2609228,Walmart,(CAN) Accounting Office,(CAN) BC MERRITT 01036 WAL-MART,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-BC-MERRITT-01036-WAL-MART/XMLNAME--CAN--Accounting-Office_R-2609228,Posted 4 Days Ago,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Walmart:/job/CAN-BC-MERRITT-01036-WAL-MART/XMLNAME--CAN--Accounting-Office_R-2609228
Walmart:/job/CAN-ON-HAMILTON-01121-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate_R-2610982,Walmart,(CAN) Asset Protection Associate,(CAN) ON HAMILTON 01121 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-ON-HAMILTON-01121-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate_R-2610982,Posted 2 Days Ago,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Walmart:/job/CAN-ON-HAMILTON-01121-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate_R-2610982
Walmart:/job/CAN-QC-KIRKLAND-03044-WM-SUPERCENTER/XMLNAME--CAN--Associ--la-protection-des-biens_R-2601210,Walmart,(CAN) Asset Protection Associate,(CAN) QC KIRKLAND 03044 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-QC-KIRKLAND-03044-WM-SUPERCENTER/XMLNAME--CAN--Associ--la-protection-des-biens_R-2601210,Posted 4 Days Ago,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Walmart:/job/CAN-QC-KIRKLAND-03044-WM-SUPERCENTER/XMLNAME--CAN--Associ--la-protection-des-biens_R-2601210
Walmart:/job/Terrace-BC/XMLNAME--CAN--Asset-Protection-Associate_R-2610518,Walmart,(CAN) Asset Protection Associate,"Terrace, BC",,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/Terrace-BC/XMLNAME--CAN--Asset-Protection-Associate_R-2610518,Posted 3 Days Ago,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Walmart:/job/Terrace-BC/XMLNAME--CAN--Asset-Protection-Associate_R-2610518
Walmart:/job/Thornhill-ON/XMLNAME--CAN--Asset-Protection-Associate--Valid-Security-License-Required-_R-2612607,Walmart,(CAN) Asset Protection Associate (Valid Security License Required),"Thornhill, ON",,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/Thornhill-ON/XMLNAME--CAN--Asset-Protection-Associate--Valid-Security-License-Required-_R-2612607,Posted Yesterday,2026-08-18T12:10:51+00:00,2026-08-18 05:10 Tue,,false,,,,false,workday:Walmart:/job/Thornhill-ON/XMLNAME--CAN--Asset-Protection-Associate--Valid-Security-License-Required-_R-2612607
Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate-Full-Time_R-2553491,Walmart,(CAN) Asset Protection Associate Full Time,(CAN) ON THUNDER BAY 01166 WM SUPERCENTER,,https://walmart.wd504.myworkdayjobs.com/en-US/WalmartExternal/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate-Full-Time_R-2553491,Posted 18 Days Ago,2026-07-12T07:45:02+00:00,2026-07-12 00:45 Sun,,false,,,,false,workday:Walmart:/job/CAN-ON-THUNDER-BAY-01166-WM-SUPERCENTER/XMLNAME--CAN--Asset-Protection-Associate-Full-Time_R-2553491
