job_key,company,title,location,department,urls,date_posted,first_seen,track,scored,score_method,experience_score,reason,emailed,source_uids
Zello:0e1b338a-08cf-4450-96cd-71185f339d4c,Zello,Android Engineer II ,"Austin, Texas",Engineering,https://jobs.ashbyhq.com/zello/0e1b338a-08cf-4450-96cd-71185f339d4c,2026-05-05T21:02:13.422+00:00,2026-07-12T03:47:09+00:00,Software Engineering,true,CLI,28,"The candidate is a strong engineer with some Android exposure and Java/C++/backend/CV depth, but lacks credible production Android Kotlin experience, modern Android architecture, and Android-first shipping history required for this role.",false,ashby:Zello:0e1b338a-08cf-4450-96cd-71185f339d4c
Zello:2fa8cd4a-7ddb-40c6-8577-4a004c182e80,Zello,Applied AI Engineer,"Austin, Texas",AI & Data,https://jobs.ashbyhq.com/zello/2fa8cd4a-7ddb-40c6-8577-4a004c182e80,2026-03-20T17:04:24.970+00:00,2026-07-12T03:47:09+00:00,AI / ML,true,CLI,68,"Strong Python, production automation, API/backend, testing, and AI engineering experience fit the builder profile, but the resume lacks direct LLM API, agent deployment, prompt/tool-use, Slack/HubSpot/Snowflake, and production AI monitoring experience central to this role.",true,ashby:Zello:2fa8cd4a-7ddb-40c6-8577-4a004c182e80
Zello:aa0cf326-8765-4dcd-adc5-4599fbf0e314,Zello,Director of Customer Success,"Austin, Texas",Sales,https://jobs.ashbyhq.com/zello/aa0cf326-8765-4dcd-adc5-4599fbf0e314,2026-05-28T20:53:01.091+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:aa0cf326-8765-4dcd-adc5-4599fbf0e314
Zello:9f2411b4-6cab-4749-881e-b4efa38fabe8,Zello,"Director, Global Partner & Channel Strategy ","Austin, Texas",Sales,https://jobs.ashbyhq.com/zello/9f2411b4-6cab-4749-881e-b4efa38fabe8,2026-03-09T22:39:14.019+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:9f2411b4-6cab-4749-881e-b4efa38fabe8
Zello:c121d3ad-beff-4298-b7f8-ad5a64c3051f,Zello,Enterprise Account Executive ,"Austin, Texas",Sales,https://jobs.ashbyhq.com/zello/c121d3ad-beff-4298-b7f8-ad5a64c3051f,2026-04-30T17:47:14.234+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:c121d3ad-beff-4298-b7f8-ad5a64c3051f
Zello:7193454c-3e82-4942-9354-6c2e989bba80,Zello,Product Data Analyst,"Austin, Texas",AI & Data,https://jobs.ashbyhq.com/zello/7193454c-3e82-4942-9354-6c2e989bba80,2026-06-26T14:26:38.504+00:00,2026-07-12T03:47:09+00:00,Software Engineering,true,CLI,34,"The candidate has strong Python/ML and some product-adjacent analytical instincts, but the role is a senior product data analyst position requiring owned A/B testing, advanced SQL/Snowflake, telemetry, funnel/cohort analysis, and roadmap decision experience that are mostly absent from the resume.",false,ashby:Zello:7193454c-3e82-4942-9354-6c2e989bba80
Zello:36471a0a-9aa6-4fe2-b663-6e2f9c995757,Zello,Product Designer - Design Systems (Contract) ,"Austin, Texas",Design,https://jobs.ashbyhq.com/zello/36471a0a-9aa6-4fe2-b663-6e2f9c995757,2026-05-08T16:30:03.030+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:36471a0a-9aa6-4fe2-b663-6e2f9c995757
Zello:f9aa0205-1fef-4973-ae52-e0b785acbd3f,Zello,Product Marketing Manager,"Austin, Texas",Marketing,https://jobs.ashbyhq.com/zello/f9aa0205-1fef-4973-ae52-e0b785acbd3f,2026-06-29T19:18:53.815+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:f9aa0205-1fef-4973-ae52-e0b785acbd3f
Zello:fd5cdafb-c63e-4eec-9df1-a50dfe0b6267,Zello,Sales Development Representative,"Austin, Texas",Sales,https://jobs.ashbyhq.com/zello/fd5cdafb-c63e-4eec-9df1-a50dfe0b6267,2026-06-22T15:53:46.792+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:fd5cdafb-c63e-4eec-9df1-a50dfe0b6267
Zello:586b5d0c-2040-4f2a-9451-fd60179a19c9,Zello,Senior Back End Engineer,"Austin, Texas",Engineering,https://jobs.ashbyhq.com/zello/586b5d0c-2040-4f2a-9451-fd60179a19c9,2026-04-28T13:56:15.718+00:00,2026-07-12T03:47:09+00:00,Software Engineering,true,Keyword,100,keyword-only heuristic,true,ashby:Zello:586b5d0c-2040-4f2a-9451-fd60179a19c9
Zello:5b5e82e4-93c9-4dd2-a339-a81b0d528a44,Zello,Senior Site Reliability Engineer,"Austin, Texas",Engineering,https://jobs.ashbyhq.com/zello/5b5e82e4-93c9-4dd2-a339-a81b0d528a44,2026-05-13T16:44:41.021+00:00,2026-07-12T03:47:09+00:00,Software Engineering,true,Keyword,100,keyword-only heuristic,true,ashby:Zello:5b5e82e4-93c9-4dd2-a339-a81b0d528a44
Zello:b22b4682-38ff-4ef5-85e4-414ec288619a,Zello,Support Engineer - L3,"Austin, Texas",Operations,https://jobs.ashbyhq.com/zello/b22b4682-38ff-4ef5-85e4-414ec288619a,2026-04-20T17:06:53.297+00:00,2026-07-12T03:47:09+00:00,,false,,,,false,ashby:Zello:b22b4682-38ff-4ef5-85e4-414ec288619a
